date,county,county_iso,city,place_type,cases,deaths,estimated_population_2019,area_km2,confirmed_per_100k_inhabitants,critical
2020-03-12,Östergötland,SE-E,,county,1,0,461583,10602.0,0.21664576035079283,
2020-03-13,Östergötland,SE-E,,county,1,0,461583,10602.0,0.21664576035079283,
2020-03-14,Östergötland,SE-E,,county,11,0,461583,10602.0,2.3831033638587207,
2020-03-15,Östergötland,SE-E,,county,18,0,461583,10602.0,3.8996236863142704,
2020-03-16,Östergötland,SE-E,,county,26,0,461583,10602.0,5.632789769120613,
2020-03-17,Östergötland,SE-E,,county,39,0,461583,10602.0,8.44918465368092,
2020-03-18,Östergötland,SE-E,,county,52,0,461583,10602.0,11.265579538241226,
2020-03-19,Östergötland,SE-E,,county,88,0,461583,10602.0,19.064826910869765,
2020-03-20,Östergötland,SE-E,,county,116,0,461583,10602.0,25.130908200691966,
2020-03-21,Östergötland,SE-E,,county,126,0,461583,10602.0,27.297365804199895,
2020-03-22,Östergötland,SE-E,,county,137,0,461583,10602.0,29.680469168058615,
2020-03-23,Östergötland,SE-E,,county,151,0,461583,10602.0,32.71350981296972,
2020-03-24,Östergötland,SE-E,,county,181,4,461583,10602.0,39.2128826234935,
2020-03-25,Östergötland,SE-E,,county,203,4,461583,10602.0,43.979089351210945,
2020-03-26,Östergötland,SE-E,,county,221,4,461583,10602.0,47.878713037525216,
2020-03-27,Östergötland,SE-E,,county,244,4,461583,10602.0,52.4173202514648,16
2020-03-28,Östergötland,SE-E,,county,272,4,461583,10602.0,58.4324226379395,18
2020-03-29,Östergötland,SE-E,,county,311,4,461583,10602.0,66.8106002807617,19
2020-03-30,Östergötland,SE-E,,county,353,5,461583,10602.0,75.833251953125,23
2020-03-31,Östergötland,SE-E,,county,376,6,461583,10602.0,80.7742309570313,26
2020-04-01,Östergötland,SE-E,,county,449,8,461583,10602.0,96.4564590454102,28
2020-04-02,Östergötland,SE-E,,county,514,8,461583,10602.0,110.42008972168,28
2020-04-03,Östergötland,SE-E,,county,578,10,461583,10602.0,124.168891906738,31
2020-04-04,Östergötland,SE-E,,county,584,12,461583,10602.0,125.457847595215,35
2020-04-05,Östergötland,SE-E,,county,644,12,461583,10602.0,138.347351074219,35
2020-04-06,Östergötland,SE-E,,county,695,17,461583,10602.0,149.303436279297,35
2020-04-07,Östergötland,SE-E,,county,733,17,461583,10602.0,157.466781616211,41
2020-04-08,Östergötland,SE-E,,county,811,27,461583,10602.0,174.22314453125,43
2020-04-09,Östergötland,SE-E,,county,874,27,461583,10602.0,187.757125854492,45
2020-04-10,Östergötland,SE-E,,county,910,32,461583,10602.0,195.490814208984,45
2020-04-11,Östergötland,SE-E,,county,942,32,461583,10602.0,202.365219116211,46
2020-04-12,Östergötland,SE-E,,county,951,34,461583,10602.0,204.298645019531,45
2020-04-13,Östergötland,SE-E,,county,970,34,461583,10602.0,208.380325317383,45
2020-04-14,Östergötland,SE-E,,county,1011,35,461583,10602.0,217.18815612793,48
