date,county,county_iso,city,place_type,cases,deaths,estimated_population_2019,area_km2,confirmed_per_100k_inhabitants,critical
2020-03-09,Halland,SE-N,,county,1,0,329354,5460.7,0.3036246713262933,
2020-03-10,Halland,SE-N,,county,6,0,329354,5460.7,1.8217480279577598,
2020-03-11,Halland,SE-N,,county,9,0,329354,5460.7,2.7326220419366396,
2020-03-12,Halland,SE-N,,county,19,0,329354,5460.7,5.7688687551995725,
2020-03-13,Halland,SE-N,,county,33,0,329354,5460.7,10.019614153767678,
2020-03-14,Halland,SE-N,,county,40,0,329354,5460.7,12.144986853051732,
2020-03-15,Halland,SE-N,,county,40,0,329354,5460.7,12.144986853051732,
2020-03-16,Halland,SE-N,,county,42,0,329354,5460.7,12.752236195704317,
2020-03-17,Halland,SE-N,,county,43,0,329354,5460.7,13.055860867030612,
2020-03-18,Halland,SE-N,,county,46,0,329354,5460.7,13.96673488100949,
2020-03-19,Halland,SE-N,,county,48,0,329354,5460.7,14.573984223662078,
2020-03-20,Halland,SE-N,,county,51,0,329354,5460.7,15.484858237640957,
2020-03-21,Halland,SE-N,,county,55,0,329354,5460.7,16.69935692294613,
2020-03-22,Halland,SE-N,,county,58,0,329354,5460.7,17.61023093692501,
2020-03-23,Halland,SE-N,,county,59,0,329354,5460.7,17.913855608251303,
2020-03-24,Halland,SE-N,,county,63,0,329354,5460.7,19.128354293556477,
2020-03-25,Halland,SE-N,,county,66,0,329354,5460.7,20.039228307535357,
2020-03-26,Halland,SE-N,,county,70,0,329354,5460.7,21.25372699284053,
2020-03-27,Halland,SE-N,,county,78,1,329354,5460.7,23.3639259338379,3
2020-03-28,Halland,SE-N,,county,81,1,329354,5460.7,24.2625389099121,3
2020-03-29,Halland,SE-N,,county,87,1,329354,5460.7,26.0597629547119,3
2020-03-30,Halland,SE-N,,county,89,6,329354,5460.7,26.6588382720947,3
2020-03-31,Halland,SE-N,,county,96,7,329354,5460.7,28.7556018829346,6
2020-04-01,Halland,SE-N,,county,101,7,329354,5460.7,30.253288269043,6
2020-04-02,Halland,SE-N,,county,105,8,329354,5460.7,31.4514389038086,8
2020-04-03,Halland,SE-N,,county,114,8,329354,5460.7,34.1472778320313,10
2020-04-04,Halland,SE-N,,county,126,9,329354,5460.7,37.7417259216309,10
2020-04-05,Halland,SE-N,,county,127,11,329354,5460.7,38.0412635803223,10
2020-04-06,Halland,SE-N,,county,131,12,329354,5460.7,39.2394142150879,11
2020-04-07,Halland,SE-N,,county,141,14,329354,5460.7,42.234790802002,12
2020-04-08,Halland,SE-N,,county,154,14,329354,5460.7,46.128776550293,12
2020-04-09,Halland,SE-N,,county,167,15,329354,5460.7,50.0227661132813,12
2020-04-10,Halland,SE-N,,county,175,15,329354,5460.7,52.4190635681152,14
2020-04-11,Halland,SE-N,,county,180,15,329354,5460.7,53.9167518615723,14
2020-04-12,Halland,SE-N,,county,182,15,329354,5460.7,54.5158271789551,14
2020-04-13,Halland,SE-N,,county,185,15,329354,5460.7,55.4144401550293,14
2020-04-14,Halland,SE-N,,county,189,16,329354,5460.7,56.6125907897949,15
2020-04-15,Halland,SE-N,,county,194,17,329354,5460.7,58.110279083252,15
2020-04-16,Halland,SE-N,,county,200,21,329354,5460.7,59.9075012207031,15
2020-04-17,Halland,SE-N,,county,217,23,329354,5460.7,64.999641418457,15
2020-04-18,Halland,SE-N,,county,224,23,329354,5460.7,67.0964050292969,15
2020-04-19,Halland,SE-N,,county,231,23,329354,5460.7,69.1931686401367,19
2020-04-20,Halland,SE-N,,county,241,23,329354,5460.7,72.1885375976563,19
