date,county,county_iso,city,place_type,cases,deaths,estimated_population_2019,area_km2,confirmed_per_100k_inhabitants,critical
2020-03-11,Kronoberg,SE-G,,county,1,0,199886,8466.0,0.5002851625426493,
2020-03-12,Kronoberg,SE-G,,county,8,0,199886,8466.0,4.002281300341195,
2020-03-13,Kronoberg,SE-G,,county,10,0,199886,8466.0,5.002851625426493,
2020-03-14,Kronoberg,SE-G,,county,12,0,199886,8466.0,6.003421950511791,
2020-03-15,Kronoberg,SE-G,,county,13,0,199886,8466.0,6.503707113054442,
2020-03-16,Kronoberg,SE-G,,county,15,0,199886,8466.0,7.504277438139741,
2020-03-17,Kronoberg,SE-G,,county,15,0,199886,8466.0,7.504277438139741,
2020-03-18,Kronoberg,SE-G,,county,16,0,199886,8466.0,8.00456260068239,
2020-03-19,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-20,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-21,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-22,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-23,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-24,Kronoberg,SE-G,,county,18,0,199886,8466.0,9.005132925767688,
2020-03-25,Kronoberg,SE-G,,county,19,0,199886,8466.0,9.505418088310336,
2020-03-26,Kronoberg,SE-G,,county,20,0,199886,8466.0,10.005703250852987,
2020-03-27,Kronoberg,SE-G,,county,22,0,199886,8466.0,10.9197940826416,
2020-03-28,Kronoberg,SE-G,,county,23,0,199886,8466.0,11.41614818573,
2020-03-29,Kronoberg,SE-G,,county,27,0,199886,8466.0,13.4015655517578,
2020-03-30,Kronoberg,SE-G,,county,30,0,199886,8466.0,14.890627861023,
2020-03-31,Kronoberg,SE-G,,county,34,0,199886,8466.0,16.8760452270508,
2020-04-01,Kronoberg,SE-G,,county,39,0,199886,8466.0,19.357816696167,
2020-04-02,Kronoberg,SE-G,,county,40,0,199886,8466.0,19.8541717529297,
2020-04-03,Kronoberg,SE-G,,county,45,0,199886,8466.0,22.3359432220459,
2020-04-04,Kronoberg,SE-G,,county,49,0,199886,8466.0,24.3213596343994,1
2020-04-05,Kronoberg,SE-G,,county,49,0,199886,8466.0,24.3213596343994,1
2020-04-06,Kronoberg,SE-G,,county,53,0,199886,8466.0,26.3067760467529,1
2020-04-07,Kronoberg,SE-G,,county,54,1,199886,8466.0,26.8031311035156,1
2020-04-08,Kronoberg,SE-G,,county,61,1,199886,8466.0,30.2776107788086,2
2020-04-09,Kronoberg,SE-G,,county,77,1,199886,8466.0,38.2192802429199,2
2020-04-10,Kronoberg,SE-G,,county,82,1,199886,8466.0,40.7010498046875,3
2020-04-11,Kronoberg,SE-G,,county,87,1,199886,8466.0,43.1828231811523,3
2020-04-12,Kronoberg,SE-G,,county,97,1,199886,8466.0,48.1463661193848,1
2020-04-13,Kronoberg,SE-G,,county,98,1,199886,8466.0,48.6427192687988,1
2020-04-14,Kronoberg,SE-G,,county,104,1,199886,8466.0,51.6208457946777,3
2020-04-15,Kronoberg,SE-G,,county,109,4,199886,8466.0,54.1026153564453,1
2020-04-16,Kronoberg,SE-G,,county,122,6,199886,8466.0,60.5552215576172,3
2020-04-17,Kronoberg,SE-G,,county,140,7,199886,8466.0,69.4896011352539,3
2020-04-18,Kronoberg,SE-G,,county,142,7,199886,8466.0,70.482307434082,4
2020-04-19,Kronoberg,SE-G,,county,164,8,199886,8466.0,81.402099609375,4
2020-04-20,Kronoberg,SE-G,,county,175,9,199886,8466.0,86.8619995117188,4
2020-04-21,Kronoberg,SE-G,,county,184,11,199886,8466.0,91.3291854858399,3
2020-04-22,Kronoberg,SE-G,,county,198,11,199886,8466.0,98.2781448364258,3
2020-04-23,Kronoberg,SE-G,,county,211,12,199886,8466.0,104.730751037598,4
2020-04-24,Kronoberg,SE-G,,county,228,12,199886,8466.0,113.16877746582,4
2020-04-25,Kronoberg,SE-G,,county,238,14,199886,8466.0,118.132316589355,4
2020-04-26,Kronoberg,SE-G,,county,259,14,199886,8466.0,128.555755615234,4
2020-04-27,Kronoberg,SE-G,,county,263,17,199886,8466.0,130.541168212891,7
2020-04-28,Kronoberg,SE-G,,county,270,19,199886,8466.0,134.015655517578,9
2020-04-29,Kronoberg,SE-G,,county,291,22,199886,8466.0,144.439102172852,9
2020-04-30,Kronoberg,SE-G,,county,306,23,199886,8466.0,151.884414672852,9
2020-05-01,Kronoberg,SE-G,,county,312,23,199886,8466.0,154.862533569336,8
2020-05-02,Kronoberg,SE-G,,county,332,23,199886,8466.0,164.789627075195,8
2020-05-03,Kronoberg,SE-G,,county,337,23,199886,8466.0,167.271392822266,8
2020-05-04,Kronoberg,SE-G,,county,354,24,199886,8466.0,175.709411621094,8
2020-05-05,Kronoberg,SE-G,,county,360,26,199886,8466.0,178.687545776367,8
2020-05-06,Kronoberg,SE-G,,county,392,28,199886,8466.0,194.570877075195,8
2020-05-07,Kronoberg,SE-G,,county,414,31,199886,8466.0,205.490676879883,9
2020-05-08,Kronoberg,SE-G,,county,439,33,199886,8466.0,217.899520874023,9
2020-05-09,Kronoberg,SE-G,,county,463,33,199886,8466.0,229.812026977539,9
2020-05-10,Kronoberg,SE-G,,county,495,33,199886,8466.0,245.695373535156,9
2020-05-11,Kronoberg,SE-G,,county,495,33,199886,8466.0,245.695373535156,9
2020-05-12,Kronoberg,SE-G,,county,507,34,199886,8466.0,251.651611328125,11
2020-05-13,Kronoberg,SE-G,,county,535,34,199886,8466.0,265.549530029297,12
2020-05-14,Kronoberg,SE-G,,county,566,35,199886,8466.0,280.9365234375,12
2020-05-15,Kronoberg,SE-G,,county,584,35,199886,8466.0,289.870910644531,12
2020-05-16,Kronoberg,SE-G,,county,592,39,199886,8466.0,293.841735839844,13
2020-05-17,Kronoberg,SE-G,,county,623,39,199886,8466.0,309.228729248047,13
2020-05-18,Kronoberg,SE-G,,county,630,39,199886,8466.0,312.703186035156,13
2020-05-19,Kronoberg,SE-G,,county,641,40,199886,8466.0,318.1630859375,11
2020-05-20,Kronoberg,SE-G,,county,665,44,199886,8466.0,330.075592041016,13
2020-05-21,Kronoberg,SE-G,,county,676,50,199886,8466.0,335.535491943359,13
2020-05-22,Kronoberg,SE-G,,county,703,50,199886,8466.0,348.937042236328,13
2020-05-23,Kronoberg,SE-G,,county,716,50,199886,8466.0,355.3896484375,13
2020-05-24,Kronoberg,SE-G,,county,718,50,199886,8466.0,356.382385253906,13
2020-05-25,Kronoberg,SE-G,,county,745,50,199886,8466.0,369.783935546875,13
2020-05-26,Kronoberg,SE-G,,county,753,59,199886,8466.0,373.754760742188,15
2020-05-27,Kronoberg,SE-G,,county,769,62,199886,8466.0,381.696441650391,16
2020-05-28,Kronoberg,SE-G,,county,797,62,199886,8466.0,395.594360351563,17
2020-05-29,Kronoberg,SE-G,,county,816,65,199886,8466.0,405.025085449219,17
2020-05-30,Kronoberg,SE-G,,county,827,65,199886,8466.0,410.484985351563,17
2020-05-31,Kronoberg,SE-G,,county,839,65,199886,8466.0,416.441253662109,17
2020-06-01,Kronoberg,SE-G,,county,840,65,199886,8466.0,416.937591552734,17
2020-06-02,Kronoberg,SE-G,,county,855,69,199886,8466.0,424.382904052734,17
2020-06-03,Kronoberg,SE-G,,county,873,71,199886,8466.0,433.317291259766,17
2020-06-04,Kronoberg,SE-G,,county,886,74,199886,8466.0,439.769897460938,17
2020-06-05,Kronoberg,SE-G,,county,897,76,199886,8466.0,445.229797363281,17
2020-06-06,Kronoberg,SE-G,,county,916,76,199886,8466.0,454.660522460938,17
2020-06-07,Kronoberg,SE-G,,county,916,76,199886,8466.0,454.660522460938,17
2020-06-08,Kronoberg,SE-G,,county,930,79,199886,8466.0,461.609466552734,17
2020-06-09,Kronoberg,SE-G,,county,935,82,199886,8466.0,464.091247558594,17
2020-06-10,Kronoberg,SE-G,,county,950,83,199886,8466.0,471.536560058594,17
2020-06-11,Kronoberg,SE-G,,county,961,84,199886,8466.0,476.996459960938,17
2020-06-12,Kronoberg,SE-G,,county,975,84,199886,8466.0,483.945434570313,18
2020-06-13,Kronoberg,SE-G,,county,987,84,199886,8466.0,489.901672363281,18
2020-06-14,Kronoberg,SE-G,,county,1002,84,199886,8466.0,497.346984863281,18
2020-06-15,Kronoberg,SE-G,,county,1004,85,199886,8466.0,498.339691162109,18
2020-06-16,Kronoberg,SE-G,,county,1005,86,199886,8466.0,498.836059570313,20
