date,county,county_iso,city,place_type,cases,deaths,estimated_population_2019,area_km2,confirmed_per_100k_inhabitants,critical
2020-03-12,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-13,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-14,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-15,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-16,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-17,Gotland,SE-I,,county,2,0,59249,3151.4,3.3755843980489124,
2020-03-18,Gotland,SE-I,,county,3,0,59249,3151.4,5.063376597073368,
2020-03-19,Gotland,SE-I,,county,3,0,59249,3151.4,5.063376597073368,
2020-03-20,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-21,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-22,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-23,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-24,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-25,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-26,Gotland,SE-I,,county,5,0,59249,3151.4,8.438960995122281,
2020-03-27,Gotland,SE-I,,county,9,0,59249,3151.4,15.0789127349854,
2020-03-28,Gotland,SE-I,,county,11,0,59249,3151.4,18.4297828674316,
2020-03-29,Gotland,SE-I,,county,11,0,59249,3151.4,18.4297828674316,
2020-03-30,Gotland,SE-I,,county,11,0,59249,3151.4,18.4297828674316,
2020-03-31,Gotland,SE-I,,county,11,0,59249,3151.4,18.4297828674316,
2020-04-01,Gotland,SE-I,,county,11,0,59249,3151.4,18.4297828674316,
2020-04-02,Gotland,SE-I,,county,12,0,59249,3151.4,20.1052169799805,
2020-04-03,Gotland,SE-I,,county,12,0,59249,3151.4,20.1052169799805,1
2020-04-04,Gotland,SE-I,,county,12,0,59249,3151.4,20.1052169799805,1
2020-04-05,Gotland,SE-I,,county,12,0,59249,3151.4,20.1052169799805,1
