date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Arica y Parinacota,CL-AP,,,region,63,0
2020-04-09,Arica y Parinacota,CL-AP,,,region,75,0
2020-04-10,Arica y Parinacota,CL-AP,,,region,87,0
2020-04-11,Arica y Parinacota,CL-AP,,,region,107,0
2020-04-12,Arica y Parinacota,CL-AP,,,region,115,1
2020-04-13,Arica y Parinacota,CL-AP,,,region,115,1
2020-04-14,Arica y Parinacota,CL-AP,,,region,120,1
2020-04-15,Arica y Parinacota,CL-AP,,,region,124,1
2020-04-16,Arica y Parinacota,CL-AP,,,region,129,1
2020-04-17,Arica y Parinacota,CL-AP,,,region,134,2
2020-04-18,Arica y Parinacota,CL-AP,,,region,142,2
2020-04-19,Arica y Parinacota,CL-AP,,,region,145,2
2020-04-20,Arica y Parinacota,CL-AP,,,region,161,2
2020-04-21,Arica y Parinacota,CL-AP,,,region,170,2
