date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Antofagasta,CL-AN,,,region,77,1
2020-04-09,Antofagasta,CL-AN,,,region,92,1
2020-04-10,Antofagasta,CL-AN,,,region,110,1
2020-04-11,Antofagasta,CL-AN,,,region,117,1
2020-04-12,Antofagasta,CL-AN,,,region,138,1
2020-04-13,Antofagasta,CL-AN,,,region,149,1
2020-04-14,Antofagasta,CL-AN,,,region,155,1
2020-04-15,Antofagasta,CL-AN,,,region,176,1
2020-04-16,Antofagasta,CL-AN,,,region,192,1
2020-04-17,Antofagasta,CL-AN,,,region,211,1
2020-04-18,Antofagasta,CL-AN,,,region,226,1
2020-04-19,Antofagasta,CL-AN,,,region,249,1
2020-04-20,Antofagasta,CL-AN,,,region,263,1
2020-04-21,Antofagasta,CL-AN,,,region,291,1
2020-04-22,Antofagasta,CL-AN,,,region,326,2
2020-04-23,Antofagasta,CL-AN,,,region,340,2
2020-04-24,Antofagasta,CL-AN,,,region,366,2
2020-04-25,Antofagasta,CL-AN,,,region,391,3
2020-04-26,Antofagasta,CL-AN,,,region,443,4
2020-04-27,Antofagasta,CL-AN,,,region,457,4
2020-04-28,Antofagasta,CL-AN,,,region,481,4
2020-04-29,Antofagasta,CL-AN,,,region,514,4
2020-04-30,Antofagasta,CL-AN,,,region,546,5
2020-05-01,Antofagasta,CL-AN,,,region,589,7
2020-05-02,Antofagasta,CL-AN,,,region,679,7
2020-05-03,Antofagasta,CL-AN,,,region,740,7
2020-05-04,Antofagasta,CL-AN,,,region,760,7
2020-05-05,Antofagasta,CL-AN,,,region,811,7
2020-05-06,Antofagasta,CL-AN,,,region,855,7
2020-05-07,Antofagasta,CL-AN,,,region,895,7
2020-05-08,Antofagasta,CL-AN,,,region,923,9
2020-05-09,Antofagasta,CL-AN,,,region,947,10
2020-05-10,Antofagasta,CL-AN,,,region,978,10
2020-05-11,Antofagasta,CL-AN,,,region,1014,10
2020-05-12,Antofagasta,CL-AN,,,region,1109,10
2020-05-13,Antofagasta,CL-AN,,,region,1216,11
2020-05-14,Antofagasta,CL-AN,,,region,1277,11
2020-05-15,Antofagasta,CL-AN,,,region,1331,12
2020-05-16,Antofagasta,CL-AN,,,region,1429,12
2020-05-17,Antofagasta,CL-AN,,,region,1505,13
2020-05-18,Antofagasta,CL-AN,,,region,1589,14
2020-05-19,Antofagasta,CL-AN,,,region,1648,16
2020-05-20,Antofagasta,CL-AN,,,region,1731,17
2020-05-21,Antofagasta,CL-AN,,,region,1778,17
2020-05-22,Antofagasta,CL-AN,,,region,1841,17
2020-05-23,Antofagasta,CL-AN,,,region,1897,21
2020-05-24,Antofagasta,CL-AN,,,region,1947,21
2020-05-25,Antofagasta,CL-AN,,,region,2015,21
2020-05-26,Antofagasta,CL-AN,,,region,2063,23
2020-05-27,Antofagasta,CL-AN,,,region,2137,25
2020-05-28,Antofagasta,CL-AN,,,region,2248,28
2020-05-29,Antofagasta,CL-AN,,,region,2318,28
2020-05-30,Antofagasta,CL-AN,,,region,2429,29
2020-05-31,Antofagasta,CL-AN,,,region,2510,31
2020-06-01,Antofagasta,CL-AN,,,region,2585,32
2020-06-02,Antofagasta,CL-AN,,,region,2649,34
2020-06-03,Antofagasta,CL-AN,,,region,2716,36
2020-06-04,Antofagasta,CL-AN,,,region,2862,38
2020-06-05,Antofagasta,CL-AN,,,region,2924,42
2020-06-06,Antofagasta,CL-AN,,,region,3033,47
2020-06-07,Antofagasta,CL-AN,,,region,3154,47
2020-06-08,Antofagasta,CL-AN,,,region,3154,47
2020-06-09,Antofagasta,CL-AN,,,region,3402,45
2020-06-10,Antofagasta,CL-AN,,,region,3559,56
2020-06-11,Antofagasta,CL-AN,,,region,3753,57
2020-06-12,Antofagasta,CL-AN,,,region,3753,57
2020-06-13,Antofagasta,CL-AN,,,region,4038,67
2020-06-14,Antofagasta,CL-AN,,,region,4286,72
2020-06-15,Antofagasta,CL-AN,,,region,4286,72
2020-06-16,Antofagasta,CL-AN,,,region,4643,72
2020-06-17,Antofagasta,CL-AN,,,region,5241,81
2020-06-18,Antofagasta,CL-AN,,,region,5241,81
2020-06-19,Antofagasta,CL-AN,,,region,484,252
2020-06-20,Antofagasta,CL-AN,,,region,484,252
2020-06-21,Antofagasta,CL-AN,,,region,521,267
2020-06-22,Antofagasta,CL-AN,,,region,521,267
2020-06-23,Antofagasta,CL-AN,,,region,555,279
2020-06-24,Antofagasta,CL-AN,,,region,6991,100
2020-06-25,Antofagasta,CL-AN,,,region,7515,122
2020-06-26,Antofagasta,CL-AN,,,region,7742,128
2020-06-28,Antofagasta,CL-AN,,,region,8027,142
2020-06-29,Antofagasta,CL-AN,,,region,8308,147
2020-06-30,Antofagasta,CL-AN,,,region,8625,147
2020-07-01,Antofagasta,CL-AN,,,region,8625,147
2020-07-02,Antofagasta,CL-AN,,,region,9083,147
2020-07-03,Antofagasta,CL-AN,,,region,9285,163
2020-07-04,Antofagasta,CL-AN,,,region,9823,174
2020-07-05,Antofagasta,CL-AN,,,region,10119,183
2020-07-06,Antofagasta,CL-AN,,,region,10119,183
2020-07-07,Antofagasta,CL-AN,,,region,10594,183
2020-07-08,Antofagasta,CL-AN,,,region,10594,183
2020-07-09,Antofagasta,CL-AN,,,region,10825,197
2020-07-10,Antofagasta,CL-AN,,,region,11077,203
2020-07-11,Antofagasta,CL-AN,,,region,11267,216
2020-07-12,Antofagasta,CL-AN,,,region,11799,224
2020-07-13,Antofagasta,CL-AN,,,region,12034,225
2020-07-14,Antofagasta,CL-AN,,,region,12034,225
2020-07-15,Antofagasta,CL-AN,,,region,12034,225
2020-07-16,Antofagasta,CL-AN,,,region,12034,225
2020-07-17,Antofagasta,CL-AN,,,region,12034,225
2020-07-18,Antofagasta,CL-AN,,,region,12034,225
2020-07-19,Antofagasta,CL-AN,,,region,12034,225
2020-07-20,Antofagasta,CL-AN,,,region,12034,225
2020-07-21,Antofagasta,CL-AN,,,region,12034,225
2020-07-22,Antofagasta,CL-AN,,,region,12034,225
2020-07-23,Antofagasta,CL-AN,,,region,12034,225
2020-07-24,Antofagasta,CL-AN,,,region,12034,225
2020-07-25,Antofagasta,CL-AN,,,region,12034,225
2020-07-26,Antofagasta,CL-AN,,,region,13939,316
2020-07-27,Antofagasta,CL-AN,,,region,12034,225
2020-07-28,Antofagasta,CL-AN,,,region,12034,225
2020-07-29,Antofagasta,CL-AN,,,region,12034,225
2020-07-30,Antofagasta,CL-AN,,,region,12034,225
2020-07-31,Antofagasta,CL-AN,,,region,12034,225
2020-08-01,Antofagasta,CL-AN,,,region,12716,347
2020-08-02,Antofagasta,CL-AN,,,region,13109,347
2020-08-03,Antofagasta,CL-AN,,,region,13648,347
2020-08-04,Antofagasta,CL-AN,,,region,14244,347
2020-08-05,Antofagasta,CL-AN,,,region,15279,358
2020-08-06,Antofagasta,CL-AN,,,region,15279,358
2020-08-07,Antofagasta,CL-AN,,,region,15279,358
2020-08-08,Antofagasta,CL-AN,,,region,15711,372
2020-08-09,Antofagasta,CL-AN,,,region,15711,372
2020-08-10,Antofagasta,CL-AN,,,region,15711,372
2020-08-11,Antofagasta,CL-AN,,,region,15711,372
2020-08-12,Antofagasta,CL-AN,,,region,15711,372
2020-08-13,Antofagasta,CL-AN,,,region,15711,372
2020-08-14,Antofagasta,CL-AN,,,region,15711,372
2020-08-15,Antofagasta,CL-AN,,,region,15711,372
2020-08-16,Antofagasta,CL-AN,,,region,15711,372
2020-08-17,Antofagasta,CL-AN,,,region,15711,372
2020-08-18,Antofagasta,CL-AN,,,region,15711,372
2020-08-19,Antofagasta,CL-AN,,,region,15711,372
2020-08-20,Antofagasta,CL-AN,,,region,15711,372
2020-08-21,Antofagasta,CL-AN,,,region,15711,372
2020-08-22,Antofagasta,CL-AN,,,region,15711,372
2020-08-23,Antofagasta,CL-AN,,,region,15711,372
2020-08-24,Antofagasta,CL-AN,,,region,15711,372
2020-08-25,Antofagasta,CL-AN,,,region,15711,372
2020-08-26,Antofagasta,CL-AN,,,region,15711,372
2020-08-27,Antofagasta,CL-AN,,,region,15711,372
2020-08-28,Antofagasta,CL-AN,,,region,15711,372
2020-08-29,Antofagasta,CL-AN,,,region,15711,372
2020-08-30,Antofagasta,CL-AN,,,region,15711,372
2020-08-31,Antofagasta,CL-AN,,,region,15711,372
2020-09-01,Antofagasta,CL-AN,,,region,15711,372
2020-09-02,Antofagasta,CL-AN,,,region,18255,446
2020-09-03,Antofagasta,CL-AN,,,region,18255,446
2020-09-04,Antofagasta,CL-AN,,,region,18255,446
2020-09-05,Antofagasta,CL-AN,,,region,18255,446
2020-09-06,Antofagasta,CL-AN,,,region,18255,446
2020-09-07,Antofagasta,CL-AN,,,region,18587,456
2020-09-08,Antofagasta,CL-AN,,,region,18587,456
2020-09-09,Antofagasta,CL-AN,,,region,18587,456
2020-09-10,Antofagasta,CL-AN,,,region,18587,456
2020-09-11,Antofagasta,CL-AN,,,region,18587,456
2020-09-12,Antofagasta,CL-AN,,,region,18587,456
2020-09-16,Antofagasta,CL-AN,,,region,18587,456
2020-09-17,Antofagasta,CL-AN,,,region,19251,478
2020-09-18,Antofagasta,CL-AN,,,region,19251,478
2020-09-19,Antofagasta,CL-AN,,,region,19251,478
2020-09-20,Antofagasta,CL-AN,,,region,19251,478
2020-09-21,Antofagasta,CL-AN,,,region,18587,17399
2020-09-22,Antofagasta,CL-AN,,,region,18587,17399
2020-09-23,Antofagasta,CL-AN,,,region,19549,18633
2020-09-24,Antofagasta,CL-AN,,,region,19549,18633
2020-09-25,Antofagasta,CL-AN,,,region,19549,18633
2020-09-26,Antofagasta,CL-AN,,,region,19549,18633
2020-09-27,Antofagasta,CL-AN,,,region,19833,18861
2020-09-28,Antofagasta,CL-AN,,,region,19833,18861
2020-09-29,Antofagasta,CL-AN,,,region,19833,18861
2020-09-30,Antofagasta,CL-AN,,,region,19833,18861
2020-10-01,Antofagasta,CL-AN,,,region,19833,18861
2020-10-02,Antofagasta,CL-AN,,,region,19833,18861
2020-10-03,Antofagasta,CL-AN,,,region,19833,18861
2020-10-04,Antofagasta,CL-AN,,,region,19833,18861
2020-10-05,Antofagasta,CL-AN,,,region,20244,19191
2020-10-06,Antofagasta,CL-AN,,,region,20276,19261
2020-10-07,Antofagasta,CL-AN,,,region,20276,19261
2020-10-08,Antofagasta,CL-AN,,,region,20276,19261
2020-10-09,Antofagasta,CL-AN,,,region,20276,19261
2020-10-10,Antofagasta,CL-AN,,,region,20276,19261
2020-10-11,Antofagasta,CL-AN,,,region,20276,19261
2020-10-12,Antofagasta,CL-AN,,,region,20276,19261
2020-10-13,Antofagasta,CL-AN,,,region,20276,19261
2020-10-14,Antofagasta,CL-AN,,,region,20276,19261
2020-10-15,Antofagasta,CL-AN,,,region,20276,19261
2020-10-16,Antofagasta,CL-AN,,,region,20276,19261
2020-10-17,Antofagasta,CL-AN,,,region,20276,19261
2020-10-18,Antofagasta,CL-AN,,,region,20276,19261
2020-10-19,Antofagasta,CL-AN,,,region,20276,19261
