date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Coquimbo,CL-CO,,,region,56,0
2020-04-09,Coquimbo,CL-CO,,,region,61,0
2020-04-10,Coquimbo,CL-CO,,,region,61,0
2020-04-11,Coquimbo,CL-CO,,,region,64,0
2020-04-12,Coquimbo,CL-CO,,,region,66,0
2020-04-13,Coquimbo,CL-CO,,,region,66,0
2020-04-14,Coquimbo,CL-CO,,,region,66,0
2020-04-15,Coquimbo,CL-CO,,,region,66,0
2020-04-16,Coquimbo,CL-CO,,,region,68,0
2020-04-17,Coquimbo,CL-CO,,,region,68,0
2020-04-18,Coquimbo,CL-CO,,,region,68,0
2020-04-19,Coquimbo,CL-CO,,,region,68,0
2020-04-20,Coquimbo,CL-CO,,,region,69,0
2020-04-21,Coquimbo,CL-CO,,,region,69,0
2020-04-22,Coquimbo,CL-CO,,,region,70,0
2020-04-23,Coquimbo,CL-CO,,,region,70,0
2020-04-24,Coquimbo,CL-CO,,,region,72,0
2020-04-25,Coquimbo,CL-CO,,,region,72,0
