date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Biobío,CL-BI,,,region,439,2
2020-04-09,Biobío,CL-BI,,,region,460,2
2020-04-10,Biobío,CL-BI,,,region,474,2
2020-04-11,Biobío,CL-BI,,,region,490,2
2020-04-12,Biobío,CL-BI,,,region,500,2
2020-04-13,Biobío,CL-BI,,,region,512,2
2020-04-14,Biobío,CL-BI,,,region,528,2
2020-04-15,Biobío,CL-BI,,,region,542,2
2020-04-16,Biobío,CL-BI,,,region,559,2
2020-04-17,Biobío,CL-BI,,,region,578,3
2020-04-18,Biobío,CL-BI,,,region,606,3
2020-04-19,Biobío,CL-BI,,,region,616,3
2020-04-20,Biobío,CL-BI,,,region,626,3
2020-04-21,Biobío,CL-BI,,,region,636,4
2020-04-22,Biobío,CL-BI,,,region,658,5
2020-04-23,Biobío,CL-BI,,,region,658,5
