date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Tarapacá,CL-TA,,,region,26,0
2020-04-09,Tarapacá,CL-TA,,,region,29,0
2020-04-10,Tarapacá,CL-TA,,,region,35,0
2020-04-11,Tarapacá,CL-TA,,,region,38,0
2020-04-12,Tarapacá,CL-TA,,,region,46,0
2020-04-13,Tarapacá,CL-TA,,,region,52,0
2020-04-14,Tarapacá,CL-TA,,,region,62,0
2020-04-15,Tarapacá,CL-TA,,,region,62,0
2020-04-16,Tarapacá,CL-TA,,,region,66,0
2020-04-17,Tarapacá,CL-TA,,,region,73,0
2020-04-18,Tarapacá,CL-TA,,,region,81,0
2020-04-19,Tarapacá,CL-TA,,,region,90,0
2020-04-20,Tarapacá,CL-TA,,,region,93,0
2020-04-21,Tarapacá,CL-TA,,,region,104,0
2020-04-22,Tarapacá,CL-TA,,,region,114,0
2020-04-23,Tarapacá,CL-TA,,,region,128,0
2020-04-24,Tarapacá,CL-TA,,,region,134,0
2020-04-25,Tarapacá,CL-TA,,,region,143,1
2020-04-26,Tarapacá,CL-TA,,,region,156,1
2020-04-27,Tarapacá,CL-TA,,,region,164,1
2020-04-28,Tarapacá,CL-TA,,,region,169,1
2020-04-29,Tarapacá,CL-TA,,,region,183,1
2020-04-30,Tarapacá,CL-TA,,,region,198,1
2020-05-01,Tarapacá,CL-TA,,,region,200,1
2020-05-02,Tarapacá,CL-TA,,,region,212,1
2020-05-03,Tarapacá,CL-TA,,,region,272,1
2020-05-04,Tarapacá,CL-TA,,,region,295,1
2020-05-05,Tarapacá,CL-TA,,,region,322,1
2020-05-06,Tarapacá,CL-TA,,,region,339,1
2020-05-07,Tarapacá,CL-TA,,,region,417,1
2020-05-08,Tarapacá,CL-TA,,,region,459,1
2020-05-09,Tarapacá,CL-TA,,,region,485,1
2020-05-10,Tarapacá,CL-TA,,,region,520,1
2020-05-11,Tarapacá,CL-TA,,,region,547,1
2020-05-12,Tarapacá,CL-TA,,,region,578,1
2020-05-13,Tarapacá,CL-TA,,,region,615,1
2020-05-14,Tarapacá,CL-TA,,,region,682,1
2020-05-15,Tarapacá,CL-TA,,,region,779,2
2020-05-16,Tarapacá,CL-TA,,,region,845,2
2020-05-17,Tarapacá,CL-TA,,,region,975,4
2020-05-18,Tarapacá,CL-TA,,,region,1056,4
2020-05-19,Tarapacá,CL-TA,,,region,1109,4
2020-05-20,Tarapacá,CL-TA,,,region,1139,4
2020-05-21,Tarapacá,CL-TA,,,region,1246,4
2020-05-22,Tarapacá,CL-TA,,,region,1393,5
2020-05-23,Tarapacá,CL-TA,,,region,1471,5
2020-05-24,Tarapacá,CL-TA,,,region,1564,7
2020-05-25,Tarapacá,CL-TA,,,region,1630,7
2020-05-26,Tarapacá,CL-TA,,,region,1737,8
2020-05-27,Tarapacá,CL-TA,,,region,1811,11
2020-05-28,Tarapacá,CL-TA,,,region,1957,12
2020-05-29,Tarapacá,CL-TA,,,region,2093,14
2020-05-30,Tarapacá,CL-TA,,,region,2250,18
2020-05-31,Tarapacá,CL-TA,,,region,2361,21
2020-06-01,Tarapacá,CL-TA,,,region,2526,22
2020-06-02,Tarapacá,CL-TA,,,region,2594,23
2020-06-03,Tarapacá,CL-TA,,,region,2682,28
2020-06-04,Tarapacá,CL-TA,,,region,2810,28
2020-06-05,Tarapacá,CL-TA,,,region,2965,28
2020-06-06,Tarapacá,CL-TA,,,region,3094,30
2020-06-07,Tarapacá,CL-TA,,,region,3250,32
2020-06-08,Tarapacá,CL-TA,,,region,3250,32
2020-06-09,Tarapacá,CL-TA,,,region,3491,35
2020-06-10,Tarapacá,CL-TA,,,region,3591,46
2020-06-11,Tarapacá,CL-TA,,,region,3696,46
2020-06-12,Tarapacá,CL-TA,,,region,3696,46
2020-06-13,Tarapacá,CL-TA,,,region,4004,52
2020-06-14,Tarapacá,CL-TA,,,region,4145,58
2020-06-15,Tarapacá,CL-TA,,,region,4145,58
2020-06-16,Tarapacá,CL-TA,,,region,4365,58
2020-06-17,Tarapacá,CL-TA,,,region,4787,67
2020-06-18,Tarapacá,CL-TA,,,region,4787,67
2020-06-19,Tarapacá,CL-TA,,,region,394,216
2020-06-20,Tarapacá,CL-TA,,,region,394,216
2020-06-21,Tarapacá,CL-TA,,,region,402,217
2020-06-22,Tarapacá,CL-TA,,,region,402,217
2020-06-23,Tarapacá,CL-TA,,,region,411,217
2020-06-24,Tarapacá,CL-TA,,,region,5442,80
2020-06-25,Tarapacá,CL-TA,,,region,5577,85
2020-06-26,Tarapacá,CL-TA,,,region,5712,85
2020-06-28,Tarapacá,CL-TA,,,region,5771,88
2020-06-29,Tarapacá,CL-TA,,,region,5893,91
2020-06-30,Tarapacá,CL-TA,,,region,5974,91
