date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Valparaíso,CL-VS,,,region,225,2
2020-04-09,Valparaíso,CL-VS,,,region,230,2
2020-04-10,Valparaíso,CL-VS,,,region,241,2
2020-04-11,Valparaíso,CL-VS,,,region,248,2
2020-04-12,Valparaíso,CL-VS,,,region,254,2
2020-04-13,Valparaíso,CL-VS,,,region,273,2
2020-04-14,Valparaíso,CL-VS,,,region,285,2
2020-04-15,Valparaíso,CL-VS,,,region,299,2
2020-04-16,Valparaíso,CL-VS,,,region,330,4
2020-04-17,Valparaíso,CL-VS,,,region,345,4
2020-04-18,Valparaíso,CL-VS,,,region,359,4
2020-04-19,Valparaíso,CL-VS,,,region,381,5
2020-04-20,Valparaíso,CL-VS,,,region,388,5
2020-04-21,Valparaíso,CL-VS,,,region,403,6
2020-04-22,Valparaíso,CL-VS,,,region,421,7
2020-04-23,Valparaíso,CL-VS,,,region,429,7
2020-04-24,Valparaíso,CL-VS,,,region,436,8
2020-04-25,Valparaíso,CL-VS,,,region,454,9
2020-04-26,Valparaíso,CL-VS,,,region,460,9
2020-04-27,Valparaíso,CL-VS,,,region,485,9
2020-04-28,Valparaíso,CL-VS,,,region,493,10
2020-04-29,Valparaíso,CL-VS,,,region,526,12
2020-04-30,Valparaíso,CL-VS,,,region,559,12
2020-05-01,Valparaíso,CL-VS,,,region,568,12
2020-05-02,Valparaíso,CL-VS,,,region,614,13
2020-05-03,Valparaíso,CL-VS,,,region,638,13
2020-05-04,Valparaíso,CL-VS,,,region,656,13
2020-05-05,Valparaíso,CL-VS,,,region,656,13
