date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Los Lagos,CL-LL,,,region,325,2
2020-04-09,Los Lagos,CL-LL,,,region,340,2
2020-04-10,Los Lagos,CL-LL,,,region,349,2
2020-04-11,Los Lagos,CL-LL,,,region,364,5
2020-04-12,Los Lagos,CL-LL,,,region,372,5
2020-04-13,Los Lagos,CL-LL,,,region,380,5
2020-04-14,Los Lagos,CL-LL,,,region,385,5
2020-04-15,Los Lagos,CL-LL,,,region,390,5
2020-04-16,Los Lagos,CL-LL,,,region,399,5
2020-04-17,Los Lagos,CL-LL,,,region,412,6
2020-04-18,Los Lagos,CL-LL,,,region,416,6
2020-04-19,Los Lagos,CL-LL,,,region,421,6
2020-04-20,Los Lagos,CL-LL,,,region,424,6
2020-04-21,Los Lagos,CL-LL,,,region,432,6
2020-04-22,Los Lagos,CL-LL,,,region,445,6
2020-04-23,Los Lagos,CL-LL,,,region,454,7
2020-04-24,Los Lagos,CL-LL,,,region,460,8
2020-04-25,Los Lagos,CL-LL,,,region,465,8
2020-04-26,Los Lagos,CL-LL,,,region,473,8
2020-04-27,Los Lagos,CL-LL,,,region,477,8
2020-04-28,Los Lagos,CL-LL,,,region,477,9
2020-04-29,Los Lagos,CL-LL,,,region,481,9
2020-04-30,Los Lagos,CL-LL,,,region,487,10
2020-05-01,Los Lagos,CL-LL,,,region,501,10
2020-05-02,Los Lagos,CL-LL,,,region,513,10
2020-05-03,Los Lagos,CL-LL,,,region,517,10
2020-05-04,Los Lagos,CL-LL,,,region,524,10
2020-05-05,Los Lagos,CL-LL,,,region,525,10
2020-05-06,Los Lagos,CL-LL,,,region,541,10
2020-05-07,Los Lagos,CL-LL,,,region,545,10
2020-05-08,Los Lagos,CL-LL,,,region,548,10
2020-05-09,Los Lagos,CL-LL,,,region,559,10
2020-05-10,Los Lagos,CL-LL,,,region,575,10
2020-05-11,Los Lagos,CL-LL,,,region,592,10
2020-05-12,Los Lagos,CL-LL,,,region,594,11
2020-05-13,Los Lagos,CL-LL,,,region,628,11
2020-05-14,Los Lagos,CL-LL,,,region,633,11
2020-05-15,Los Lagos,CL-LL,,,region,641,11
