date,region,region_iso,province,city,place_type,cases,deaths
2020-04-08,Maule,CL-ML,,,region,119,2
2020-04-09,Maule,CL-ML,,,region,128,2
2020-04-10,Maule,CL-ML,,,region,131,2
2020-04-11,Maule,CL-ML,,,region,134,3
2020-04-12,Maule,CL-ML,,,region,138,3
2020-04-13,Maule,CL-ML,,,region,141,3
2020-04-14,Maule,CL-ML,,,region,142,4
2020-04-15,Maule,CL-ML,,,region,152,4
2020-04-16,Maule,CL-ML,,,region,167,4
2020-04-17,Maule,CL-ML,,,region,223,7
2020-04-18,Maule,CL-ML,,,region,276,8
2020-04-19,Maule,CL-ML,,,region,302,8
2020-04-20,Maule,CL-ML,,,region,304,10
2020-04-21,Maule,CL-ML,,,region,316,10
2020-04-22,Maule,CL-ML,,,region,328,10
2020-04-23,Maule,CL-ML,,,region,333,10
2020-04-24,Maule,CL-ML,,,region,349,10
2020-04-25,Maule,CL-ML,,,region,350,10
2020-04-26,Maule,CL-ML,,,region,354,11
2020-04-27,Maule,CL-ML,,,region,363,12
2020-04-28,Maule,CL-ML,,,region,384,12
2020-04-29,Maule,CL-ML,,,region,392,12
2020-04-30,Maule,CL-ML,,,region,393,13
2020-05-01,Maule,CL-ML,,,region,394,13
2020-05-02,Maule,CL-ML,,,region,396,13
2020-05-03,Maule,CL-ML,,,region,397,13
2020-05-04,Maule,CL-ML,,,region,399,13
2020-05-05,Maule,CL-ML,,,region,408,13
2020-05-06,Maule,CL-ML,,,region,408,13
2020-05-07,Maule,CL-ML,,,region,414,13
2020-05-08,Maule,CL-ML,,,region,425,13
2020-05-09,Maule,CL-ML,,,region,432,14
2020-05-10,Maule,CL-ML,,,region,441,14
2020-05-11,Maule,CL-ML,,,region,454,14
2020-05-12,Maule,CL-ML,,,region,466,14
2020-05-13,Maule,CL-ML,,,region,485,14
2020-05-14,Maule,CL-ML,,,region,519,14
2020-05-15,Maule,CL-ML,,,region,540,14
2020-05-16,Maule,CL-ML,,,region,551,14
2020-05-17,Maule,CL-ML,,,region,573,14
2020-05-18,Maule,CL-ML,,,region,602,14
2020-05-19,Maule,CL-ML,,,region,640,14
2020-05-20,Maule,CL-ML,,,region,680,14
2020-05-21,Maule,CL-ML,,,region,731,15
2020-05-22,Maule,CL-ML,,,region,782,15
2020-05-23,Maule,CL-ML,,,region,823,15
2020-05-24,Maule,CL-ML,,,region,892,15
2020-05-25,Maule,CL-ML,,,region,953,15
2020-05-26,Maule,CL-ML,,,region,1013,15
2020-05-27,Maule,CL-ML,,,region,1066,15
2020-05-28,Maule,CL-ML,,,region,1120,15
2020-05-29,Maule,CL-ML,,,region,1180,15
2020-05-30,Maule,CL-ML,,,region,1256,15
2020-05-31,Maule,CL-ML,,,region,1297,15
2020-06-01,Maule,CL-ML,,,region,1341,17
2020-06-02,Maule,CL-ML,,,region,1381,17
