date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-LAL,La Libertad,,departamento,9,2
2020-03-29,PE-LAL,La Libertad,,departamento,10,2
2020-04-06,PE-LAL,La Libertad,,departamento,50,4
2020-04-26,PE-LAL,La Libertad,,departamento,503,23
2020-04-27,PE-LAL,La Libertad,,departamento,553,23
2020-04-28,PE-LAL,La Libertad,,departamento,585,23
2020-04-29,PE-LAL,La Libertad,,departamento,585,23
2020-05-03,PE-LAL,La Libertad,,departamento,879,23
2020-05-04,PE-LAL,La Libertad,,departamento,965,23
2020-05-05,PE-LAL,La Libertad,,departamento,1062,46
2020-05-06,PE-LAL,La Libertad,,departamento,1062,46
2020-05-07,PE-LAL,La Libertad,,departamento,1206,67
2020-05-08,PE-LAL,La Libertad,,departamento,1275,66
2020-05-09,PE-LAL,La Libertad,,departamento,1275,66
2020-05-10,PE-LAL,La Libertad,,departamento,1449,66
2020-05-11,PE-LAL,La Libertad,,departamento,1470,66
2020-05-12,PE-LAL,La Libertad,,departamento,1566,66
2020-05-13,PE-LAL,La Libertad,,departamento,1623,66
2020-05-14,PE-LAL,La Libertad,,departamento,1711,66
2020-05-15,PE-LAL,La Libertad,,departamento,1834,66
2020-05-16,PE-LAL,La Libertad,,departamento,2015,66
2020-05-17,PE-LAL,La Libertad,,departamento,2015,66
2020-05-18,PE-LAL,La Libertad,,departamento,2324,66
2020-05-19,PE-LAL,La Libertad,,departamento,2378,93
2020-05-20,PE-LAL,La Libertad,,departamento,2378,93
2020-05-21,PE-LAL,La Libertad,,departamento,2447,93
2020-05-22,PE-LAL,La Libertad,,departamento,2542,93
2020-05-23,PE-LAL,La Libertad,,departamento,2682,93
2020-05-24,PE-LAL,La Libertad,,departamento,3023,93
2020-05-25,PE-LAL,La Libertad,,departamento,3023,93
2020-05-26,PE-LAL,La Libertad,,departamento,3178,93
2020-05-27,PE-LAL,La Libertad,,departamento,3309,163
2020-05-28,PE-LAL,La Libertad,,departamento,3523,169
2020-05-29,PE-LAL,La Libertad,,departamento,3818,174
2020-05-30,PE-LAL,La Libertad,,departamento,3998,184
2020-05-31,PE-LAL,La Libertad,,departamento,3998,184
2020-06-01,PE-LAL,La Libertad,,departamento,4660,191
2020-06-02,PE-LAL,La Libertad,,departamento,4898,199
2020-06-03,PE-LAL,La Libertad,,departamento,5351,212
2020-06-04,PE-LAL,La Libertad,,departamento,5392,220
2020-06-05,PE-LAL,La Libertad,,departamento,5392,220
2020-06-06,PE-LAL,La Libertad,,departamento,5670,235
2020-06-07,PE-LAL,La Libertad,,departamento,5841,244
2020-06-08,PE-LAL,La Libertad,,departamento,5916,252
2020-06-09,PE-LAL,La Libertad,,departamento,6082,262
2020-06-10,PE-LAL,La Libertad,,departamento,6082,262
2020-06-11,PE-LAL,La Libertad,,departamento,6311,273
2020-06-12,PE-LAL,La Libertad,,departamento,6642,286
2020-06-13,PE-LAL,La Libertad,,departamento,6830,286
2020-06-14,PE-LAL,La Libertad,,departamento,7239,317
2020-06-15,PE-LAL,La Libertad,,departamento,7239,332
2020-06-16,PE-LAL,La Libertad,,departamento,7391,348
2020-06-17,PE-LAL,La Libertad,,departamento,7714,384
2020-06-18,PE-LAL,La Libertad,,departamento,7839,400
2020-06-19,PE-LAL,La Libertad,,departamento,7839,400
2020-06-20,PE-LAL,La Libertad,,departamento,8185,431
2020-06-21,PE-LAL,La Libertad,,departamento,8185,431
2020-06-22,PE-LAL,La Libertad,,departamento,8381,441
2020-06-23,PE-LAL,La Libertad,,departamento,8658,481
2020-06-24,PE-LAL,La Libertad,,departamento,8658,481
2020-06-25,PE-LAL,La Libertad,,departamento,9090,515
2020-06-26,PE-LAL,La Libertad,,departamento,9090,515
2020-06-27,PE-LAL,La Libertad,,departamento,9490,538
2020-06-28,PE-LAL,La Libertad,,departamento,9490,538
2020-06-29,PE-LAL,La Libertad,,departamento,9692,553
2020-06-30,PE-LAL,La Libertad,,departamento,9856,568
2020-07-01,PE-LAL,La Libertad,,departamento,10148,598
2020-07-02,PE-LAL,La Libertad,,departamento,10333,615
2020-07-03,PE-LAL,La Libertad,,departamento,10509,632
2020-07-04,PE-LAL,La Libertad,,departamento,10509,632
2020-07-05,PE-LAL,La Libertad,,departamento,10727,651
2020-07-06,PE-LAL,La Libertad,,departamento,10956,675
2020-07-07,PE-LAL,La Libertad,,departamento,11171,707
2020-07-08,PE-LAL,La Libertad,,departamento,11171,707
2020-07-09,PE-LAL,La Libertad,,departamento,11494,738
2020-07-10,PE-LAL,La Libertad,,departamento,11494,738
2020-07-11,PE-LAL,La Libertad,,departamento,11629,745
2020-07-12,PE-LAL,La Libertad,,departamento,11774,759
2020-07-13,PE-LAL,La Libertad,,departamento,12128,788
2020-07-14,PE-LAL,La Libertad,,departamento,12128,788
2020-07-15,PE-LAL,La Libertad,,departamento,12341,811
2020-07-16,PE-LAL,La Libertad,,departamento,12626,841
2020-07-17,PE-LAL,La Libertad,,departamento,12626,841
2020-07-18,PE-LAL,La Libertad,,departamento,12743,854
2020-07-19,PE-LAL,La Libertad,,departamento,13074,876
2020-07-20,PE-LAL,La Libertad,,departamento,13074,876
2020-07-21,PE-LAL,La Libertad,,departamento,13203,890
2020-07-22,PE-LAL,La Libertad,,departamento,13355,917
2020-07-23,PE-LAL,La Libertad,,departamento,13664,1248
2020-07-24,PE-LAL,La Libertad,,departamento,13664,1248
2020-07-25,PE-LAL,La Libertad,,departamento,13897,1262
2020-07-26,PE-LAL,La Libertad,,departamento,13897,1262
2020-07-27,PE-LAL,La Libertad,,departamento,13897,1262
2020-07-28,PE-LAL,La Libertad,,departamento,14377,1294
2020-07-29,PE-LAL,La Libertad,,departamento,14550,1320
2020-07-30,PE-LAL,La Libertad,,departamento,14722,1327
2020-07-31,PE-LAL,La Libertad,,departamento,14722,1327
2020-08-01,PE-LAL,La Libertad,,departamento,14936,1331
2020-08-02,PE-LAL,La Libertad,,departamento,15481,1355
2020-08-03,PE-LAL,La Libertad,,departamento,15764,1363
2020-08-04,PE-LAL,La Libertad,,departamento,15903,1373
2020-08-05,PE-LAL,La Libertad,,departamento,16089,1379
2020-08-06,PE-LAL,La Libertad,,departamento,16392,1391
2020-08-07,PE-LAL,La Libertad,,departamento,16605,1397
