date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-CAL,Callao,,departamento,15,0
2020-03-29,PE-CAL,Callao,,departamento,18,1
2020-04-06,PE-CAL,Callao,,departamento,89,8
2020-04-26,PE-CAL,Callao,,departamento,2615,44
2020-04-27,PE-CAL,Callao,,departamento,2672,50
2020-04-28,PE-CAL,Callao,,departamento,2933,52
2020-04-29,PE-CAL,Callao,,departamento,2933,52
2020-05-03,PE-CAL,Callao,,departamento,3893,66
2020-05-04,PE-CAL,Callao,,departamento,3979,70
2020-05-05,PE-CAL,Callao,,departamento,4245,77
2020-05-06,PE-CAL,Callao,,departamento,4245,77
2020-05-07,PE-CAL,Callao,,departamento,4678,82
2020-05-08,PE-CAL,Callao,,departamento,4968,82
2020-05-09,PE-CAL,Callao,,departamento,4968,82
2020-05-10,PE-CAL,Callao,,departamento,5360,119
2020-05-11,PE-CAL,Callao,,departamento,5400,119
2020-05-12,PE-CAL,Callao,,departamento,5584,119
2020-05-13,PE-CAL,Callao,,departamento,5851,125
2020-05-14,PE-CAL,Callao,,departamento,6199,143
2020-05-15,PE-CAL,Callao,,departamento,6422,156
2020-05-16,PE-CAL,Callao,,departamento,6513,155
2020-05-17,PE-CAL,Callao,,departamento,6513,155
2020-05-18,PE-CAL,Callao,,departamento,6782,160
2020-05-19,PE-CAL,Callao,,departamento,7011,171
2020-05-20,PE-CAL,Callao,,departamento,7011,171
2020-05-21,PE-CAL,Callao,,departamento,7381,178
2020-05-22,PE-CAL,Callao,,departamento,7685,192
2020-05-23,PE-CAL,Callao,,departamento,7846,192
2020-05-24,PE-CAL,Callao,,departamento,8558,194
2020-05-25,PE-CAL,Callao,,departamento,8558,194
2020-05-26,PE-CAL,Callao,,departamento,8726,248
2020-05-27,PE-CAL,Callao,,departamento,9122,248
2020-05-28,PE-CAL,Callao,,departamento,9495,281
2020-05-29,PE-CAL,Callao,,departamento,9953,289
2020-05-30,PE-CAL,Callao,,departamento,12105,312
2020-05-31,PE-CAL,Callao,,departamento,12105,312
2020-06-01,PE-CAL,Callao,,departamento,12167,321
2020-06-02,PE-CAL,Callao,,departamento,12495,329
2020-06-03,PE-CAL,Callao,,departamento,13171,346
2020-06-04,PE-CAL,Callao,,departamento,13291,360
2020-06-05,PE-CAL,Callao,,departamento,13291,360
2020-06-06,PE-CAL,Callao,,departamento,13656,378
2020-06-07,PE-CAL,Callao,,departamento,13865,389
2020-06-08,PE-CAL,Callao,,departamento,14017,391
2020-06-09,PE-CAL,Callao,,departamento,14284,401
2020-06-10,PE-CAL,Callao,,departamento,14284,401
2020-06-11,PE-CAL,Callao,,departamento,14489,410
2020-06-12,PE-CAL,Callao,,departamento,14830,418
2020-06-13,PE-CAL,Callao,,departamento,15200,418
2020-06-14,PE-CAL,Callao,,departamento,15807,439
2020-06-15,PE-CAL,Callao,,departamento,15807,452
2020-06-16,PE-CAL,Callao,,departamento,15955,464
2020-06-17,PE-CAL,Callao,,departamento,16224,498
2020-06-18,PE-CAL,Callao,,departamento,16458,506
2020-06-19,PE-CAL,Callao,,departamento,16458,506
2020-06-20,PE-CAL,Callao,,departamento,16844,527
2020-06-21,PE-CAL,Callao,,departamento,16844,527
2020-06-22,PE-CAL,Callao,,departamento,16986,541
2020-06-23,PE-CAL,Callao,,departamento,17303,555
2020-06-24,PE-CAL,Callao,,departamento,17303,555
2020-06-25,PE-CAL,Callao,,departamento,17449,572
2020-06-26,PE-CAL,Callao,,departamento,17449,572
2020-06-27,PE-CAL,Callao,,departamento,17747,596
2020-06-28,PE-CAL,Callao,,departamento,17747,596
2020-06-29,PE-CAL,Callao,,departamento,17871,611
2020-06-30,PE-CAL,Callao,,departamento,17944,619
2020-07-01,PE-CAL,Callao,,departamento,18155,633
2020-07-02,PE-CAL,Callao,,departamento,18230,643
2020-07-03,PE-CAL,Callao,,departamento,18281,646
2020-07-04,PE-CAL,Callao,,departamento,18281,646
2020-07-05,PE-CAL,Callao,,departamento,18339,650
2020-07-06,PE-CAL,Callao,,departamento,18406,658
2020-07-07,PE-CAL,Callao,,departamento,18510,678
2020-07-08,PE-CAL,Callao,,departamento,18510,678
