date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-MDD,Madre de Dios,,departamento,1,0
2020-03-29,PE-MDD,Madre de Dios,,departamento,1,0
2020-04-06,PE-MDD,Madre de Dios,,departamento,2,0
2020-04-26,PE-MDD,Madre de Dios,,departamento,94,0
2020-04-27,PE-MDD,Madre de Dios,,departamento,87,0
2020-04-28,PE-MDD,Madre de Dios,,departamento,97,0
2020-04-29,PE-MDD,Madre de Dios,,departamento,97,0
2020-05-03,PE-MDD,Madre de Dios,,departamento,120,1
2020-05-04,PE-MDD,Madre de Dios,,departamento,121,1
2020-05-05,PE-MDD,Madre de Dios,,departamento,124,1
2020-05-06,PE-MDD,Madre de Dios,,departamento,124,1
2020-05-07,PE-MDD,Madre de Dios,,departamento,138,1
2020-05-08,PE-MDD,Madre de Dios,,departamento,139,1
2020-05-09,PE-MDD,Madre de Dios,,departamento,139,1
2020-05-10,PE-MDD,Madre de Dios,,departamento,162,1
2020-05-11,PE-MDD,Madre de Dios,,departamento,162,1
2020-05-12,PE-MDD,Madre de Dios,,departamento,163,1
2020-05-13,PE-MDD,Madre de Dios,,departamento,172,1
2020-05-14,PE-MDD,Madre de Dios,,departamento,177,3
2020-05-15,PE-MDD,Madre de Dios,,departamento,187,3
2020-05-16,PE-MDD,Madre de Dios,,departamento,201,3
2020-05-17,PE-MDD,Madre de Dios,,departamento,201,3
2020-05-18,PE-MDD,Madre de Dios,,departamento,204,3
2020-05-19,PE-MDD,Madre de Dios,,departamento,247,3
2020-05-20,PE-MDD,Madre de Dios,,departamento,247,3
2020-05-21,PE-MDD,Madre de Dios,,departamento,259,3
2020-05-22,PE-MDD,Madre de Dios,,departamento,265,6
2020-05-23,PE-MDD,Madre de Dios,,departamento,270,6
2020-05-24,PE-MDD,Madre de Dios,,departamento,325,6
2020-05-25,PE-MDD,Madre de Dios,,departamento,325,6
2020-05-26,PE-MDD,Madre de Dios,,departamento,314,6
2020-05-27,PE-MDD,Madre de Dios,,departamento,339,6
2020-05-28,PE-MDD,Madre de Dios,,departamento,388,6
2020-05-29,PE-MDD,Madre de Dios,,departamento,402,6
2020-05-30,PE-MDD,Madre de Dios,,departamento,485,6
2020-05-31,PE-MDD,Madre de Dios,,departamento,485,6
2020-06-01,PE-MDD,Madre de Dios,,departamento,493,6
2020-06-02,PE-MDD,Madre de Dios,,departamento,519,6
2020-06-03,PE-MDD,Madre de Dios,,departamento,611,6
2020-06-04,PE-MDD,Madre de Dios,,departamento,600,8
2020-06-05,PE-MDD,Madre de Dios,,departamento,600,8
2020-06-06,PE-MDD,Madre de Dios,,departamento,743,11
2020-06-07,PE-MDD,Madre de Dios,,departamento,744,11
2020-06-08,PE-MDD,Madre de Dios,,departamento,749,11
2020-06-09,PE-MDD,Madre de Dios,,departamento,807,12
2020-06-10,PE-MDD,Madre de Dios,,departamento,807,12
2020-06-11,PE-MDD,Madre de Dios,,departamento,832,13
2020-06-12,PE-MDD,Madre de Dios,,departamento,903,15
2020-06-13,PE-MDD,Madre de Dios,,departamento,945,15
2020-06-14,PE-MDD,Madre de Dios,,departamento,1047,16
2020-06-15,PE-MDD,Madre de Dios,,departamento,1047,18
2020-06-16,PE-MDD,Madre de Dios,,departamento,1050,19
2020-06-17,PE-MDD,Madre de Dios,,departamento,1184,19
2020-06-18,PE-MDD,Madre de Dios,,departamento,1229,20
2020-06-19,PE-MDD,Madre de Dios,,departamento,1229,20
2020-06-20,PE-MDD,Madre de Dios,,departamento,1307,22
2020-06-21,PE-MDD,Madre de Dios,,departamento,1307,22
2020-06-22,PE-MDD,Madre de Dios,,departamento,1346,23
2020-06-23,PE-MDD,Madre de Dios,,departamento,1397,24
2020-06-24,PE-MDD,Madre de Dios,,departamento,1397,24
2020-06-25,PE-MDD,Madre de Dios,,departamento,1467,25
2020-06-26,PE-MDD,Madre de Dios,,departamento,1467,25
2020-06-27,PE-MDD,Madre de Dios,,departamento,1599,27
2020-06-28,PE-MDD,Madre de Dios,,departamento,1599,27
2020-06-29,PE-MDD,Madre de Dios,,departamento,1636,27
2020-06-30,PE-MDD,Madre de Dios,,departamento,1787,30
2020-07-01,PE-MDD,Madre de Dios,,departamento,1897,32
2020-07-02,PE-MDD,Madre de Dios,,departamento,1958,42
2020-07-03,PE-MDD,Madre de Dios,,departamento,2058,58
2020-07-04,PE-MDD,Madre de Dios,,departamento,2058,58
2020-07-05,PE-MDD,Madre de Dios,,departamento,2119,70
2020-07-06,PE-MDD,Madre de Dios,,departamento,2196,70
2020-07-07,PE-MDD,Madre de Dios,,departamento,2285,73
2020-07-08,PE-MDD,Madre de Dios,,departamento,2285,73
2020-07-09,PE-MDD,Madre de Dios,,departamento,2362,76
2020-07-10,PE-MDD,Madre de Dios,,departamento,2362,76
2020-07-11,PE-MDD,Madre de Dios,,departamento,2372,78
2020-07-12,PE-MDD,Madre de Dios,,departamento,2389,78
2020-07-13,PE-MDD,Madre de Dios,,departamento,2451,80
2020-07-14,PE-MDD,Madre de Dios,,departamento,2451,80
2020-07-15,PE-MDD,Madre de Dios,,departamento,2472,80
2020-07-16,PE-MDD,Madre de Dios,,departamento,2542,81
2020-07-17,PE-MDD,Madre de Dios,,departamento,2542,81
