date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-CAJ,Cajamarca,,departamento,1,0
2020-03-29,PE-CAJ,Cajamarca,,departamento,1,0
2020-04-06,PE-CAJ,Cajamarca,,departamento,6,0
2020-04-26,PE-CAJ,Cajamarca,,departamento,128,2
2020-04-27,PE-CAJ,Cajamarca,,departamento,141,2
2020-04-28,PE-CAJ,Cajamarca,,departamento,156,3
2020-04-29,PE-CAJ,Cajamarca,,departamento,156,3
2020-05-03,PE-CAJ,Cajamarca,,departamento,259,3
2020-05-04,PE-CAJ,Cajamarca,,departamento,268,3
2020-05-05,PE-CAJ,Cajamarca,,departamento,322,3
2020-05-06,PE-CAJ,Cajamarca,,departamento,322,3
2020-05-07,PE-CAJ,Cajamarca,,departamento,316,3
2020-05-08,PE-CAJ,Cajamarca,,departamento,328,3
2020-05-09,PE-CAJ,Cajamarca,,departamento,328,3
2020-05-10,PE-CAJ,Cajamarca,,departamento,362,3
2020-05-11,PE-CAJ,Cajamarca,,departamento,367,3
2020-05-12,PE-CAJ,Cajamarca,,departamento,375,3
2020-05-13,PE-CAJ,Cajamarca,,departamento,393,3
2020-05-14,PE-CAJ,Cajamarca,,departamento,406,3
2020-05-15,PE-CAJ,Cajamarca,,departamento,411,3
2020-05-16,PE-CAJ,Cajamarca,,departamento,424,3
2020-05-17,PE-CAJ,Cajamarca,,departamento,424,3
2020-05-18,PE-CAJ,Cajamarca,,departamento,435,3
2020-05-19,PE-CAJ,Cajamarca,,departamento,446,3
2020-05-20,PE-CAJ,Cajamarca,,departamento,446,3
2020-05-21,PE-CAJ,Cajamarca,,departamento,451,3
2020-05-22,PE-CAJ,Cajamarca,,departamento,483,3
2020-05-23,PE-CAJ,Cajamarca,,departamento,495,3
2020-05-24,PE-CAJ,Cajamarca,,departamento,557,3
2020-05-25,PE-CAJ,Cajamarca,,departamento,557,3
2020-05-26,PE-CAJ,Cajamarca,,departamento,591,3
2020-05-27,PE-CAJ,Cajamarca,,departamento,625,3
2020-05-28,PE-CAJ,Cajamarca,,departamento,645,3
2020-05-29,PE-CAJ,Cajamarca,,departamento,669,3
2020-05-30,PE-CAJ,Cajamarca,,departamento,720,5
2020-05-31,PE-CAJ,Cajamarca,,departamento,720,5
2020-06-01,PE-CAJ,Cajamarca,,departamento,747,5
2020-06-02,PE-CAJ,Cajamarca,,departamento,786,6
2020-06-03,PE-CAJ,Cajamarca,,departamento,853,7
2020-06-04,PE-CAJ,Cajamarca,,departamento,882,8
2020-06-05,PE-CAJ,Cajamarca,,departamento,882,8
2020-06-06,PE-CAJ,Cajamarca,,departamento,907,9
2020-06-07,PE-CAJ,Cajamarca,,departamento,935,10
2020-06-08,PE-CAJ,Cajamarca,,departamento,947,11
2020-06-09,PE-CAJ,Cajamarca,,departamento,984,11
2020-06-10,PE-CAJ,Cajamarca,,departamento,984,11
2020-06-11,PE-CAJ,Cajamarca,,departamento,1013,13
2020-06-12,PE-CAJ,Cajamarca,,departamento,1062,13
2020-06-13,PE-CAJ,Cajamarca,,departamento,1135,13
2020-06-14,PE-CAJ,Cajamarca,,departamento,1279,16
2020-06-15,PE-CAJ,Cajamarca,,departamento,1279,16
2020-06-16,PE-CAJ,Cajamarca,,departamento,1314,16
2020-06-17,PE-CAJ,Cajamarca,,departamento,1378,18
2020-06-18,PE-CAJ,Cajamarca,,departamento,1422,18
2020-06-19,PE-CAJ,Cajamarca,,departamento,1422,18
2020-06-20,PE-CAJ,Cajamarca,,departamento,1518,20
2020-06-21,PE-CAJ,Cajamarca,,departamento,1518,20
2020-06-22,PE-CAJ,Cajamarca,,departamento,1568,22
2020-06-23,PE-CAJ,Cajamarca,,departamento,1631,24
2020-06-24,PE-CAJ,Cajamarca,,departamento,1631,24
2020-06-25,PE-CAJ,Cajamarca,,departamento,1774,43
2020-06-26,PE-CAJ,Cajamarca,,departamento,1774,43
2020-06-27,PE-CAJ,Cajamarca,,departamento,1929,62
2020-06-28,PE-CAJ,Cajamarca,,departamento,1929,62
2020-06-29,PE-CAJ,Cajamarca,,departamento,1983,65
2020-06-30,PE-CAJ,Cajamarca,,departamento,2091,67
2020-07-01,PE-CAJ,Cajamarca,,departamento,2196,71
2020-07-02,PE-CAJ,Cajamarca,,departamento,2292,74
2020-07-03,PE-CAJ,Cajamarca,,departamento,2404,81
2020-07-04,PE-CAJ,Cajamarca,,departamento,2404,81
2020-07-05,PE-CAJ,Cajamarca,,departamento,2470,84
2020-07-06,PE-CAJ,Cajamarca,,departamento,2587,87
2020-07-07,PE-CAJ,Cajamarca,,departamento,2850,110
2020-07-08,PE-CAJ,Cajamarca,,departamento,2850,110
2020-07-09,PE-CAJ,Cajamarca,,departamento,3110,119
2020-07-10,PE-CAJ,Cajamarca,,departamento,3110,119
