date,iso,region,city,place_type,cases,deaths
2020-03-26,PE-ICA,Ica,,departamento,3,0
2020-03-29,PE-ICA,Ica,,departamento,4,0
2020-04-06,PE-ICA,Ica,,departamento,14,1
2020-04-26,PE-ICA,Ica,,departamento,284,6
2020-04-27,PE-ICA,Ica,,departamento,339,6
2020-04-28,PE-ICA,Ica,,departamento,353,28
2020-04-29,PE-ICA,Ica,,departamento,353,28
2020-05-03,PE-ICA,Ica,,departamento,676,41
2020-05-04,PE-ICA,Ica,,departamento,688,41
2020-05-05,PE-ICA,Ica,,departamento,698,41
2020-05-06,PE-ICA,Ica,,departamento,698,41
2020-05-07,PE-ICA,Ica,,departamento,860,41
2020-05-08,PE-ICA,Ica,,departamento,884,41
2020-05-09,PE-ICA,Ica,,departamento,884,41
2020-05-10,PE-ICA,Ica,,departamento,1003,41
2020-05-11,PE-ICA,Ica,,departamento,1019,58
2020-05-12,PE-ICA,Ica,,departamento,1132,82
2020-05-13,PE-ICA,Ica,,departamento,1232,82
2020-05-14,PE-ICA,Ica,,departamento,1269,95
2020-05-15,PE-ICA,Ica,,departamento,1346,95
2020-05-16,PE-ICA,Ica,,departamento,1412,95
2020-05-17,PE-ICA,Ica,,departamento,1412,95
2020-05-18,PE-ICA,Ica,,departamento,1540,102
2020-05-19,PE-ICA,Ica,,departamento,1669,102
2020-05-20,PE-ICA,Ica,,departamento,1669,102
2020-05-21,PE-ICA,Ica,,departamento,1769,124
2020-05-22,PE-ICA,Ica,,departamento,1905,124
2020-05-23,PE-ICA,Ica,,departamento,1941,137
2020-05-24,PE-ICA,Ica,,departamento,2153,169
2020-05-25,PE-ICA,Ica,,departamento,2153,169
2020-05-26,PE-ICA,Ica,,departamento,2119,199
2020-05-27,PE-ICA,Ica,,departamento,2363,199
2020-05-28,PE-ICA,Ica,,departamento,2476,219
2020-05-29,PE-ICA,Ica,,departamento,2662,222
2020-05-30,PE-ICA,Ica,,departamento,2789,239
2020-05-31,PE-ICA,Ica,,departamento,2789,239
2020-06-01,PE-ICA,Ica,,departamento,3334,244
2020-06-02,PE-ICA,Ica,,departamento,3450,252
2020-06-03,PE-ICA,Ica,,departamento,3851,261
2020-06-04,PE-ICA,Ica,,departamento,3919,272
2020-06-05,PE-ICA,Ica,,departamento,3919,272
2020-06-06,PE-ICA,Ica,,departamento,4187,281
2020-06-07,PE-ICA,Ica,,departamento,4330,290
2020-06-08,PE-ICA,Ica,,departamento,4375,292
2020-06-09,PE-ICA,Ica,,departamento,4530,298
2020-06-10,PE-ICA,Ica,,departamento,4530,298
2020-06-11,PE-ICA,Ica,,departamento,4713,306
2020-06-12,PE-ICA,Ica,,departamento,4893,317
2020-06-13,PE-ICA,Ica,,departamento,5101,317
2020-06-14,PE-ICA,Ica,,departamento,5456,335
2020-06-15,PE-ICA,Ica,,departamento,5456,346
2020-06-16,PE-ICA,Ica,,departamento,5534,353
2020-06-17,PE-ICA,Ica,,departamento,5745,372
2020-06-18,PE-ICA,Ica,,departamento,5865,383
2020-06-19,PE-ICA,Ica,,departamento,5865,383
2020-06-20,PE-ICA,Ica,,departamento,6048,398
2020-06-21,PE-ICA,Ica,,departamento,6048,398
2020-06-22,PE-ICA,Ica,,departamento,6176,409
2020-06-23,PE-ICA,Ica,,departamento,6397,430
2020-06-24,PE-ICA,Ica,,departamento,6397,430
2020-06-25,PE-ICA,Ica,,departamento,6723,442
2020-06-26,PE-ICA,Ica,,departamento,6723,442
2020-06-27,PE-ICA,Ica,,departamento,6981,456
2020-06-28,PE-ICA,Ica,,departamento,6981,456
2020-06-29,PE-ICA,Ica,,departamento,7121,464
2020-06-30,PE-ICA,Ica,,departamento,7407,470
2020-07-01,PE-ICA,Ica,,departamento,7727,486
2020-07-02,PE-ICA,Ica,,departamento,7850,497
2020-07-03,PE-ICA,Ica,,departamento,8072,502
2020-07-04,PE-ICA,Ica,,departamento,8072,502
2020-07-05,PE-ICA,Ica,,departamento,8195,513
2020-07-06,PE-ICA,Ica,,departamento,8314,527
