date,country,region,place_type,geo_code,cases,deaths
2020-04-06,England,England,country,E92,42990,4897
2020-04-05,England,England,country,E92,39814,4494
2020-04-04,England,England,country,E92,34707,3939
2020-04-03,England,England,country,E92,31797,3302
2020-04-02,England,England,country,E92,28221,2698
2020-04-01,England,England,country,E92,24638,2166
2020-03-31,England,England,country,E92,21008,1651
2020-03-30,England,England,country,E92,18594,1284
2020-03-29,England,England,country,E92,16487,1125
2020-03-28,England,England,country,E92,14427,926
2020-03-27,England,England,country,E92,12288,679
2020-03-26,England,England,country,E92,9782,515
2020-03-25,England,England,country,E92,7973,412
2020-03-24,England,England,country,E92,6843,385
2020-03-23,England,England,country,E92,5585,303
2020-03-22,England,England,country,E92,4792,257
2020-03-21,England,England,country,E92,4257,222
2020-03-20,England,England,country,E92,3384,167
2020-03-19,England,England,country,E92,2756,135
2020-03-18,England,England,country,E92,2182,98
2020-03-17,England,England,country,E92,1557,67
2020-03-16,England,England,country,E92,1196,53
2020-03-15,England,England,country,E92,1099,34
2020-03-14,England,England,country,E92,925,20
2020-03-13,England,England,country,E92,645,10
2020-03-12,England,England,country,E92,491,8
2020-03-11,England,England,country,E92,387,6
2020-03-10,England,England,country,E92,324,6
2020-03-09,England,England,country,E92,280,3
2020-03-08,England,England,country,E92,244,2
2020-03-07,England,England,country,E92,184,2
2020-03-06,England,England,country,E92,143,1
2020-03-05,England,England,country,E92,103,
2020-03-04,England,England,country,E92,,
2020-03-03,England,England,country,E92,,
2020-03-02,England,England,country,E92,,
2020-03-01,England,England,country,E92,,
2020-02-29,England,England,country,E92,,
2020-02-28,England,England,country,E92,,
2020-02-27,England,England,country,E92,,
2020-02-26,England,England,country,E92,,
2020-02-25,England,England,country,E92,,
2020-04-06,England,Barking and Dagenham,utla,E09000002,211,
2020-04-05,England,Barking and Dagenham,utla,E09000002,209,
2020-04-04,England,Barking and Dagenham,utla,E09000002,183,
2020-04-03,England,Barking and Dagenham,utla,E09000002,178,
2020-04-02,England,Barking and Dagenham,utla,E09000002,141,
2020-04-01,England,Barking and Dagenham,utla,E09000002,130,
2020-03-31,England,Barking and Dagenham,utla,E09000002,125,
2020-03-30,England,Barking and Dagenham,utla,E09000002,115,
2020-03-29,England,Barking and Dagenham,utla,E09000002,100,
2020-03-28,England,Barking and Dagenham,utla,E09000002,93,
2020-03-27,England,Barking and Dagenham,utla,E09000002,82,
2020-03-26,England,Barking and Dagenham,utla,E09000002,72,
2020-03-25,England,Barking and Dagenham,utla,E09000002,53,
2020-03-24,England,Barking and Dagenham,utla,E09000002,45,
2020-03-23,England,Barking and Dagenham,utla,E09000002,42,
2020-03-22,England,Barking and Dagenham,utla,E09000002,35,
2020-03-21,England,Barking and Dagenham,utla,E09000002,30,
2020-03-20,England,Barking and Dagenham,utla,E09000002,21,
2020-03-19,England,Barking and Dagenham,utla,E09000002,18,
2020-03-18,England,Barking and Dagenham,utla,E09000002,14,
2020-03-17,England,Barking and Dagenham,utla,E09000002,9,
2020-03-16,England,Barking and Dagenham,utla,E09000002,10,
2020-03-15,England,Barking and Dagenham,utla,E09000002,7,
2020-03-14,England,Barking and Dagenham,utla,E09000002,5,
2020-03-13,England,Barking and Dagenham,utla,E09000002,4,
2020-03-12,England,Barking and Dagenham,utla,E09000002,3,
2020-03-11,England,Barking and Dagenham,utla,E09000002,1,
2020-03-10,England,Barking and Dagenham,utla,E09000002,1,
2020-03-09,England,Barking and Dagenham,utla,E09000002,0,
2020-03-08,England,Barking and Dagenham,utla,E09000002,0,
2020-03-07,England,Barking and Dagenham,utla,E09000002,0,
2020-03-06,England,Barking and Dagenham,utla,E09000002,,
2020-03-05,England,Barking and Dagenham,utla,E09000002,,
2020-03-04,England,Barking and Dagenham,utla,E09000002,,
2020-03-03,England,Barking and Dagenham,utla,E09000002,,
2020-03-02,England,Barking and Dagenham,utla,E09000002,,
2020-03-01,England,Barking and Dagenham,utla,E09000002,,
2020-02-29,England,Barking and Dagenham,utla,E09000002,,
2020-02-28,England,Barking and Dagenham,utla,E09000002,,
2020-02-27,England,Barking and Dagenham,utla,E09000002,,
2020-02-26,England,Barking and Dagenham,utla,E09000002,,
2020-02-25,England,Barking and Dagenham,utla,E09000002,,
2020-04-06,England,Barnet,utla,E09000003,666,
2020-04-05,England,Barnet,utla,E09000003,645,
2020-04-04,England,Barnet,utla,E09000003,589,
2020-04-03,England,Barnet,utla,E09000003,547,
2020-04-02,England,Barnet,utla,E09000003,510,
2020-04-01,England,Barnet,utla,E09000003,468,
2020-03-31,England,Barnet,utla,E09000003,130,
2020-03-30,England,Barnet,utla,E09000003,124,
2020-03-29,England,Barnet,utla,E09000003,119,
2020-03-28,England,Barnet,utla,E09000003,117,
2020-03-27,England,Barnet,utla,E09000003,115,
2020-03-26,England,Barnet,utla,E09000003,103,
2020-03-25,England,Barnet,utla,E09000003,100,
2020-03-24,England,Barnet,utla,E09000003,99,
2020-03-23,England,Barnet,utla,E09000003,94,
2020-03-22,England,Barnet,utla,E09000003,88,
2020-03-21,England,Barnet,utla,E09000003,81,
2020-03-20,England,Barnet,utla,E09000003,76,
2020-03-19,England,Barnet,utla,E09000003,28,
2020-03-18,England,Barnet,utla,E09000003,27,
2020-03-17,England,Barnet,utla,E09000003,24,
2020-03-16,England,Barnet,utla,E09000003,25,
2020-03-15,England,Barnet,utla,E09000003,25,
2020-03-14,England,Barnet,utla,E09000003,23,
2020-03-13,England,Barnet,utla,E09000003,14,
2020-03-12,England,Barnet,utla,E09000003,9,
2020-03-11,England,Barnet,utla,E09000003,8,
2020-03-10,England,Barnet,utla,E09000003,8,
2020-03-09,England,Barnet,utla,E09000003,5,
2020-03-08,England,Barnet,utla,E09000003,4,
2020-03-07,England,Barnet,utla,E09000003,3,
2020-03-06,England,Barnet,utla,E09000003,,
2020-03-05,England,Barnet,utla,E09000003,,
2020-03-04,England,Barnet,utla,E09000003,,
2020-03-03,England,Barnet,utla,E09000003,,
2020-03-02,England,Barnet,utla,E09000003,,
2020-03-01,England,Barnet,utla,E09000003,,
2020-02-29,England,Barnet,utla,E09000003,,
2020-02-28,England,Barnet,utla,E09000003,,
2020-02-27,England,Barnet,utla,E09000003,,
2020-02-26,England,Barnet,utla,E09000003,,
2020-02-25,England,Barnet,utla,E09000003,,
2020-04-06,England,Barnsley,utla,E08000016,216,
2020-04-05,England,Barnsley,utla,E08000016,200,
2020-04-04,England,Barnsley,utla,E08000016,158,
2020-04-03,England,Barnsley,utla,E08000016,154,
2020-04-02,England,Barnsley,utla,E08000016,134,
2020-04-01,England,Barnsley,utla,E08000016,122,
2020-03-31,England,Barnsley,utla,E08000016,100,
2020-03-30,England,Barnsley,utla,E08000016,79,
2020-03-29,England,Barnsley,utla,E08000016,70,
2020-03-28,England,Barnsley,utla,E08000016,62,
2020-03-27,England,Barnsley,utla,E08000016,42,
2020-03-26,England,Barnsley,utla,E08000016,27,
2020-03-25,England,Barnsley,utla,E08000016,19,
2020-03-24,England,Barnsley,utla,E08000016,15,
2020-03-23,England,Barnsley,utla,E08000016,11,
2020-03-22,England,Barnsley,utla,E08000016,10,
2020-03-21,England,Barnsley,utla,E08000016,7,
2020-03-20,England,Barnsley,utla,E08000016,7,
2020-03-19,England,Barnsley,utla,E08000016,7,
2020-03-18,England,Barnsley,utla,E08000016,6,
2020-03-17,England,Barnsley,utla,E08000016,2,
2020-03-16,England,Barnsley,utla,E08000016,4,
2020-03-15,England,Barnsley,utla,E08000016,5,
2020-03-14,England,Barnsley,utla,E08000016,3,
2020-03-13,England,Barnsley,utla,E08000016,2,
2020-03-12,England,Barnsley,utla,E08000016,2,
2020-03-11,England,Barnsley,utla,E08000016,2,
2020-03-10,England,Barnsley,utla,E08000016,2,
2020-03-09,England,Barnsley,utla,E08000016,2,
2020-03-08,England,Barnsley,utla,E08000016,2,
2020-03-07,England,Barnsley,utla,E08000016,2,
2020-03-06,England,Barnsley,utla,E08000016,,
