date,country,region,place_type,geo_code,cases,deaths
2020-03-20,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-19,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-18,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-17,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-16,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-15,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-14,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-13,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-12,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-11,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-10,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-09,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-08,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-07,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-06,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-05,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-04,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-03,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-02,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-03-01,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-02-29,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-02-28,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-02-27,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-02-26,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-02-25,Northern Ireland,Ards and North Down,lgd,N09000011,,
2020-04-15,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,220,
2020-04-14,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-13,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-12,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-11,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-10,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,157,
2020-04-09,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,142,
2020-04-08,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,135,
2020-04-07,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,120,
2020-04-06,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,109,
2020-04-05,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-04,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-03,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,91,
2020-04-02,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,79,
2020-04-01,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,70,
2020-03-31,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,62,
2020-03-30,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,53,
2020-03-29,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-28,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-27,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,29,
2020-03-26,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,22,
2020-03-25,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-24,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-23,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-22,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-21,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-20,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-19,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-18,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-17,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-16,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-15,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-14,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-13,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-12,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-11,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-10,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-09,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-08,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-07,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-06,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-05,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-04,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-03,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-02,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-03-01,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-02-29,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-02-28,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-02-27,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-02-26,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-02-25,Northern Ireland,Armagh City Banbridge and Craigavon,lgd,N09000002,,
2020-04-15,Northern Ireland,Belfast,lgd,N09000003,649,
2020-04-14,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-13,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-12,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-11,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-10,Northern Ireland,Belfast,lgd,N09000003,514,
2020-04-09,Northern Ireland,Belfast,lgd,N09000003,482,
2020-04-08,Northern Ireland,Belfast,lgd,N09000003,429,
2020-04-07,Northern Ireland,Belfast,lgd,N09000003,396,
2020-04-06,Northern Ireland,Belfast,lgd,N09000003,377,
2020-04-05,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-04,Northern Ireland,Belfast,lgd,N09000003,,
