date,country,region,place_type,geo_code,cases,deaths
2020-04-20,Wales,Wales,country,W92,7546,584
2020-04-19,Wales,Wales,country,W92,7270,575
2020-04-18,Wales,Wales,country,W92,6936,534
2020-04-17,Wales,Wales,country,W92,6645,506
2020-04-16,Wales,Wales,country,W92,6401,495
2020-04-15,Wales,Wales,country,W92,6118,463
2020-04-14,Wales,Wales,country,W92,5848,403
2020-04-13,Wales,Wales,country,W92,5610,384
2020-04-12,Wales,Wales,country,W92,5297,369
2020-04-11,Wales,Wales,country,W92,4930,351
2020-04-10,Wales,Wales,country,W92,4591,315
2020-04-09,Wales,Wales,country,W92,4089,286
2020-04-08,Wales,Wales,country,W92,4073,245
2020-04-07,Wales,Wales,country,W92,3790,212
2020-04-06,Wales,Wales,country,W92,3499,193
2020-04-05,Wales,Wales,country,W92,3197,166
2020-04-04,Wales,Wales,country,W92,2853,154
2020-04-03,Wales,Wales,country,W92,2466,141
2020-04-02,Wales,Wales,country,W92,2121,117
2020-04-01,Wales,Wales,country,W92,1837,98
2020-03-31,Wales,Wales,country,W92,1563,69
2020-03-30,Wales,Wales,country,W92,533,62
2020-03-29,Wales,Wales,country,W92,410,48
2020-03-28,Wales,Wales,country,W92,324,38
2020-03-27,Wales,Wales,country,W92,921,34
2020-03-26,Wales,Wales,country,W92,741,
2020-03-25,Wales,Wales,country,W92,628,
2020-03-24,Wales,Wales,country,W92,478,
2020-03-23,Wales,Wales,country,W92,418,
2020-03-22,Wales,Wales,country,W92,347,
2020-03-21,Wales,Wales,country,W92,280,
2020-03-20,Wales,Wales,country,W92,191,
2020-03-19,Wales,Wales,country,W92,170,
2020-03-18,Wales,Wales,country,W92,149,
2020-03-17,Wales,Wales,country,W92,136,
2020-03-16,Wales,Wales,country,W92,124,
2020-03-15,Wales,Wales,country,W92,94,
2020-03-14,Wales,Wales,country,W92,60,
2020-03-13,Wales,Wales,country,W92,38,
2020-03-12,Wales,Wales,country,W92,25,
2020-03-11,Wales,Wales,country,W92,15,
2020-03-10,Wales,Wales,country,W92,6,
2020-03-09,Wales,Wales,country,W92,6,
2020-03-08,Wales,Wales,country,W92,4,
2020-03-07,Wales,Wales,country,W92,2,
2020-03-06,Wales,Wales,country,W92,2,
2020-03-05,Wales,Wales,country,W92,2,
2020-03-04,Wales,Wales,country,W92,1,
2020-03-03,Wales,Wales,country,W92,1,
2020-03-02,Wales,Wales,country,W92,1,
2020-03-01,Wales,Wales,country,W92,1,
2020-02-29,Wales,Wales,country,W92,1,
2020-02-28,Wales,Wales,country,W92,1,
2020-02-27,Wales,Wales,country,W92,0,
2020-02-26,Wales,Wales,country,W92,0,
2020-02-25,Wales,Wales,country,W92,0,
2020-04-20,Wales,Aneurin Bevan,health_board,W11000028,1774,
2020-04-19,Wales,Aneurin Bevan,health_board,W11000028,1733,
2020-04-18,Wales,Aneurin Bevan,health_board,W11000028,1688,
2020-04-17,Wales,Aneurin Bevan,health_board,W11000028,1639,
2020-04-16,Wales,Aneurin Bevan,health_board,W11000028,1609,
2020-04-15,Wales,Aneurin Bevan,health_board,W11000028,1570,
2020-04-14,Wales,Aneurin Bevan,health_board,W11000028,1550,
2020-04-13,Wales,Aneurin Bevan,health_board,W11000028,1500,
2020-04-12,Wales,Aneurin Bevan,health_board,W11000028,1453,
2020-04-11,Wales,Aneurin Bevan,health_board,W11000028,1378,
2020-04-10,Wales,Aneurin Bevan,health_board,W11000028,1311,
2020-04-09,Wales,Aneurin Bevan,health_board,W11000028,,
2020-04-08,Wales,Aneurin Bevan,health_board,W11000028,1211,
2020-04-07,Wales,Aneurin Bevan,health_board,W11000028,1160,
2020-04-06,Wales,Aneurin Bevan,health_board,W11000028,1103,
2020-04-05,Wales,Aneurin Bevan,health_board,W11000028,1020,
2020-04-04,Wales,Aneurin Bevan,health_board,W11000028,956,
2020-04-03,Wales,Aneurin Bevan,health_board,W11000028,869,
2020-04-02,Wales,Aneurin Bevan,health_board,W11000028,766,
2020-04-01,Wales,Aneurin Bevan,health_board,W11000028,681,
2020-03-31,Wales,Aneurin Bevan,health_board,W11000028,590,
2020-03-30,Wales,Aneurin Bevan,health_board,W11000028,565,
2020-03-29,Wales,Aneurin Bevan,health_board,W11000028,514,
2020-03-28,Wales,Aneurin Bevan,health_board,W11000028,482,
2020-03-27,Wales,Aneurin Bevan,health_board,W11000028,432,
2020-03-26,Wales,Aneurin Bevan,health_board,W11000028,358,
2020-03-25,Wales,Aneurin Bevan,health_board,W11000028,309,
2020-03-24,Wales,Aneurin Bevan,health_board,W11000028,248,
2020-03-23,Wales,Aneurin Bevan,health_board,W11000028,220,
2020-03-22,Wales,Aneurin Bevan,health_board,W11000028,185,
2020-03-21,Wales,Aneurin Bevan,health_board,W11000028,145,
2020-03-20,Wales,Aneurin Bevan,health_board,W11000028,,
2020-03-19,Wales,Aneurin Bevan,health_board,W11000028,76,
2020-03-18,Wales,Aneurin Bevan,health_board,W11000028,,
2020-03-17,Wales,Aneurin Bevan,health_board,W11000028,,
2020-03-16,Wales,Aneurin Bevan,health_board,W11000028,,
2020-03-15,Wales,Aneurin Bevan,health_board,W11000028,,
