date,iso,state,city,place_type,cases,deaths,recovered
2020-01-25,VIC,Victoria,,state,1,0,
2020-01-26,VIC,Victoria,,state,1,0,
2020-01-27,VIC,Victoria,,state,1,0,
2020-01-28,VIC,Victoria,,state,1,0,
2020-01-29,VIC,Victoria,,state,3,0,
2020-01-30,VIC,Victoria,,state,3,0,
2020-01-31,VIC,Victoria,,state,3,0,
2020-02-01,VIC,Victoria,,state,4,0,
2020-02-02,VIC,Victoria,,state,4,0,
2020-02-03,VIC,Victoria,,state,4,0,
2020-02-04,VIC,Victoria,,state,4,0,
2020-02-05,VIC,Victoria,,state,4,0,
2020-02-06,VIC,Victoria,,state,4,0,
2020-02-07,VIC,Victoria,,state,4,0,
2020-02-08,VIC,Victoria,,state,4,0,
2020-02-09,VIC,Victoria,,state,4,0,
2020-02-10,VIC,Victoria,,state,4,0,
2020-02-11,VIC,Victoria,,state,4,0,
2020-02-12,VIC,Victoria,,state,4,0,
2020-02-13,VIC,Victoria,,state,4,0,
2020-02-14,VIC,Victoria,,state,4,0,
2020-02-15,VIC,Victoria,,state,4,0,
2020-02-16,VIC,Victoria,,state,4,0,
2020-02-17,VIC,Victoria,,state,4,0,
2020-02-18,VIC,Victoria,,state,4,0,
2020-02-19,VIC,Victoria,,state,4,0,
2020-02-20,VIC,Victoria,,state,4,0,
2020-02-21,VIC,Victoria,,state,4,0,
2020-02-22,VIC,Victoria,,state,4,0,
2020-02-23,VIC,Victoria,,state,4,0,
2020-02-24,VIC,Victoria,,state,4,0,
2020-02-25,VIC,Victoria,,state,4,0,
2020-02-26,VIC,Victoria,,state,4,0,
2020-02-27,VIC,Victoria,,state,7,0,
2020-02-28,VIC,Victoria,,state,7,0,
2020-02-29,VIC,Victoria,,state,7,0,
2020-03-01,VIC,Victoria,,state,9,0,
2020-03-02,VIC,Victoria,,state,9,0,
2020-03-03,VIC,Victoria,,state,9,0,
2020-03-04,VIC,Victoria,,state,10,0,
2020-03-05,VIC,Victoria,,state,10,0,
2020-03-06,VIC,Victoria,,state,10,0,
2020-03-07,VIC,Victoria,,state,11,0,
2020-03-08,VIC,Victoria,,state,12,0,
2020-03-09,VIC,Victoria,,state,15,0,
2020-03-10,VIC,Victoria,,state,19,0,
2020-03-11,VIC,Victoria,,state,22,0,
2020-03-12,VIC,Victoria,,state,28,0,
2020-03-13,VIC,Victoria,,state,37,0,
2020-03-14,VIC,Victoria,,state,50,0,
2020-03-15,VIC,Victoria,,state,58,0,
