date,state,county,place_type,fips,cases,deaths
2023-03-11,West Virginia,,state,54,643270,8104
2023-03-10,West Virginia,,state,54,643270,8104
2023-03-09,West Virginia,,state,54,643270,8104
2023-03-08,West Virginia,,state,54,643270,8091
2023-03-07,West Virginia,,state,54,641856,8062
2023-03-06,West Virginia,,state,54,641856,8062
2023-03-05,West Virginia,,state,54,641856,8062
2023-03-04,West Virginia,,state,54,641856,8062
2023-03-03,West Virginia,,state,54,641856,8062
2023-03-02,West Virginia,,state,54,641856,8062
2023-03-01,West Virginia,,state,54,641856,8062
2023-02-28,West Virginia,,state,54,640150,8048
2023-02-27,West Virginia,,state,54,640150,8027
2023-02-26,West Virginia,,state,54,640150,8027
2023-02-25,West Virginia,,state,54,640150,8027
2023-02-24,West Virginia,,state,54,640150,8027
2023-02-23,West Virginia,,state,54,640150,8027
2023-02-22,West Virginia,,state,54,640150,8027
2023-02-21,West Virginia,,state,54,639246,8024
2023-02-20,West Virginia,,state,54,639246,8024
2023-02-19,West Virginia,,state,54,639246,8024
2023-02-18,West Virginia,,state,54,639246,8024
2023-02-17,West Virginia,,state,54,639246,8024
2023-02-16,West Virginia,,state,54,638905,8023
2023-02-15,West Virginia,,state,54,638456,8012
2023-02-14,West Virginia,,state,54,638249,8012
2023-02-13,West Virginia,,state,54,637762,8010
2023-02-12,West Virginia,,state,54,637100,8005
2023-02-11,West Virginia,,state,54,637100,8005
2023-02-10,West Virginia,,state,54,637100,8005
2023-02-09,West Virginia,,state,54,636849,8001
2023-02-08,West Virginia,,state,54,636560,7988
2023-02-07,West Virginia,,state,54,636240,7982
2023-02-06,West Virginia,,state,54,635982,7981
2023-02-05,West Virginia,,state,54,635437,7974
2023-02-04,West Virginia,,state,54,635437,7974
2023-02-03,West Virginia,,state,54,635437,7974
2023-02-02,West Virginia,,state,54,635132,7973
2023-02-01,West Virginia,,state,54,634853,7960
2023-01-31,West Virginia,,state,54,634541,7957
2023-01-30,West Virginia,,state,54,634285,7945
2023-01-29,West Virginia,,state,54,633636,7934
2023-01-28,West Virginia,,state,54,633636,7934
2023-01-27,West Virginia,,state,54,633636,7934
2023-01-26,West Virginia,,state,54,633282,7934
2023-01-25,West Virginia,,state,54,632957,7922
2023-01-24,West Virginia,,state,54,632661,7922
2023-01-23,West Virginia,,state,54,632411,7922
2023-01-22,West Virginia,,state,54,631811,7916
2023-01-21,West Virginia,,state,54,631811,7916
2023-01-20,West Virginia,,state,54,631811,7916
2023-01-19,West Virginia,,state,54,631504,7904
2023-01-18,West Virginia,,state,54,631197,7904
2023-01-17,West Virginia,,state,54,630808,7901
2023-01-16,West Virginia,,state,54,629923,7896
2023-01-15,West Virginia,,state,54,629923,7896
2023-01-14,West Virginia,,state,54,629923,7896
2023-01-13,West Virginia,,state,54,629923,7896
2023-01-12,West Virginia,,state,54,629594,7881
2023-01-11,West Virginia,,state,54,629262,7881
2023-01-10,West Virginia,,state,54,628901,7869
2023-01-09,West Virginia,,state,54,628595,7852
2023-01-08,West Virginia,,state,54,627775,7843
2023-01-07,West Virginia,,state,54,627775,7843
2023-01-06,West Virginia,,state,54,627775,7843
2023-01-05,West Virginia,,state,54,627265,7829
2023-01-04,West Virginia,,state,54,626674,7818
2023-01-03,West Virginia,,state,54,626123,7795
2023-01-02,West Virginia,,state,54,624721,7795
2023-01-01,West Virginia,,state,54,624721,7795
2022-12-31,West Virginia,,state,54,624721,7795
2022-12-30,West Virginia,,state,54,624721,7795
2022-12-29,West Virginia,,state,54,624174,7786
2022-12-28,West Virginia,,state,54,623541,7786
2022-12-27,West Virginia,,state,54,623080,7786
2022-12-26,West Virginia,,state,54,621614,7786
2022-12-25,West Virginia,,state,54,621614,7786
2022-12-24,West Virginia,,state,54,621614,7786
2022-12-23,West Virginia,,state,54,621614,7786
2022-12-22,West Virginia,,state,54,621614,7786
2022-12-21,West Virginia,,state,54,621117,7786
2022-12-20,West Virginia,,state,54,620606,7786
2022-12-19,West Virginia,,state,54,620243,7786
2022-12-18,West Virginia,,state,54,619323,7786
2022-12-17,West Virginia,,state,54,619323,7786
2022-12-16,West Virginia,,state,54,619323,7786
2022-12-15,West Virginia,,state,54,618893,7783
2022-12-14,West Virginia,,state,54,618480,7776
2022-12-13,West Virginia,,state,54,618099,7776
2022-12-12,West Virginia,,state,54,617812,7774
2022-12-11,West Virginia,,state,54,617094,7766
2022-12-10,West Virginia,,state,54,617094,7766
2022-12-09,West Virginia,,state,54,617094,7766
2022-12-08,West Virginia,,state,54,616804,7765
2022-12-07,West Virginia,,state,54,616506,7749
