date,state,county,place_type,fips,cases,deaths
2022-05-01,Arizona,,state,4,2021524,29951
2022-04-30,Arizona,,state,4,2021524,29951
2022-04-29,Arizona,,state,4,2021524,29951
2022-04-28,Arizona,,state,4,2021524,29951
2022-04-27,Arizona,,state,4,2021524,29951
2022-04-26,Arizona,,state,4,2019174,29852
2022-04-25,Arizona,,state,4,2019174,29852
2022-04-24,Arizona,,state,4,2019174,29852
2022-04-23,Arizona,,state,4,2019174,29852
2022-04-22,Arizona,,state,4,2019174,29852
2022-04-21,Arizona,,state,4,2019174,29852
2022-04-20,Arizona,,state,4,2019174,29852
2022-04-19,Arizona,,state,4,2016797,29823
2022-04-18,Arizona,,state,4,2016797,29823
2022-04-17,Arizona,,state,4,2016797,29823
2022-04-16,Arizona,,state,4,2016797,29823
2022-04-15,Arizona,,state,4,2016797,29823
2022-04-14,Arizona,,state,4,2016797,29823
2022-04-13,Arizona,,state,4,2016797,29823
2022-04-12,Arizona,,state,4,2014020,29681
2022-04-11,Arizona,,state,4,2014020,29681
2022-04-10,Arizona,,state,4,2014020,29681
2022-04-09,Arizona,,state,4,2014020,29681
2022-04-08,Arizona,,state,4,2014020,29681
2022-04-07,Arizona,,state,4,2014020,29681
2022-04-06,Arizona,,state,4,2014020,29681
2022-04-05,Arizona,,state,4,2007180,29268
2022-04-04,Arizona,,state,4,2007180,29268
2022-04-03,Arizona,,state,4,2007180,29268
2022-04-02,Arizona,,state,4,2007180,29268
2022-04-01,Arizona,,state,4,2007180,29268
2022-03-31,Arizona,,state,4,2007180,29268
2022-03-30,Arizona,,state,4,2007180,29268
2022-03-29,Arizona,,state,4,1997037,28883
2022-03-28,Arizona,,state,4,1997037,28883
2022-03-27,Arizona,,state,4,1997037,28883
2022-03-26,Arizona,,state,4,1997037,28883
2022-03-25,Arizona,,state,4,1997037,28883
2022-03-24,Arizona,,state,4,1997037,28883
2022-03-23,Arizona,,state,4,1997037,28883
2022-03-22,Arizona,,state,4,1992471,28547
2022-03-21,Arizona,,state,4,1992471,28547
2022-03-20,Arizona,,state,4,1992471,28547
2022-03-19,Arizona,,state,4,1992471,28547
2022-03-18,Arizona,,state,4,1992471,28547
2022-03-17,Arizona,,state,4,1992471,28547
2022-03-16,Arizona,,state,4,1992471,28547
2022-03-15,Arizona,,state,4,1987318,28097
2022-03-14,Arizona,,state,4,1987318,28097
2022-03-13,Arizona,,state,4,1987318,28097
2022-03-12,Arizona,,state,4,1987318,28097
2022-03-11,Arizona,,state,4,1987318,28097
2022-03-10,Arizona,,state,4,1987318,28097
2022-03-09,Arizona,,state,4,1987318,28097
2022-03-08,Arizona,,state,4,1980769,27947
2022-03-07,Arizona,,state,4,1980769,27947
2022-03-06,Arizona,,state,4,1980769,27947
2022-03-05,Arizona,,state,4,1980769,27947
2022-03-04,Arizona,,state,4,1980769,27947
2022-03-03,Arizona,,state,4,1980769,27947
2022-03-02,Arizona,,state,4,1980769,27947
2022-03-01,Arizona,,state,4,1976890,27946
2022-02-28,Arizona,,state,4,1976890,27946
2022-02-27,Arizona,,state,4,1976890,27946
2022-02-26,Arizona,,state,4,1976890,27946
2022-02-25,Arizona,,state,4,1975252,27931
2022-02-24,Arizona,,state,4,1973479,27876
2022-02-23,Arizona,,state,4,1971678,27790
2022-02-22,Arizona,,state,4,1970442,27751
2022-02-21,Arizona,,state,4,1967704,27622
2022-02-20,Arizona,,state,4,1967702,27622
2022-02-19,Arizona,,state,4,1965659,27618
2022-02-18,Arizona,,state,4,1962920,27513
2022-02-17,Arizona,,state,4,1959866,27398
2022-02-16,Arizona,,state,4,1957085,27189
2022-02-15,Arizona,,state,4,1954908,27186
2022-02-14,Arizona,,state,4,1953168,27181
2022-02-13,Arizona,,state,4,1950483,27180
2022-02-12,Arizona,,state,4,1946086,27164
2022-02-11,Arizona,,state,4,1941802,27073
2022-02-10,Arizona,,state,4,1939021,27021
2022-02-09,Arizona,,state,4,1931642,26856
2022-02-08,Arizona,,state,4,1926240,26822
2022-02-07,Arizona,,state,4,1922450,26639
2022-02-06,Arizona,,state,4,1918034,26639
2022-02-05,Arizona,,state,4,1911655,26628
2022-02-04,Arizona,,state,4,1903412,26530
2022-02-03,Arizona,,state,4,1894335,26430
2022-02-02,Arizona,,state,4,1886541,26369
2022-02-01,Arizona,,state,4,1878211,26345
2022-01-31,Arizona,,state,4,1870644,26205
2022-01-30,Arizona,,state,4,1858385,26206
2022-01-29,Arizona,,state,4,1844912,26183
2022-01-28,Arizona,,state,4,1829406,26001
2022-01-27,Arizona,,state,4,1813796,25932
2022-01-26,Arizona,,state,4,1799503,25899
2022-01-25,Arizona,,state,4,1781274,25624
2022-01-24,Arizona,,state,4,1767302,25624
2022-01-23,Arizona,,state,4,1752552,25623
2022-01-22,Arizona,,state,4,1729630,25557
2022-01-21,Arizona,,state,4,1701949,25502
2022-01-20,Arizona,,state,4,1683915,25429
2022-01-19,Arizona,,state,4,1666191,25416
2022-01-18,Arizona,,state,4,1645694,25395
2022-01-17,Arizona,,state,4,1621858,25212
2022-01-16,Arizona,,state,4,1609792,25211
2022-01-15,Arizona,,state,4,1588155,25171
2022-01-14,Arizona,,state,4,1563193,25068
2022-01-13,Arizona,,state,4,1542936,25002
2022-01-12,Arizona,,state,4,1524363,24992
2022-01-11,Arizona,,state,4,1505580,24986
2022-01-10,Arizona,,state,4,1491420,24773
2022-01-09,Arizona,,state,4,1477483,24773
