date,state,county,place_type,fips,cases,deaths
2023-01-16,Idaho,,state,16,513780,5353
2023-01-15,Idaho,,state,16,513780,5353
2023-01-14,Idaho,,state,16,513780,5353
2023-01-13,Idaho,,state,16,513780,5353
2023-01-12,Idaho,,state,16,513778,5353
2023-01-11,Idaho,,state,16,513752,5353
2023-01-10,Idaho,,state,16,512849,5334
2023-01-09,Idaho,,state,16,512846,5334
2023-01-08,Idaho,,state,16,512843,5334
2023-01-07,Idaho,,state,16,512843,5334
2023-01-06,Idaho,,state,16,512843,5334
2023-01-05,Idaho,,state,16,512842,5334
2023-01-04,Idaho,,state,16,512788,5334
2023-01-03,Idaho,,state,16,511728,5329
2023-01-02,Idaho,,state,16,511722,5329
2023-01-01,Idaho,,state,16,511722,5329
2022-12-31,Idaho,,state,16,511722,5329
2022-12-30,Idaho,,state,16,511722,5329
2022-12-29,Idaho,,state,16,511718,5329
2022-12-28,Idaho,,state,16,511690,5329
2022-12-27,Idaho,,state,16,510665,5316
2022-12-26,Idaho,,state,16,510661,5316
2022-12-25,Idaho,,state,16,510661,5316
2022-12-24,Idaho,,state,16,510661,5316
2022-12-23,Idaho,,state,16,510661,5316
2022-12-22,Idaho,,state,16,510656,5316
2022-12-21,Idaho,,state,16,510652,5316
2022-12-20,Idaho,,state,16,509373,5301
2022-12-19,Idaho,,state,16,509367,5301
2022-12-18,Idaho,,state,16,509354,5301
2022-12-17,Idaho,,state,16,509354,5301
2022-12-16,Idaho,,state,16,509354,5301
2022-12-15,Idaho,,state,16,509287,5301
2022-12-14,Idaho,,state,16,509280,5300
2022-12-13,Idaho,,state,16,508036,5293
2022-12-12,Idaho,,state,16,508029,5293
2022-12-11,Idaho,,state,16,508022,5293
2022-12-10,Idaho,,state,16,508022,5293
2022-12-09,Idaho,,state,16,508022,5293
2022-12-08,Idaho,,state,16,508013,5293
2022-12-07,Idaho,,state,16,507956,5293
2022-12-06,Idaho,,state,16,506443,5281
2022-12-05,Idaho,,state,16,506435,5281
2022-12-04,Idaho,,state,16,506417,5281
2022-12-03,Idaho,,state,16,506417,5281
2022-12-02,Idaho,,state,16,506417,5281
2022-12-01,Idaho,,state,16,506399,5281
2022-11-30,Idaho,,state,16,506320,5281
2022-11-29,Idaho,,state,16,504932,5264
2022-11-28,Idaho,,state,16,504911,5264
2022-11-27,Idaho,,state,16,504899,5264
2022-11-26,Idaho,,state,16,504899,5264
2022-11-25,Idaho,,state,16,504899,5264
2022-11-24,Idaho,,state,16,504887,5264
2022-11-23,Idaho,,state,16,504887,5264
2022-11-22,Idaho,,state,16,503514,5259
2022-11-21,Idaho,,state,16,503494,5259
2022-11-20,Idaho,,state,16,503483,5259
2022-11-19,Idaho,,state,16,503483,5259
2022-11-18,Idaho,,state,16,503483,5259
2022-11-17,Idaho,,state,16,503474,5259
2022-11-16,Idaho,,state,16,503433,5259
2022-11-15,Idaho,,state,16,502269,5250
2022-11-14,Idaho,,state,16,502257,5250
2022-11-13,Idaho,,state,16,502243,5250
2022-11-12,Idaho,,state,16,502243,5250
2022-11-11,Idaho,,state,16,502243,5250
2022-11-10,Idaho,,state,16,502243,5240
2022-11-09,Idaho,,state,16,502188,5240
2022-11-08,Idaho,,state,16,501065,5228
2022-11-07,Idaho,,state,16,501056,5228
2022-11-06,Idaho,,state,16,501043,5228
2022-11-05,Idaho,,state,16,501043,5228
2022-11-04,Idaho,,state,16,501043,5228
2022-11-03,Idaho,,state,16,501037,5228
2022-11-02,Idaho,,state,16,500972,5228
2022-11-01,Idaho,,state,16,500000,5220
2022-10-31,Idaho,,state,16,499991,5220
2022-10-30,Idaho,,state,16,499980,5220
2022-10-29,Idaho,,state,16,499980,5220
2022-10-28,Idaho,,state,16,499980,5220
2022-10-27,Idaho,,state,16,499973,5219
2022-10-26,Idaho,,state,16,499941,5219
2022-10-25,Idaho,,state,16,498948,5207
2022-10-24,Idaho,,state,16,498945,5206
2022-10-23,Idaho,,state,16,498936,5206
2022-10-22,Idaho,,state,16,498936,5206
2022-10-21,Idaho,,state,16,498936,5206
2022-10-20,Idaho,,state,16,498928,5206
2022-10-19,Idaho,,state,16,498876,5206
2022-10-18,Idaho,,state,16,498194,5202
2022-10-17,Idaho,,state,16,498190,5202
2022-10-16,Idaho,,state,16,498183,5201
2022-10-15,Idaho,,state,16,498183,5201
2022-10-14,Idaho,,state,16,498183,5201
2022-10-13,Idaho,,state,16,497858,5201
2022-10-12,Idaho,,state,16,497815,5201
2022-10-11,Idaho,,state,16,497140,5190
2022-10-10,Idaho,,state,16,497106,5190
2022-10-09,Idaho,,state,16,497106,5190
2022-10-08,Idaho,,state,16,497106,5190
2022-10-07,Idaho,,state,16,497106,5190
2022-10-06,Idaho,,state,16,496729,5188
2022-10-05,Idaho,,state,16,496716,5188
2022-10-04,Idaho,,state,16,496268,5184
2022-10-03,Idaho,,state,16,496246,5184
2022-10-02,Idaho,,state,16,495979,5179
2022-10-01,Idaho,,state,16,495979,5179
2022-09-30,Idaho,,state,16,495979,5179
2022-09-29,Idaho,,state,16,495620,5174
2022-09-28,Idaho,,state,16,495601,5174
2022-09-27,Idaho,,state,16,495050,5169
2022-09-26,Idaho,,state,16,495020,5169
2022-09-25,Idaho,,state,16,494693,5169
2022-09-24,Idaho,,state,16,494693,5169
2022-09-23,Idaho,,state,16,494693,5169
2022-09-22,Idaho,,state,16,494228,5167
2022-09-21,Idaho,,state,16,494194,5167
2022-09-20,Idaho,,state,16,493705,5161
2022-09-19,Idaho,,state,16,493668,5161
2022-09-18,Idaho,,state,16,493183,5159
2022-09-17,Idaho,,state,16,493183,5159
2022-09-16,Idaho,,state,16,493183,5159
2022-09-15,Idaho,,state,16,492707,5146
2022-09-14,Idaho,,state,16,492685,5145
2022-09-13,Idaho,,state,16,492150,5134
2022-09-12,Idaho,,state,16,492127,5134
2022-09-11,Idaho,,state,16,491674,5134
2022-09-10,Idaho,,state,16,491674,5134
2022-09-09,Idaho,,state,16,491674,5134
2022-09-08,Idaho,,state,16,491065,5128
2022-09-07,Idaho,,state,16,491047,5128
2022-09-06,Idaho,,state,16,490146,5122
2022-09-05,Idaho,,state,16,490114,5121
2022-09-04,Idaho,,state,16,490114,5121
2022-09-03,Idaho,,state,16,490114,5121
2022-09-02,Idaho,,state,16,490114,5121
2022-09-01,Idaho,,state,16,489535,5118
2022-08-31,Idaho,,state,16,489511,5118
2022-08-30,Idaho,,state,16,488681,5112
