date,state,county,place_type,fips,cases,deaths
2020-10-10,Nebraska,,state,31,51887,525
2020-10-09,Nebraska,,state,31,50168,522
2020-10-08,Nebraska,,state,31,50059,518
2020-10-07,Nebraska,,state,31,49396,516
2020-10-06,Nebraska,,state,31,48757,511
2020-10-05,Nebraska,,state,31,48259,509
2020-10-04,Nebraska,,state,31,47807,504
2020-10-03,Nebraska,,state,31,47403,503
2020-10-02,Nebraska,,state,31,46977,498
2020-10-01,Nebraska,,state,31,46185,497
2020-09-30,Nebraska,,state,31,45564,493
2020-09-29,Nebraska,,state,31,45044,493
2020-09-28,Nebraska,,state,31,44578,487
2020-09-27,Nebraska,,state,31,44063,485
2020-09-26,Nebraska,,state,31,43596,484
2020-09-25,Nebraska,,state,31,43162,483
2020-09-24,Nebraska,,state,31,42731,478
2020-09-23,Nebraska,,state,31,42278,477
2020-09-22,Nebraska,,state,31,41828,473
2020-09-21,Nebraska,,state,31,41388,464
2020-09-20,Nebraska,,state,31,41083,457
2020-09-19,Nebraska,,state,31,40797,457
2020-09-18,Nebraska,,state,31,40387,457
2020-09-17,Nebraska,,state,31,39921,457
2020-09-16,Nebraska,,state,31,39419,455
2020-09-15,Nebraska,,state,31,38970,451
2020-09-14,Nebraska,,state,31,38642,450
2020-09-13,Nebraska,,state,31,38188,449
2020-09-12,Nebraska,,state,31,38108,449
2020-09-11,Nebraska,,state,31,37841,449
2020-09-10,Nebraska,,state,31,37373,440
2020-09-09,Nebraska,,state,31,36917,434
2020-09-08,Nebraska,,state,31,36477,418
2020-09-07,Nebraska,,state,31,35975,415
2020-09-06,Nebraska,,state,31,35891,415
2020-09-05,Nebraska,,state,31,35805,415
2020-09-04,Nebraska,,state,31,35661,411
2020-09-03,Nebraska,,state,31,35469,410
2020-09-02,Nebraska,,state,31,34995,408
2020-09-01,Nebraska,,state,31,34574,405
2020-08-31,Nebraska,,state,31,34287,402
2020-08-30,Nebraska,,state,31,34046,400
2020-08-29,Nebraska,,state,31,33753,400
2020-08-28,Nebraska,,state,31,33436,399
2020-08-27,Nebraska,,state,31,33101,394
2020-08-26,Nebraska,,state,31,32727,390
2020-08-25,Nebraska,,state,31,32379,386
2020-08-24,Nebraska,,state,31,32047,384
2020-08-23,Nebraska,,state,31,31889,384
2020-08-22,Nebraska,,state,31,31780,382
2020-08-21,Nebraska,,state,31,31626,381
2020-08-20,Nebraska,,state,31,31348,377
2020-08-19,Nebraska,,state,31,31040,373
2020-08-18,Nebraska,,state,31,30825,370
2020-08-17,Nebraska,,state,31,30563,363
2020-08-16,Nebraska,,state,31,30372,363
2020-08-15,Nebraska,,state,31,30241,363
2020-08-14,Nebraska,,state,31,29988,363
2020-08-13,Nebraska,,state,31,29660,362
2020-08-12,Nebraska,,state,31,29244,359
2020-08-11,Nebraska,,state,31,29030,357
2020-08-10,Nebraska,,state,31,28696,354
2020-08-09,Nebraska,,state,31,28432,353
2020-08-08,Nebraska,,state,31,28245,353
2020-08-07,Nebraska,,state,31,28104,352
2020-08-06,Nebraska,,state,31,27821,347
2020-08-05,Nebraska,,state,31,27489,342
2020-08-04,Nebraska,,state,31,27178,339
2020-08-03,Nebraska,,state,31,26956,334
2020-08-02,Nebraska,,state,31,26702,338
2020-08-01,Nebraska,,state,31,26391,338
2020-07-31,Nebraska,,state,31,26211,338
2020-07-30,Nebraska,,state,31,25766,333
2020-07-29,Nebraska,,state,31,25448,331
2020-07-28,Nebraska,,state,31,25140,326
2020-07-27,Nebraska,,state,31,24899,322
2020-07-26,Nebraska,,state,31,24618,322
2020-07-25,Nebraska,,state,31,24412,322
2020-07-24,Nebraska,,state,31,24174,322
2020-07-23,Nebraska,,state,31,23818,318
2020-07-22,Nebraska,,state,31,23486,314
2020-07-21,Nebraska,,state,31,23190,313
2020-07-20,Nebraska,,state,31,22847,313
2020-07-19,Nebraska,,state,31,22637,308
2020-07-18,Nebraska,,state,31,22545,308
2020-07-17,Nebraska,,state,31,22361,308
2020-07-16,Nebraska,,state,31,22178,307
2020-07-15,Nebraska,,state,31,21979,302
2020-07-14,Nebraska,,state,31,21717,299
2020-07-13,Nebraska,,state,31,21444,298
2020-07-12,Nebraska,,state,31,21214,296
2020-07-11,Nebraska,,state,31,21035,296
2020-07-10,Nebraska,,state,31,20834,294
2020-07-09,Nebraska,,state,31,20658,294
2020-07-08,Nebraska,,state,31,20437,291
2020-07-07,Nebraska,,state,31,20205,287
2020-07-06,Nebraska,,state,31,20052,286
2020-07-05,Nebraska,,state,31,19937,285
2020-07-04,Nebraska,,state,31,19826,285
2020-07-03,Nebraska,,state,31,19660,285
2020-07-02,Nebraska,,state,31,19476,284
2020-07-01,Nebraska,,state,31,19325,282
2020-06-30,Nebraska,,state,31,19194,279
2020-06-29,Nebraska,,state,31,19064,273
2020-06-28,Nebraska,,state,31,18900,271
2020-06-27,Nebraska,,state,31,18775,271
2020-06-26,Nebraska,,state,31,18524,270
2020-06-25,Nebraska,,state,31,18346,266
2020-06-24,Nebraska,,state,31,18220,263
2020-06-23,Nebraska,,state,31,18091,262
2020-06-22,Nebraska,,state,31,17957,255
2020-06-21,Nebraska,,state,31,17810,252
2020-06-20,Nebraska,,state,31,17707,249
2020-06-19,Nebraska,,state,31,17591,249
2020-06-18,Nebraska,,state,31,17415,244
2020-06-17,Nebraska,,state,31,17226,239
2020-06-16,Nebraska,,state,31,17031,236
2020-06-15,Nebraska,,state,31,16860,226
2020-06-14,Nebraska,,state,31,16735,221
2020-06-13,Nebraska,,state,31,16634,221
2020-06-12,Nebraska,,state,31,16513,221
2020-06-11,Nebraska,,state,31,16315,217
2020-06-10,Nebraska,,state,31,16025,209
2020-06-09,Nebraska,,state,31,15888,199
2020-06-08,Nebraska,,state,31,15752,196
2020-06-07,Nebraska,,state,31,15634,196
2020-06-06,Nebraska,,state,31,15543,196
2020-06-05,Nebraska,,state,31,15379,193
2020-06-04,Nebraska,,state,31,15117,193
2020-06-03,Nebraska,,state,31,14866,189
2020-06-02,Nebraska,,state,31,14611,187
2020-06-01,Nebraska,,state,31,14345,183
2020-05-31,Nebraska,,state,31,14101,178
2020-05-30,Nebraska,,state,31,13905,177
2020-05-29,Nebraska,,state,31,13654,177
2020-05-28,Nebraska,,state,31,13260,170
