date,state,county,place_type,fips,cases,deaths
2022-09-20,North Dakota,,state,38,267287,2411
2022-09-19,North Dakota,,state,38,267287,2411
2022-09-18,North Dakota,,state,38,267287,2411
2022-09-17,North Dakota,,state,38,267287,2411
2022-09-16,North Dakota,,state,38,267287,2411
2022-09-15,North Dakota,,state,38,266273,2401
2022-09-14,North Dakota,,state,38,266273,2401
2022-09-13,North Dakota,,state,38,266273,2401
2022-09-12,North Dakota,,state,38,266273,2401
2022-09-11,North Dakota,,state,38,266273,2401
2022-09-10,North Dakota,,state,38,266273,2401
2022-09-09,North Dakota,,state,38,266273,2401
2022-09-08,North Dakota,,state,38,265310,2401
2022-09-07,North Dakota,,state,38,265310,2401
2022-09-06,North Dakota,,state,38,265310,2401
2022-09-05,North Dakota,,state,38,265310,2395
2022-09-04,North Dakota,,state,38,265310,2395
2022-09-03,North Dakota,,state,38,265310,2395
2022-09-02,North Dakota,,state,38,265310,2395
2022-09-01,North Dakota,,state,38,264750,2395
2022-08-31,North Dakota,,state,38,264517,2395
2022-08-30,North Dakota,,state,38,264248,2395
2022-08-29,North Dakota,,state,38,264130,2395
2022-08-28,North Dakota,,state,38,263918,2393
2022-08-27,North Dakota,,state,38,263918,2393
2022-08-26,North Dakota,,state,38,263918,2393
2022-08-25,North Dakota,,state,38,263203,2377
2022-08-24,North Dakota,,state,38,263203,2377
2022-08-23,North Dakota,,state,38,262919,2376
2022-08-22,North Dakota,,state,38,262554,2376
2022-08-21,North Dakota,,state,38,262554,2376
2022-08-20,North Dakota,,state,38,262554,2376
2022-08-19,North Dakota,,state,38,262554,2376
2022-08-18,North Dakota,,state,38,262056,2376
2022-08-17,North Dakota,,state,38,261790,2376
2022-08-16,North Dakota,,state,38,261446,2374
2022-08-15,North Dakota,,state,38,261045,2373
2022-08-14,North Dakota,,state,38,261045,2373
2022-08-13,North Dakota,,state,38,261045,2373
2022-08-12,North Dakota,,state,38,261045,2373
2022-08-11,North Dakota,,state,38,260507,2373
2022-08-10,North Dakota,,state,38,260143,2373
2022-08-09,North Dakota,,state,38,259741,2372
2022-08-08,North Dakota,,state,38,259270,2372
2022-08-07,North Dakota,,state,38,259270,2366
2022-08-06,North Dakota,,state,38,259270,2366
2022-08-05,North Dakota,,state,38,259270,2366
2022-08-04,North Dakota,,state,38,258584,2356
2022-08-03,North Dakota,,state,38,258226,2356
2022-08-02,North Dakota,,state,38,257331,2356
2022-08-01,North Dakota,,state,38,257331,2356
2022-07-31,North Dakota,,state,38,257331,2356
2022-07-30,North Dakota,,state,38,257331,2356
2022-07-29,North Dakota,,state,38,257331,2356
2022-07-28,North Dakota,,state,38,256545,2354
2022-07-27,North Dakota,,state,38,256244,2354
2022-07-26,North Dakota,,state,38,255888,2351
2022-07-25,North Dakota,,state,38,255476,2351
2022-07-24,North Dakota,,state,38,255476,2351
2022-07-23,North Dakota,,state,38,255476,2351
2022-07-22,North Dakota,,state,38,255476,2351
2022-07-21,North Dakota,,state,38,254868,2351
2022-07-20,North Dakota,,state,38,254466,2351
2022-07-19,North Dakota,,state,38,254079,2351
2022-07-18,North Dakota,,state,38,253677,2346
2022-07-17,North Dakota,,state,38,253677,2346
2022-07-16,North Dakota,,state,38,253677,2346
2022-07-15,North Dakota,,state,38,253677,2346
2022-07-14,North Dakota,,state,38,253005,2346
2022-07-13,North Dakota,,state,38,252654,2343
2022-07-12,North Dakota,,state,38,252296,2343
2022-07-11,North Dakota,,state,38,251876,2343
2022-07-10,North Dakota,,state,38,251876,2343
2022-07-09,North Dakota,,state,38,251876,2343
2022-07-08,North Dakota,,state,38,251876,2343
2022-07-07,North Dakota,,state,38,251213,2343
2022-07-06,North Dakota,,state,38,250781,2343
2022-07-05,North Dakota,,state,38,250319,2343
2022-07-04,North Dakota,,state,38,250319,2343
2022-07-03,North Dakota,,state,38,250319,2343
2022-07-02,North Dakota,,state,38,250319,2343
2022-07-01,North Dakota,,state,38,250319,2343
2022-06-30,North Dakota,,state,38,249770,2343
2022-06-29,North Dakota,,state,38,249522,2343
2022-06-28,North Dakota,,state,38,248961,2342
2022-06-27,North Dakota,,state,38,248961,2342
2022-06-26,North Dakota,,state,38,248961,2342
2022-06-25,North Dakota,,state,38,248961,2342
2022-06-24,North Dakota,,state,38,248961,2341
2022-06-23,North Dakota,,state,38,248555,2341
2022-06-22,North Dakota,,state,38,248346,2340
2022-06-21,North Dakota,,state,38,248099,2340
2022-06-20,North Dakota,,state,38,247796,2334
2022-06-19,North Dakota,,state,38,247796,2334
2022-06-18,North Dakota,,state,38,247796,2334
2022-06-17,North Dakota,,state,38,247796,2334
2022-06-16,North Dakota,,state,38,247303,2334
2022-06-15,North Dakota,,state,38,246544,2332
2022-06-14,North Dakota,,state,38,246544,2332
2022-06-13,North Dakota,,state,38,246544,2332
2022-06-12,North Dakota,,state,38,246544,2332
2022-06-11,North Dakota,,state,38,246544,2332
2022-06-10,North Dakota,,state,38,246544,2332
2022-06-09,North Dakota,,state,38,246102,2331
2022-06-08,North Dakota,,state,38,246102,2331
2022-06-07,North Dakota,,state,38,245954,2331
2022-06-06,North Dakota,,state,38,245476,2330
2022-06-05,North Dakota,,state,38,245476,2330
2022-06-04,North Dakota,,state,38,245476,2330
2022-06-03,North Dakota,,state,38,245476,2330
2022-06-02,North Dakota,,state,38,244938,2330
2022-06-01,North Dakota,,state,38,244638,2330
2022-05-31,North Dakota,,state,38,244571,2330
2022-05-30,North Dakota,,state,38,244278,2328
2022-05-29,North Dakota,,state,38,244278,2328
2022-05-28,North Dakota,,state,38,244278,2328
2022-05-27,North Dakota,,state,38,244278,2328
2022-05-26,North Dakota,,state,38,243917,2327
2022-05-25,North Dakota,,state,38,243769,2323
2022-05-24,North Dakota,,state,38,243345,2323
2022-05-23,North Dakota,,state,38,243345,2323
2022-05-22,North Dakota,,state,38,243345,2323
2022-05-21,North Dakota,,state,38,243345,2323
2022-05-20,North Dakota,,state,38,243345,2323
2022-05-19,North Dakota,,state,38,243055,2322
2022-05-18,North Dakota,,state,38,242893,2322
2022-05-17,North Dakota,,state,38,242654,2322
2022-05-16,North Dakota,,state,38,242462,2321
2022-05-15,North Dakota,,state,38,242462,2321
2022-05-14,North Dakota,,state,38,242462,2321
2022-05-13,North Dakota,,state,38,242462,2319
2022-05-12,North Dakota,,state,38,242222,2319
2022-05-11,North Dakota,,state,38,242065,2315
2022-05-10,North Dakota,,state,38,241916,2315
2022-05-09,North Dakota,,state,38,241739,2315
2022-05-08,North Dakota,,state,38,241739,2315
2022-05-07,North Dakota,,state,38,241739,2315
2022-05-06,North Dakota,,state,38,241739,2315
2022-05-05,North Dakota,,state,38,241488,2315
2022-05-04,North Dakota,,state,38,241385,2315
2022-05-03,North Dakota,,state,38,241271,2315
2022-05-02,North Dakota,,state,38,241127,2315
2022-05-01,North Dakota,,state,38,241127,2315
2022-04-30,North Dakota,,state,38,241127,2315
2022-04-29,North Dakota,,state,38,241127,2315
2022-04-28,North Dakota,,state,38,240968,2315
2022-04-27,North Dakota,,state,38,240914,2310
2022-04-26,North Dakota,,state,38,240818,2310
2022-04-25,North Dakota,,state,38,240713,2308
2022-04-24,North Dakota,,state,38,240713,2308
2022-04-23,North Dakota,,state,38,240713,2308
2022-04-22,North Dakota,,state,38,240713,2307
2022-04-21,North Dakota,,state,38,240595,2304
2022-04-20,North Dakota,,state,38,240529,2304
2022-04-19,North Dakota,,state,38,240434,2304
2022-04-18,North Dakota,,state,38,240383,2304
2022-04-17,North Dakota,,state,38,240383,2304
2022-04-16,North Dakota,,state,38,240383,2304
2022-04-15,North Dakota,,state,38,240383,2304
