dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2020-12-28,2020-52,1107,13,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,3
2020-12-21,2020-51,1297,210,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,3
2020-12-14,2020-50,918,12,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-12-07,2020-49,893,11,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-11-30,2020-48,462,5,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-11-23,2020-47,450,8,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-11-16,2020-46,182,4,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-11-09,2020-45,236,8,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-11-02,2020-44,229,3,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-10-26,2020-43,91,2,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-10-19,2020-42,201,27,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-10-12,2020-41,91,2,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-10-05,2020-40,148,3,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-09-28,2020-39,97,0,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-09-21,2020-38,125,6,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-09-14,2020-37,180,5,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-09-07,2020-36,165,2,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-08-31,2020-35,215,7,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-08-24,2020-34,154,11,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-08-17,2020-33,222,16,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-08-10,2020-32,339,9,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-08-03,2020-31,283,10,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-07-27,2020-30,429,11,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-07-20,2020-29,370,5,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-07-13,2020-28,622,7,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-07-06,2020-27,584,24,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-06-29,2020-26,1000,27,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-06-22,2020-25,1049,24,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-06-15,2020-24,761,21,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-06-08,2020-23,967,14,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-06-01,2020-22,752,4,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,2
2020-05-25,2020-21,843,7,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-05-18,2020-20,430,19,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-05-11,2020-19,340,7,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,1
2020-05-04,2020-18,225,6,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-04-27,2020-17,127,3,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-04-20,2020-16,98,5,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-04-13,2020-15,80,2,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-04-06,2020-14,73,10,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-03-30,2020-13,55,6,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-03-23,2020-12,24,2,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,0
2020-03-16,2020-11,2,0,Democratic_Republic_of_the_Congo,CD,COD,86790568,Africa,
