dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
28/03/2020,28,3,2020,1,0,Brunei_Darussalam,BN,BRN,428962
27/03/2020,27,3,2020,7,0,Brunei_Darussalam,BN,BRN,428962
26/03/2020,26,3,2020,3,0,Brunei_Darussalam,BN,BRN,428962
25/03/2020,25,3,2020,13,0,Brunei_Darussalam,BN,BRN,428962
24/03/2020,24,3,2020,3,0,Brunei_Darussalam,BN,BRN,428962
23/03/2020,23,3,2020,5,0,Brunei_Darussalam,BN,BRN,428962
22/03/2020,22,3,2020,5,0,Brunei_Darussalam,BN,BRN,428962
21/03/2020,21,3,2020,5,0,Brunei_Darussalam,BN,BRN,428962
20/03/2020,20,3,2020,5,0,Brunei_Darussalam,BN,BRN,428962
19/03/2020,19,3,2020,12,0,Brunei_Darussalam,BN,BRN,428962
18/03/2020,18,3,2020,2,0,Brunei_Darussalam,BN,BRN,428962
17/03/2020,17,3,2020,4,0,Brunei_Darussalam,BN,BRN,428962
16/03/2020,16,3,2020,10,0,Brunei_Darussalam,BN,BRN,428962
15/03/2020,15,3,2020,3,0,Brunei_Darussalam,BN,BRN,428962
14/03/2020,14,3,2020,12,0,Brunei_Darussalam,BN,BRN,428962
13/03/2020,13,3,2020,14,0,Brunei_Darussalam,BN,BRN,428962
12/03/2020,12,3,2020,10,0,Brunei_Darussalam,BN,BRN,428962
10/03/2020,10,3,2020,1,0,Brunei_Darussalam,BN,BRN,428962
