dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2020-12-14,2020-50,5,0,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-12-07,2020-49,20,1,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-11-30,2020-48,1,0,Guinea_Bissau,GW,GNB,1920917,Africa,0
2020-11-23,2020-47,2,0,Guinea_Bissau,GW,GNB,1920917,Africa,0
2020-11-16,2020-46,6,2,Guinea_Bissau,GW,GNB,1920917,Africa,0
2020-11-09,2020-45,0,0,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-11-02,2020-44,10,0,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-10-26,2020-43,14,0,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-10-19,2020-42,4,1,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-10-12,2020-41,23,1,Guinea_Bissau,GW,GNB,1920917,Africa,3
2020-10-05,2020-40,38,0,Guinea_Bissau,GW,GNB,1920917,Africa,3
2020-09-28,2020-39,21,0,Guinea_Bissau,GW,GNB,1920917,Africa,3
2020-09-21,2020-38,28,0,Guinea_Bissau,GW,GNB,1920917,Africa,3
2020-09-14,2020-37,30,1,Guinea_Bissau,GW,GNB,1920917,Africa,4
2020-09-07,2020-36,40,4,Guinea_Bissau,GW,GNB,1920917,Africa,5
2020-08-31,2020-35,56,1,Guinea_Bissau,GW,GNB,1920917,Africa,5
2020-08-24,2020-34,32,0,Guinea_Bissau,GW,GNB,1920917,Africa,5
2020-08-17,2020-33,65,4,Guinea_Bissau,GW,GNB,1920917,Africa,7
2020-08-10,2020-32,71,3,Guinea_Bissau,GW,GNB,1920917,Africa,5
2020-08-03,2020-31,27,0,Guinea_Bissau,GW,GNB,1920917,Africa,3
2020-07-27,2020-30,27,0,Guinea_Bissau,GW,GNB,1920917,Africa,6
2020-07-20,2020-29,85,1,Guinea_Bissau,GW,GNB,1920917,Africa,8
2020-07-13,2020-28,77,0,Guinea_Bissau,GW,GNB,1920917,Africa,12
2020-07-06,2020-27,151,4,Guinea_Bissau,GW,GNB,1920917,Africa,12
2020-06-29,2020-26,73,4,Guinea_Bissau,GW,GNB,1920917,Africa,8
2020-06-22,2020-25,81,2,Guinea_Bissau,GW,GNB,1920917,Africa,9
2020-06-15,2020-24,92,3,Guinea_Bissau,GW,GNB,1920917,Africa,7
2020-06-08,2020-23,46,4,Guinea_Bissau,GW,GNB,1920917,Africa,10
2020-06-01,2020-22,149,2,Guinea_Bissau,GW,GNB,1920917,Africa,17
2020-05-25,2020-21,183,2,Guinea_Bissau,GW,GNB,1920917,Africa,23
2020-05-18,2020-20,264,1,Guinea_Bissau,GW,GNB,1920917,Africa,36
2020-05-11,2020-19,434,1,Guinea_Bissau,GW,GNB,1920917,Africa,35
2020-05-04,2020-18,239,1,Guinea_Bissau,GW,GNB,1920917,Africa,13
2020-04-27,2020-17,3,1,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-04-20,2020-16,11,0,Guinea_Bissau,GW,GNB,1920917,Africa,2
2020-04-13,2020-15,21,0,Guinea_Bissau,GW,GNB,1920917,Africa,2
2020-04-06,2020-14,16,0,Guinea_Bissau,GW,GNB,1920917,Africa,1
2020-03-30,2020-13,2,0,Guinea_Bissau,GW,GNB,1920917,Africa,
