dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2021-01-04,2020-53,472,1,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-12-28,2020-52,258,4,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-12-21,2020-51,238,0,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-12-14,2020-50,195,1,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-12-07,2020-49,175,1,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-11-30,2020-48,172,0,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-11-23,2020-47,162,3,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-11-16,2020-46,144,2,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-11-09,2020-45,116,0,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-11-02,2020-44,246,4,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-10-26,2020-43,147,1,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-10-19,2020-42,169,1,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-10-12,2020-41,272,0,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-10-05,2020-40,253,0,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-09-28,2020-39,309,0,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-09-21,2020-38,307,0,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-09-14,2020-37,425,1,Cote_dIvoire,CI,CIV,25716554,Africa,4
2020-09-07,2020-36,640,4,Cote_dIvoire,CI,CIV,25716554,Africa,4
2020-08-31,2020-35,477,2,Cote_dIvoire,CI,CIV,25716554,Africa,4
2020-08-24,2020-34,445,3,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-08-17,2020-33,311,5,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-08-10,2020-32,533,3,Cote_dIvoire,CI,CIV,25716554,Africa,4
2020-08-03,2020-31,586,6,Cote_dIvoire,CI,CIV,25716554,Africa,8
2020-07-27,2020-30,1477,4,Cote_dIvoire,CI,CIV,25716554,Africa,11
2020-07-20,2020-29,1353,8,Cote_dIvoire,CI,CIV,25716554,Africa,13
2020-07-13,2020-28,1994,10,Cote_dIvoire,CI,CIV,25716554,Africa,15
2020-07-06,2020-27,1828,8,Cote_dIvoire,CI,CIV,25716554,Africa,13
2020-06-29,2020-26,1452,15,Cote_dIvoire,CI,CIV,25716554,Africa,15
2020-06-22,2020-25,2408,6,Cote_dIvoire,CI,CIV,25716554,Africa,15
2020-06-15,2020-24,1345,9,Cote_dIvoire,CI,CIV,25716554,Africa,9
2020-06-08,2020-23,906,3,Cote_dIvoire,CI,CIV,25716554,Africa,5
2020-06-01,2020-22,457,3,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-05-25,2020-21,267,3,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-05-18,2020-20,409,6,Cote_dIvoire,CI,CIV,25716554,Africa,3
2020-05-11,2020-19,302,4,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-05-04,2020-18,248,3,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-04-27,2020-17,303,5,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-04-20,2020-16,273,4,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-04-13,2020-15,313,2,Cote_dIvoire,CI,CIV,25716554,Africa,2
2020-04-06,2020-14,96,2,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-03-30,2020-13,140,1,Cote_dIvoire,CI,CIV,25716554,Africa,1
2020-03-23,2020-12,21,0,Cote_dIvoire,CI,CIV,25716554,Africa,0
2020-03-16,2020-11,4,0,Cote_dIvoire,CI,CIV,25716554,Africa,
