dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
08/06/2020,8,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
07/06/2020,7,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
06/06/2020,6,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
05/06/2020,5,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
04/06/2020,4,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
03/06/2020,3,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
02/06/2020,2,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
01/06/2020,1,6,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
31/05/2020,31,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
30/05/2020,30,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
29/05/2020,29,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
28/05/2020,28,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
27/05/2020,27,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
26/05/2020,26,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
25/05/2020,25,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
24/05/2020,24,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
23/05/2020,23,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
22/05/2020,22,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
21/05/2020,21,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
20/05/2020,20,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
19/05/2020,19,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
18/05/2020,18,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
17/05/2020,17,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
16/05/2020,16,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
15/05/2020,15,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
14/05/2020,14,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
13/05/2020,13,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
12/05/2020,12,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
11/05/2020,11,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
10/05/2020,10,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
09/05/2020,9,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
08/05/2020,8,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
07/05/2020,7,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
06/05/2020,6,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
05/05/2020,5,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
04/05/2020,4,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
03/05/2020,3,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
02/05/2020,2,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
01/05/2020,1,5,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
30/04/2020,30,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
29/04/2020,29,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
28/04/2020,28,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
27/04/2020,27,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
26/04/2020,26,4,2020,1,0,Falkland_Islands_(Malvinas),FK,,,America
25/04/2020,25,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
24/04/2020,24,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
23/04/2020,23,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
22/04/2020,22,4,2020,1,0,Falkland_Islands_(Malvinas),FK,,,America
21/04/2020,21,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
20/04/2020,20,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
19/04/2020,19,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
18/04/2020,18,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
17/04/2020,17,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
16/04/2020,16,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
15/04/2020,15,4,2020,6,0,Falkland_Islands_(Malvinas),FK,,,America
14/04/2020,14,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
13/04/2020,13,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
12/04/2020,12,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
11/04/2020,11,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
10/04/2020,10,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
09/04/2020,9,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
08/04/2020,8,4,2020,3,0,Falkland_Islands_(Malvinas),FK,,,America
07/04/2020,7,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
06/04/2020,6,4,2020,1,0,Falkland_Islands_(Malvinas),FK,,,America
05/04/2020,5,4,2020,0,0,Falkland_Islands_(Malvinas),FK,,,America
04/04/2020,4,4,2020,1,0,Falkland_Islands_(Malvinas),FK,,,America
