dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
20/04/2020,20,4,2020,6,0,GE,Europe,GEO,3731000,Georgia
19/04/2020,19,4,2020,18,1,GE,Europe,GEO,3731000,Georgia
18/04/2020,18,4,2020,22,0,GE,Europe,GEO,3731000,Georgia
17/04/2020,17,4,2020,42,0,GE,Europe,GEO,3731000,Georgia
16/04/2020,16,4,2020,6,0,GE,Europe,GEO,3731000,Georgia
15/04/2020,15,4,2020,28,0,GE,Europe,GEO,3731000,Georgia
14/04/2020,14,4,2020,15,0,GE,Europe,GEO,3731000,Georgia
13/04/2020,13,4,2020,15,0,GE,Europe,GEO,3731000,Georgia
12/04/2020,12,4,2020,8,0,GE,Europe,GEO,3731000,Georgia
11/04/2020,11,4,2020,16,0,GE,Europe,GEO,3731000,Georgia
10/04/2020,10,4,2020,7,0,GE,Europe,GEO,3731000,Georgia
09/04/2020,9,4,2020,15,0,GE,Europe,GEO,3731000,Georgia
08/04/2020,8,4,2020,8,1,GE,Europe,GEO,3731000,Georgia
07/04/2020,7,4,2020,14,0,GE,Europe,GEO,3731000,Georgia
06/04/2020,6,4,2020,17,2,GE,Europe,GEO,3731000,Georgia
05/04/2020,5,4,2020,9,0,GE,Europe,GEO,3731000,Georgia
04/04/2020,4,4,2020,27,0,GE,Europe,GEO,3731000,Georgia
03/04/2020,3,4,2020,6,0,GE,Europe,GEO,3731000,Georgia
02/04/2020,2,4,2020,5,0,GE,Europe,GEO,3731000,Georgia
01/04/2020,1,4,2020,12,0,GE,Europe,GEO,3731000,Georgia
31/03/2020,31,3,2020,8,0,GE,Europe,GEO,3731000,Georgia
30/03/2020,30,3,2020,5,0,GE,Europe,GEO,3731000,Georgia
29/03/2020,29,3,2020,4,0,GE,Europe,GEO,3731000,Georgia
28/03/2020,28,3,2020,2,0,GE,Europe,GEO,3731000,Georgia
27/03/2020,27,3,2020,6,0,GE,Europe,GEO,3731000,Georgia
26/03/2020,26,3,2020,3,0,GE,Europe,GEO,3731000,Georgia
25/03/2020,25,3,2020,9,0,GE,Europe,GEO,3731000,Georgia
24/03/2020,24,3,2020,7,0,GE,Europe,GEO,3731000,Georgia
23/03/2020,23,3,2020,5,0,GE,Europe,GEO,3731000,Georgia
22/03/2020,22,3,2020,6,0,GE,Europe,GEO,3731000,Georgia
21/03/2020,21,3,2020,3,0,GE,Europe,GEO,3731000,Georgia
20/03/2020,20,3,2020,6,0,GE,Europe,GEO,3731000,Georgia
19/03/2020,19,3,2020,0,0,GE,Europe,GEO,3731000,Georgia
