dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
11/05/2020,11,5,2020,0,0,Western_Sahara,EH,,,Africa
10/05/2020,10,5,2020,0,0,Western_Sahara,EH,,,Africa
09/05/2020,9,5,2020,0,0,Western_Sahara,EH,,,Africa
08/05/2020,8,5,2020,0,0,Western_Sahara,EH,,,Africa
07/05/2020,7,5,2020,0,0,Western_Sahara,EH,,,Africa
06/05/2020,6,5,2020,0,0,Western_Sahara,EH,,,Africa
05/05/2020,5,5,2020,0,0,Western_Sahara,EH,,,Africa
04/05/2020,4,5,2020,0,0,Western_Sahara,EH,,,Africa
03/05/2020,3,5,2020,0,0,Western_Sahara,EH,,,Africa
02/05/2020,2,5,2020,0,0,Western_Sahara,EH,,,Africa
01/05/2020,1,5,2020,0,0,Western_Sahara,EH,,,Africa
30/04/2020,30,4,2020,0,0,Western_Sahara,EH,,,Africa
29/04/2020,29,4,2020,0,0,Western_Sahara,EH,,,Africa
28/04/2020,28,4,2020,0,0,Western_Sahara,EH,,,Africa
27/04/2020,27,4,2020,0,0,Western_Sahara,EH,,,Africa
26/04/2020,26,4,2020,6,0,Western_Sahara,EH,,,Africa
