dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
11/04/2020,11,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
10/04/2020,10,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
09/04/2020,9,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
08/04/2020,8,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
07/04/2020,7,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
06/04/2020,6,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
05/04/2020,5,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
04/04/2020,4,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
03/04/2020,3,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",BQ,,
02/04/2020,2,4,2020,2,0,"Bonaire, Saint Eustatius and Saba",BQ,,
