dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
2020-04-02,2,4,2020,159,1,Colombia,CO,COL,50339443,America
2020-04-01,1,4,2020,108,2,Colombia,CO,COL,50339443,America
2020-03-31,31,3,2020,96,4,Colombia,CO,COL,50339443,America
2020-03-30,30,3,2020,94,4,Colombia,CO,COL,50339443,America
2020-03-29,29,3,2020,69,0,Colombia,CO,COL,50339443,America
2020-03-28,28,3,2020,48,0,Colombia,CO,COL,50339443,America
2020-03-27,27,3,2020,21,2,Colombia,CO,COL,50339443,America
2020-03-26,26,3,2020,92,1,Colombia,CO,COL,50339443,America
2020-03-25,25,3,2020,72,0,Colombia,CO,COL,50339443,America
2020-03-24,24,3,2020,71,1,Colombia,CO,COL,50339443,America
2020-03-23,23,3,2020,25,1,Colombia,CO,COL,50339443,America
2020-03-22,22,3,2020,52,1,Colombia,CO,COL,50339443,America
2020-03-21,21,3,2020,30,0,Colombia,CO,COL,50339443,America
2020-03-20,20,3,2020,26,0,Colombia,CO,COL,50339443,America
2020-03-19,19,3,2020,37,0,Colombia,CO,COL,50339443,America
2020-03-18,18,3,2020,8,0,Colombia,CO,COL,50339443,America
2020-03-17,17,3,2020,12,0,Colombia,CO,COL,50339443,America
2020-03-16,16,3,2020,11,0,Colombia,CO,COL,50339443,America
2020-03-15,15,3,2020,18,0,Colombia,CO,COL,50339443,America
2020-03-14,14,3,2020,7,0,Colombia,CO,COL,50339443,America
2020-03-12,12,3,2020,6,0,Colombia,CO,COL,50339443,America
2020-03-10,10,3,2020,2,0,Colombia,CO,COL,50339443,America
2020-03-07,7,3,2020,1,0,Colombia,CO,COL,50339443,America
