dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
20/04/2020,20,4,2020,11,0,IS,Europe,ISL,353574,Iceland
19/04/2020,19,4,2020,6,1,IS,Europe,ISL,353574,Iceland
18/04/2020,18,4,2020,15,0,IS,Europe,ISL,353574,Iceland
17/04/2020,17,4,2020,12,0,IS,Europe,ISL,353574,Iceland
16/04/2020,16,4,2020,7,0,IS,Europe,ISL,353574,Iceland
15/04/2020,15,4,2020,9,0,IS,Europe,ISL,353574,Iceland
14/04/2020,14,4,2020,10,0,IS,Europe,ISL,353574,Iceland
13/04/2020,13,4,2020,12,0,IS,Europe,ISL,353574,Iceland
12/04/2020,12,4,2020,14,1,IS,Europe,ISL,353574,Iceland
11/04/2020,11,4,2020,27,1,IS,Europe,ISL,353574,Iceland
10/04/2020,10,4,2020,32,0,IS,Europe,ISL,353574,Iceland
09/04/2020,9,4,2020,30,0,IS,Europe,ISL,353574,Iceland
08/04/2020,8,4,2020,24,0,IS,Europe,ISL,353574,Iceland
07/04/2020,7,4,2020,76,2,IS,Europe,ISL,353574,Iceland
06/04/2020,6,4,2020,69,0,IS,Europe,ISL,353574,Iceland
05/04/2020,5,4,2020,53,0,IS,Europe,ISL,353574,Iceland
04/04/2020,4,4,2020,45,0,IS,Europe,ISL,353574,Iceland
03/04/2020,3,4,2020,99,2,IS,Europe,ISL,353574,Iceland
02/04/2020,2,4,2020,85,0,IS,Europe,ISL,353574,Iceland
01/04/2020,1,4,2020,49,0,IS,Europe,ISL,353574,Iceland
31/03/2020,31,3,2020,66,0,IS,Europe,ISL,353574,Iceland
30/03/2020,30,3,2020,57,0,IS,Europe,ISL,353574,Iceland
29/03/2020,29,3,2020,73,0,IS,Europe,ISL,353574,Iceland
28/03/2020,28,3,2020,88,0,IS,Europe,ISL,353574,Iceland
27/03/2020,27,3,2020,65,0,IS,Europe,ISL,353574,Iceland
26/03/2020,26,3,2020,89,0,IS,Europe,ISL,353574,Iceland
25/03/2020,25,3,2020,60,0,IS,Europe,ISL,353574,Iceland
24/03/2020,24,3,2020,20,1,IS,Europe,ISL,353574,Iceland
23/03/2020,23,3,2020,95,0,IS,Europe,ISL,353574,Iceland
22/03/2020,22,3,2020,64,0,IS,Europe,ISL,353574,Iceland
21/03/2020,21,3,2020,79,0,IS,Europe,ISL,353574,Iceland
20/03/2020,20,3,2020,80,1,IS,Europe,ISL,353574,Iceland
19/03/2020,19,3,2020,3,0,IS,Europe,ISL,353574,Iceland
18/03/2020,18,3,2020,48,0,IS,Europe,ISL,353574,Iceland
17/03/2020,17,3,2020,21,0,IS,Europe,ISL,353574,Iceland
16/03/2020,16,3,2020,40,0,IS,Europe,ISL,353574,Iceland
15/03/2020,15,3,2020,21,0,IS,Europe,ISL,353574,Iceland
14/03/2020,14,3,2020,0,0,IS,Europe,ISL,353574,Iceland
13/03/2020,13,3,2020,32,0,IS,Europe,ISL,353574,Iceland
12/03/2020,12,3,2020,15,0,IS,Europe,ISL,353574,Iceland
11/03/2020,11,3,2020,5,0,IS,Europe,ISL,353574,Iceland
10/03/2020,10,3,2020,10,0,IS,Europe,ISL,353574,Iceland
09/03/2020,9,3,2020,2,0,IS,Europe,ISL,353574,Iceland
08/03/2020,8,3,2020,10,0,IS,Europe,ISL,353574,Iceland
07/03/2020,7,3,2020,8,0,IS,Europe,ISL,353574,Iceland
06/03/2020,6,3,2020,9,0,IS,Europe,ISL,353574,Iceland
05/03/2020,5,3,2020,10,0,IS,Europe,ISL,353574,Iceland
04/03/2020,4,3,2020,10,0,IS,Europe,ISL,353574,Iceland
