dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2020-12-28,2020-52,4,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,38
2020-12-21,2020-51,6,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,58
2020-12-14,2020-50,9,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,46
2020-12-07,2020-49,3,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-11-30,2020-48,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,23
2020-11-23,2020-47,6,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,27
2020-11-16,2020-46,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,8
2020-11-09,2020-45,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,15
2020-11-02,2020-44,3,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-10-26,2020-43,0,1,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,8
2020-10-19,2020-42,2,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,100
2020-10-12,2020-41,24,1,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,242
2020-10-05,2020-40,39,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,339
2020-09-28,2020-39,49,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,227
2020-09-21,2020-38,10,1,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,69
2020-09-14,2020-37,8,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,42
2020-09-07,2020-36,3,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,19
2020-08-31,2020-35,2,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,8
2020-08-24,2020-34,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-08-17,2020-33,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,8
2020-08-10,2020-32,2,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,8
2020-08-03,2020-31,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,4
2020-07-27,2020-30,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,15
2020-07-20,2020-29,3,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-07-13,2020-28,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-07-06,2020-27,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-06-29,2020-26,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-06-22,2020-25,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-06-15,2020-24,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-06-08,2020-23,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-06-01,2020-22,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,4
2020-05-25,2020-21,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,4
2020-05-18,2020-20,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-05-11,2020-19,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,0
2020-05-04,2020-18,0,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,4
2020-04-27,2020-17,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-04-20,2020-16,2,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-04-13,2020-15,1,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,12
2020-04-06,2020-14,2,0,"Bonaire, Saint Eustatius and Saba",BQ,BES,25983,America,
