dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
20/04/2020,20,4,2020,14,0,AL,Europe,ALB,2866376,Albania
19/04/2020,19,4,2020,9,0,AL,Europe,ALB,2866376,Albania
18/04/2020,18,4,2020,21,0,AL,Europe,ALB,2866376,Albania
17/04/2020,17,4,2020,24,1,AL,Europe,ALB,2866376,Albania
16/04/2020,16,4,2020,19,1,AL,Europe,ALB,2866376,Albania
15/04/2020,15,4,2020,8,1,AL,Europe,ALB,2866376,Albania
14/04/2020,14,4,2020,21,0,AL,Europe,ALB,2866376,Albania
13/04/2020,13,4,2020,13,0,AL,Europe,ALB,2866376,Albania
12/04/2020,12,4,2020,17,0,AL,Europe,ALB,2866376,Albania
11/04/2020,11,4,2020,7,0,AL,Europe,ALB,2866376,Albania
10/04/2020,10,4,2020,9,1,AL,Europe,ALB,2866376,Albania
09/04/2020,9,4,2020,17,0,AL,Europe,ALB,2866376,Albania
08/04/2020,8,4,2020,6,0,AL,Europe,ALB,2866376,Albania
07/04/2020,7,4,2020,16,1,AL,Europe,ALB,2866376,Albania
06/04/2020,6,4,2020,28,2,AL,Europe,ALB,2866376,Albania
05/04/2020,5,4,2020,29,2,AL,Europe,ALB,2866376,Albania
04/04/2020,4,4,2020,27,1,AL,Europe,ALB,2866376,Albania
03/04/2020,3,4,2020,18,1,AL,Europe,ALB,2866376,Albania
02/04/2020,2,4,2020,16,0,AL,Europe,ALB,2866376,Albania
01/04/2020,1,4,2020,20,3,AL,Europe,ALB,2866376,Albania
31/03/2020,31,3,2020,11,2,AL,Europe,ALB,2866376,Albania
30/03/2020,30,3,2020,15,0,AL,Europe,ALB,2866376,Albania
29/03/2020,29,3,2020,11,1,AL,Europe,ALB,2866376,Albania
28/03/2020,28,3,2020,12,3,AL,Europe,ALB,2866376,Albania
27/03/2020,27,3,2020,28,1,AL,Europe,ALB,2866376,Albania
26/03/2020,26,3,2020,23,0,AL,Europe,ALB,2866376,Albania
25/03/2020,25,3,2020,23,1,AL,Europe,ALB,2866376,Albania
24/03/2020,24,3,2020,11,2,AL,Europe,ALB,2866376,Albania
23/03/2020,23,3,2020,13,0,AL,Europe,ALB,2866376,Albania
22/03/2020,22,3,2020,6,0,AL,Europe,ALB,2866376,Albania
21/03/2020,21,3,2020,0,0,AL,Europe,ALB,2866376,Albania
20/03/2020,20,3,2020,11,0,AL,Europe,ALB,2866376,Albania
19/03/2020,19,3,2020,4,1,AL,Europe,ALB,2866376,Albania
18/03/2020,18,3,2020,4,0,AL,Europe,ALB,2866376,Albania
17/03/2020,17,3,2020,9,0,AL,Europe,ALB,2866376,Albania
16/03/2020,16,3,2020,4,0,AL,Europe,ALB,2866376,Albania
15/03/2020,15,3,2020,5,0,AL,Europe,ALB,2866376,Albania
14/03/2020,14,3,2020,10,0,AL,Europe,ALB,2866376,Albania
13/03/2020,13,3,2020,12,0,AL,Europe,ALB,2866376,Albania
12/03/2020,12,3,2020,1,1,AL,Europe,ALB,2866376,Albania
11/03/2020,11,3,2020,4,0,AL,Europe,ALB,2866376,Albania
10/03/2020,10,3,2020,4,0,AL,Europe,ALB,2866376,Albania
09/03/2020,9,3,2020,2,0,AL,Europe,ALB,2866376,Albania
