dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
2020-12-14,2020-50,108,0,Sint_Maarten,SX,SXM,42389,America,432
2020-12-07,2020-49,75,1,Sint_Maarten,SX,SXM,42389,America,316
2020-11-30,2020-48,59,0,Sint_Maarten,SX,SXM,42389,America,314
2020-11-23,2020-47,74,1,Sint_Maarten,SX,SXM,42389,America,262
2020-11-16,2020-46,37,1,Sint_Maarten,SX,SXM,42389,America,241
2020-11-09,2020-45,65,1,Sint_Maarten,SX,SXM,42389,America,264
2020-11-02,2020-44,47,0,Sint_Maarten,SX,SXM,42389,America,184
2020-10-26,2020-43,31,0,Sint_Maarten,SX,SXM,42389,America,175
2020-10-19,2020-42,43,0,Sint_Maarten,SX,SXM,42389,America,175
2020-10-12,2020-41,31,0,Sint_Maarten,SX,SXM,42389,America,156
2020-10-05,2020-40,35,0,Sint_Maarten,SX,SXM,42389,America,224
2020-09-28,2020-39,60,2,Sint_Maarten,SX,SXM,42389,America,224
2020-09-21,2020-38,35,1,Sint_Maarten,SX,SXM,42389,America,172
2020-09-14,2020-37,38,0,Sint_Maarten,SX,SXM,42389,America,203
2020-09-07,2020-36,48,2,Sint_Maarten,SX,SXM,42389,America,271
2020-08-31,2020-35,67,0,Sint_Maarten,SX,SXM,42389,America,344
2020-08-24,2020-34,79,0,Sint_Maarten,SX,SXM,42389,America,488
2020-08-17,2020-33,128,0,Sint_Maarten,SX,SXM,42389,America,403
2020-08-10,2020-32,43,1,Sint_Maarten,SX,SXM,42389,America,224
2020-08-03,2020-31,52,1,Sint_Maarten,SX,SXM,42389,America,158
2020-07-27,2020-30,15,0,Sint_Maarten,SX,SXM,42389,America,38
2020-07-20,2020-29,1,0,Sint_Maarten,SX,SXM,42389,America,2
2020-07-13,2020-28,0,0,Sint_Maarten,SX,SXM,42389,America,2
2020-07-06,2020-27,1,0,Sint_Maarten,SX,SXM,42389,America,2
2020-06-29,2020-26,0,0,Sint_Maarten,SX,SXM,42389,America,0
2020-06-22,2020-25,0,0,Sint_Maarten,SX,SXM,42389,America,0
2020-06-15,2020-24,0,0,Sint_Maarten,SX,SXM,42389,America,0
2020-06-08,2020-23,0,0,Sint_Maarten,SX,SXM,42389,America,0
2020-06-01,2020-22,0,0,Sint_Maarten,SX,SXM,42389,America,0
2020-05-25,2020-21,0,0,Sint_Maarten,SX,SXM,42389,America,2
2020-05-18,2020-20,1,0,Sint_Maarten,SX,SXM,42389,America,2
2020-05-11,2020-19,0,2,Sint_Maarten,SX,SXM,42389,America,5
2020-05-04,2020-18,2,0,Sint_Maarten,SX,SXM,42389,America,21
2020-04-27,2020-17,7,3,Sint_Maarten,SX,SXM,42389,America,57
2020-04-20,2020-16,17,1,Sint_Maarten,SX,SXM,42389,America,99
2020-04-13,2020-15,25,5,Sint_Maarten,SX,SXM,42389,America,111
2020-04-06,2020-14,22,4,Sint_Maarten,SX,SXM,42389,America,59
2020-03-30,2020-13,3,0,Sint_Maarten,SX,SXM,42389,America,
