date,region_iso,region,province,city,place_type,cases,deaths,recovered
2020-07-18,cb,Cochabamba,,,departamento,6277,468,1060
2020-07-17,cb,Cochabamba,,,departamento,6045,453,986
2020-07-16,cb,Cochabamba,,,departamento,5926,437,774
2020-07-15,cb,Cochabamba,,,departamento,5744,422,699
2020-07-14,cb,Cochabamba,,,departamento,5468,412,615
2020-07-13,cb,Cochabamba,,,departamento,5315,398,571
2020-07-12,cb,Cochabamba,,,departamento,5188,385,504
2020-07-11,cb,Cochabamba,,,departamento,5014,365,446
2020-07-10,cb,Cochabamba,,,departamento,4915,346,410
2020-07-09,cb,Cochabamba,,,departamento,4769,327,379
2020-07-08,cb,Cochabamba,,,departamento,4635,312,350
2020-07-07,cb,Cochabamba,,,departamento,4492,304,329
2020-07-06,cb,Cochabamba,,,departamento,4429,292,301
2020-07-05,cb,Cochabamba,,,departamento,4199,282,277
2020-07-04,cb,Cochabamba,,,departamento,4146,262,241
2020-07-03,cb,Cochabamba,,,departamento,4089,247,211
2020-07-02,cb,Cochabamba,,,departamento,3836,233,185
2020-07-01,cb,Cochabamba,,,departamento,3744,221,168
2020-06-30,cb,Cochabamba,,,departamento,3640,202,153
2020-06-29,cb,Cochabamba,,,departamento,3501,184,153
2020-06-28,cb,Cochabamba,,,departamento,3468,165,138
2020-06-27,cb,Cochabamba,,,departamento,3416,150,138
2020-06-26,cb,Cochabamba,,,departamento,3233,140,123
2020-06-25,cb,Cochabamba,,,departamento,2970,136,117
2020-06-24,cb,Cochabamba,,,departamento,2920,130,100
2020-06-23,cb,Cochabamba,,,departamento,2775,125,95
2020-06-22,cb,Cochabamba,,,departamento,2612,114,94
2020-06-21,cb,Cochabamba,,,departamento,2551,107,94
2020-06-20,cb,Cochabamba,,,departamento,2360,101,94
2020-06-19,cb,Cochabamba,,,departamento,2302,98,94
2020-06-18,cb,Cochabamba,,,departamento,2179,97,86
2020-06-17,cb,Cochabamba,,,departamento,2041,94,81
2020-06-16,cb,Cochabamba,,,departamento,1915,88,78
2020-06-15,cb,Cochabamba,,,departamento,1878,83,78
2020-06-14,cb,Cochabamba,,,departamento,1723,78,76
2020-06-13,cb,Cochabamba,,,departamento,1537,75,76
2020-06-12,cb,Cochabamba,,,departamento,1441,66,76
2020-06-11,cb,Cochabamba,,,departamento,1369,60,76
2020-06-10,cb,Cochabamba,,,departamento,1297,57,71
2020-06-09,cb,Cochabamba,,,departamento,1231,57,71
2020-06-08,cb,Cochabamba,,,departamento,1097,52,71
2020-06-07,cb,Cochabamba,,,departamento,1097,52,71
2020-06-06,cb,Cochabamba,,,departamento,1022,52,71
2020-06-05,cb,Cochabamba,,,departamento,960,51,71
2020-06-04,cb,Cochabamba,,,departamento,898,49,71
2020-06-03,cb,Cochabamba,,,departamento,851,45,64
2020-06-02,cb,Cochabamba,,,departamento,786,39,64
2020-06-01,cb,Cochabamba,,,departamento,714,34,60
2020-05-31,cb,Cochabamba,,,departamento,611,23,60
2020-05-30,cb,Cochabamba,,,departamento,556,23,60
2020-05-29,cb,Cochabamba,,,departamento,488,21,60
2020-05-28,cb,Cochabamba,,,departamento,419,19,60
2020-05-27,cb,Cochabamba,,,departamento,376,18,60
2020-05-26,cb,Cochabamba,,,departamento,345,18,60
2020-05-25,cb,Cochabamba,,,departamento,339,18,55
2020-05-24,cb,Cochabamba,,,departamento,329,13,55
2020-05-23,cb,Cochabamba,,,departamento,295,13,55
2020-05-22,cb,Cochabamba,,,departamento,285,11,55
2020-05-21,cb,Cochabamba,,,departamento,266,11,55
2020-05-20,cb,Cochabamba,,,departamento,259,11,55
2020-05-19,cb,Cochabamba,,,departamento,246,11,55
2020-05-18,cb,Cochabamba,,,departamento,228,10,50
2020-05-17,cb,Cochabamba,,,departamento,224,9,50
2020-05-16,cb,Cochabamba,,,departamento,214,9,50
2020-05-15,cb,Cochabamba,,,departamento,196,9,50
2020-05-14,cb,Cochabamba,,,departamento,170,8,45
2020-05-13,cb,Cochabamba,,,departamento,148,8,45
2020-05-12,cb,Cochabamba,,,departamento,130,7,45
2020-05-11,cb,Cochabamba,,,departamento,109,6,45
2020-05-10,cb,Cochabamba,,,departamento,104,6,40
