date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-X,Cotopaxi,,province,109,11
2020-04-27,EC-X,Cotopaxi,,province,109,11
2020-04-28,EC-X,Cotopaxi,,province,109,11
2020-04-29,EC-X,Cotopaxi,,province,90,19
2020-04-30,EC-X,Cotopaxi,,province,90,19
2020-05-01,EC-X,Cotopaxi,,province,120,19
2020-05-02,EC-X,Cotopaxi,,province,122,25
2020-05-03,EC-X,Cotopaxi,,province,135,25
2020-05-04,EC-X,Cotopaxi,,province,135,25
2020-05-05,EC-X,Cotopaxi,,province,135,25
2020-05-06,EC-X,Cotopaxi,,province,135,25
2020-05-07,EC-X,Cotopaxi,,province,148,26
2020-05-08,EC-X,Cotopaxi,,province,148,26
2020-05-09,EC-X,Cotopaxi,,province,148,26
2020-05-10,EC-X,Cotopaxi,,province,148,26
2020-05-11,EC-X,Cotopaxi,,province,171,37
2020-05-12,EC-X,Cotopaxi,,province,207,38
2020-05-13,EC-X,Cotopaxi,,province,207,38
2020-05-14,EC-X,Cotopaxi,,province,207,38
2020-05-15,EC-X,Cotopaxi,,province,207,38
2020-05-16,EC-X,Cotopaxi,,province,228,38
2020-05-17,EC-X,Cotopaxi,,province,228,38
2020-05-18,EC-X,Cotopaxi,,province,228,38
2020-05-19,EC-X,Cotopaxi,,province,251,40
2020-05-20,EC-X,Cotopaxi,,province,251,40
2020-05-21,EC-X,Cotopaxi,,province,277,42
2020-05-22,EC-X,Cotopaxi,,province,299,46
2020-05-23,EC-X,Cotopaxi,,province,299,46
2020-05-24,EC-X,Cotopaxi,,province,299,46
2020-05-25,EC-X,Cotopaxi,,province,329,46
2020-05-26,EC-X,Cotopaxi,,province,329,46
2020-05-27,EC-X,Cotopaxi,,province,329,46
2020-05-28,EC-X,Cotopaxi,,province,329,46
2020-05-29,EC-X,Cotopaxi,,province,380,53
2020-05-30,EC-X,Cotopaxi,,province,380,53
2020-05-31,EC-X,Cotopaxi,,province,380,53
2020-06-01,EC-X,Cotopaxi,,province,380,53
2020-06-02,EC-X,Cotopaxi,,province,380,53
