date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-I,Imbabura,,province,97,8
2020-04-27,EC-I,Imbabura,,province,97,8
2020-04-28,EC-I,Imbabura,,province,97,8
2020-04-29,EC-I,Imbabura,,province,81,9
2020-04-30,EC-I,Imbabura,,province,81,9
2020-05-01,EC-I,Imbabura,,province,98,9
2020-05-02,EC-I,Imbabura,,province,99,9
2020-05-03,EC-I,Imbabura,,province,99,9
2020-05-04,EC-I,Imbabura,,province,99,9
2020-05-05,EC-I,Imbabura,,province,99,9
2020-05-06,EC-I,Imbabura,,province,99,9
2020-05-07,EC-I,Imbabura,,province,108,11
2020-05-08,EC-I,Imbabura,,province,108,11
2020-05-09,EC-I,Imbabura,,province,108,11
2020-05-10,EC-I,Imbabura,,province,108,11
2020-05-11,EC-I,Imbabura,,province,114,11
2020-05-12,EC-I,Imbabura,,province,141,11
2020-05-13,EC-I,Imbabura,,province,141,11
2020-05-14,EC-I,Imbabura,,province,141,11
2020-05-15,EC-I,Imbabura,,province,141,11
2020-05-16,EC-I,Imbabura,,province,149,11
