date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-P,Pichincha,,province,1634,52
2020-04-27,EC-P,Pichincha,,province,1634,52
2020-04-28,EC-P,Pichincha,,province,1634,52
2020-04-29,EC-P,Pichincha,,province,1351,66
2020-04-30,EC-P,Pichincha,,province,1351,66
2020-05-01,EC-P,Pichincha,,province,1507,75
2020-05-02,EC-P,Pichincha,,province,1593,88
2020-05-03,EC-P,Pichincha,,province,1698,91
2020-05-04,EC-P,Pichincha,,province,1698,91
2020-05-05,EC-P,Pichincha,,province,1698,91
2020-05-06,EC-P,Pichincha,,province,1698,91
2020-05-07,EC-P,Pichincha,,province,1956,93
2020-05-08,EC-P,Pichincha,,province,1956,93
2020-05-09,EC-P,Pichincha,,province,1956,93
2020-05-10,EC-P,Pichincha,,province,1956,93
2020-05-11,EC-P,Pichincha,,province,2071,106
2020-05-12,EC-P,Pichincha,,province,2336,114
2020-05-13,EC-P,Pichincha,,province,2336,114
2020-05-14,EC-P,Pichincha,,province,2336,114
2020-05-15,EC-P,Pichincha,,province,2336,114
2020-05-16,EC-P,Pichincha,,province,2520,209
2020-05-17,EC-P,Pichincha,,province,2520,209
2020-05-18,EC-P,Pichincha,,province,2520,209
2020-05-19,EC-P,Pichincha,,province,2840,220
2020-05-20,EC-P,Pichincha,,province,2840,220
2020-05-21,EC-P,Pichincha,,province,2952,227
2020-05-22,EC-P,Pichincha,,province,3201,240
2020-05-23,EC-P,Pichincha,,province,3201,240
2020-05-24,EC-P,Pichincha,,province,3201,240
2020-05-25,EC-P,Pichincha,,province,3405,256
2020-05-26,EC-P,Pichincha,,province,3405,256
2020-05-27,EC-P,Pichincha,,province,3405,256
2020-05-28,EC-P,Pichincha,,province,3405,256
2020-05-29,EC-P,Pichincha,,province,3911,300
2020-05-30,EC-P,Pichincha,,province,3911,300
2020-05-31,EC-P,Pichincha,,province,3911,300
2020-06-01,EC-P,Pichincha,,province,3911,300
2020-06-02,EC-P,Pichincha,,province,3911,300
2020-06-03,EC-P,Pichincha,,province,4166,319
2020-06-04,EC-P,Pichincha,,province,4166,319
2020-06-05,EC-P,Pichincha,,province,4166,319
2020-06-06,EC-P,Pichincha,,province,4166,319
2020-06-07,EC-P,Pichincha,,province,4166,319
2020-06-08,EC-P,Pichincha,,province,4166,319
2020-06-09,EC-P,Pichincha,,province,4166,319
2020-06-10,EC-P,Pichincha,,province,4166,319
2020-06-11,EC-P,Pichincha,,province,4898,348
2020-06-12,EC-P,Pichincha,,province,4898,348
2020-06-13,EC-P,Pichincha,,province,4898,348
2020-06-14,EC-P,Pichincha,,province,4898,348
