date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-D,Orellana,,province,31,0
2020-04-27,EC-D,Orellana,,province,31,0
2020-04-28,EC-D,Orellana,,province,31,0
2020-04-29,EC-D,Orellana,,province,33,1
2020-04-30,EC-D,Orellana,,province,33,1
2020-05-01,EC-D,Orellana,,province,35,1
2020-05-02,EC-D,Orellana,,province,39,1
2020-05-03,EC-D,Orellana,,province,39,1
2020-05-04,EC-D,Orellana,,province,39,1
2020-05-05,EC-D,Orellana,,province,39,1
2020-05-06,EC-D,Orellana,,province,39,1
2020-05-07,EC-D,Orellana,,province,48,1
2020-05-08,EC-D,Orellana,,province,48,1
2020-05-09,EC-D,Orellana,,province,48,1
2020-05-10,EC-D,Orellana,,province,48,1
2020-05-11,EC-D,Orellana,,province,52,1
2020-05-12,EC-D,Orellana,,province,67,1
2020-05-13,EC-D,Orellana,,province,67,1
2020-05-14,EC-D,Orellana,,province,67,1
2020-05-15,EC-D,Orellana,,province,67,1
2020-05-16,EC-D,Orellana,,province,85,1
2020-05-17,EC-D,Orellana,,province,85,1
2020-05-18,EC-D,Orellana,,province,85,1
2020-05-19,EC-D,Orellana,,province,85,1
