date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-SE,Santa Elena,,province,321,5
2020-04-27,EC-SE,Santa Elena,,province,321,5
2020-04-28,EC-SE,Santa Elena,,province,321,5
2020-04-29,EC-SE,Santa Elena,,province,360,47
2020-04-30,EC-SE,Santa Elena,,province,360,47
2020-05-01,EC-SE,Santa Elena,,province,412,49
2020-05-02,EC-SE,Santa Elena,,province,470,85
2020-05-03,EC-SE,Santa Elena,,province,583,164
2020-05-04,EC-SE,Santa Elena,,province,583,164
2020-05-05,EC-SE,Santa Elena,,province,583,164
2020-05-06,EC-SE,Santa Elena,,province,583,164
2020-05-07,EC-SE,Santa Elena,,province,608,171
2020-05-08,EC-SE,Santa Elena,,province,608,171
2020-05-09,EC-SE,Santa Elena,,province,608,171
2020-05-10,EC-SE,Santa Elena,,province,608,171
2020-05-11,EC-SE,Santa Elena,,province,514,193
2020-05-12,EC-SE,Santa Elena,,province,521,190
2020-05-13,EC-SE,Santa Elena,,province,521,190
2020-05-14,EC-SE,Santa Elena,,province,521,190
2020-05-15,EC-SE,Santa Elena,,province,521,190
2020-05-16,EC-SE,Santa Elena,,province,644,243
2020-05-17,EC-SE,Santa Elena,,province,644,243
2020-05-18,EC-SE,Santa Elena,,province,644,243
2020-05-19,EC-SE,Santa Elena,,province,706,266
2020-05-20,EC-SE,Santa Elena,,province,706,266
2020-05-21,EC-SE,Santa Elena,,province,715,273
2020-05-22,EC-SE,Santa Elena,,province,720,277
