date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-A,Azuay,,province,449,11
2020-04-27,EC-A,Azuay,,province,449,11
2020-04-28,EC-A,Azuay,,province,449,11
2020-04-29,EC-A,Azuay,,province,432,15
2020-04-30,EC-A,Azuay,,province,432,15
2020-05-01,EC-A,Azuay,,province,490,16
2020-05-02,EC-A,Azuay,,province,505,16
2020-05-03,EC-A,Azuay,,province,551,16
2020-05-04,EC-A,Azuay,,province,551,16
2020-05-05,EC-A,Azuay,,province,551,16
2020-05-06,EC-A,Azuay,,province,551,16
2020-05-07,EC-A,Azuay,,province,561,22
2020-05-08,EC-A,Azuay,,province,561,22
2020-05-09,EC-A,Azuay,,province,561,22
2020-05-10,EC-A,Azuay,,province,561,22
2020-05-11,EC-A,Azuay,,province,577,24
2020-05-12,EC-A,Azuay,,province,576,25
2020-05-13,EC-A,Azuay,,province,576,25
2020-05-14,EC-A,Azuay,,province,576,25
2020-05-15,EC-A,Azuay,,province,576,25
2020-05-16,EC-A,Azuay,,province,671,29
2020-05-17,EC-A,Azuay,,province,671,29
2020-05-18,EC-A,Azuay,,province,671,29
2020-05-19,EC-A,Azuay,,province,730,29
2020-05-20,EC-A,Azuay,,province,730,29
2020-05-21,EC-A,Azuay,,province,766,30
2020-05-22,EC-A,Azuay,,province,782,33
2020-05-23,EC-A,Azuay,,province,782,33
2020-05-24,EC-A,Azuay,,province,782,33
2020-05-25,EC-A,Azuay,,province,797,33
2020-05-26,EC-A,Azuay,,province,797,33
2020-05-27,EC-A,Azuay,,province,797,33
2020-05-28,EC-A,Azuay,,province,797,33
2020-05-29,EC-A,Azuay,,province,847,33
2020-05-30,EC-A,Azuay,,province,847,33
2020-05-31,EC-A,Azuay,,province,847,33
2020-06-01,EC-A,Azuay,,province,847,33
2020-06-02,EC-A,Azuay,,province,847,33
2020-06-03,EC-A,Azuay,,province,930,36
2020-06-04,EC-A,Azuay,,province,930,36
2020-06-05,EC-A,Azuay,,province,930,36
2020-06-06,EC-A,Azuay,,province,930,36
2020-06-07,EC-A,Azuay,,province,930,36
2020-06-08,EC-A,Azuay,,province,930,36
2020-06-09,EC-A,Azuay,,province,930,36
2020-06-10,EC-A,Azuay,,province,930,36
2020-06-11,EC-A,Azuay,,province,1108,41
2020-06-12,EC-A,Azuay,,province,1108,41
2020-06-13,EC-A,Azuay,,province,1108,41
2020-06-14,EC-A,Azuay,,province,1108,41
2020-06-15,EC-A,Azuay,,province,1108,41
2020-06-16,EC-A,Azuay,,province,1108,41
2020-06-17,EC-A,Azuay,,province,1108,41
2020-06-18,EC-A,Azuay,,province,1108,41
2020-06-19,EC-A,Azuay,,province,1108,41
2020-06-20,EC-A,Azuay,,province,1108,41
2020-06-21,EC-A,Azuay,,province,1108,41
2020-06-22,EC-A,Azuay,,province,1108,41
2020-06-23,EC-A,Azuay,,province,1108,41
2020-06-24,EC-A,Azuay,,province,1108,41
2020-06-25,EC-A,Azuay,,province,1108,41
2020-06-26,EC-A,Azuay,,province,1108,41
2020-06-27,EC-A,Azuay,,province,1108,41
2020-06-28,EC-A,Azuay,,province,1108,41
2020-06-29,EC-A,Azuay,,province,1108,41
2020-06-30,EC-A,Azuay,,province,1108,41
2020-07-01,EC-A,Azuay,,province,1791,52
2020-07-02,EC-A,Azuay,,province,1791,52
2020-07-03,EC-A,Azuay,,province,1889,65
2020-07-04,EC-A,Azuay,,province,1889,65
2020-07-05,EC-A,Azuay,,province,1889,65
2020-07-06,EC-A,Azuay,,province,1889,65
2020-07-07,EC-A,Azuay,,province,1889,65
