date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-C,Carchi,,province,59,3
2020-04-27,EC-C,Carchi,,province,59,3
2020-04-28,EC-C,Carchi,,province,59,3
2020-04-29,EC-C,Carchi,,province,49,5
2020-04-30,EC-C,Carchi,,province,49,5
2020-05-01,EC-C,Carchi,,province,58,5
2020-05-02,EC-C,Carchi,,province,63,6
2020-05-03,EC-C,Carchi,,province,66,6
2020-05-04,EC-C,Carchi,,province,66,6
2020-05-05,EC-C,Carchi,,province,66,6
2020-05-06,EC-C,Carchi,,province,66,6
2020-05-07,EC-C,Carchi,,province,84,8
2020-05-08,EC-C,Carchi,,province,84,8
2020-05-09,EC-C,Carchi,,province,84,8
2020-05-10,EC-C,Carchi,,province,84,8
2020-05-11,EC-C,Carchi,,province,92,8
2020-05-12,EC-C,Carchi,,province,100,8
2020-05-13,EC-C,Carchi,,province,100,8
2020-05-14,EC-C,Carchi,,province,100,8
2020-05-15,EC-C,Carchi,,province,100,8
2020-05-16,EC-C,Carchi,,province,105,8
2020-05-17,EC-C,Carchi,,province,105,8
2020-05-18,EC-C,Carchi,,province,105,8
2020-05-19,EC-C,Carchi,,province,110,8
2020-05-20,EC-C,Carchi,,province,110,8
2020-05-21,EC-C,Carchi,,province,121,8
2020-05-22,EC-C,Carchi,,province,133,8
2020-05-23,EC-C,Carchi,,province,133,8
2020-05-24,EC-C,Carchi,,province,133,8
2020-05-25,EC-C,Carchi,,province,137,9
2020-05-26,EC-C,Carchi,,province,137,9
2020-05-27,EC-C,Carchi,,province,137,9
2020-05-28,EC-C,Carchi,,province,137,9
2020-05-29,EC-C,Carchi,,province,149,11
2020-05-30,EC-C,Carchi,,province,149,11
2020-05-31,EC-C,Carchi,,province,149,11
2020-06-01,EC-C,Carchi,,province,149,11
2020-06-02,EC-C,Carchi,,province,149,11
2020-06-03,EC-C,Carchi,,province,169,12
2020-06-04,EC-C,Carchi,,province,169,12
2020-06-05,EC-C,Carchi,,province,169,12
2020-06-06,EC-C,Carchi,,province,169,12
2020-06-07,EC-C,Carchi,,province,169,12
2020-06-08,EC-C,Carchi,,province,169,12
2020-06-09,EC-C,Carchi,,province,169,12
2020-06-10,EC-C,Carchi,,province,169,12
2020-06-11,EC-C,Carchi,,province,187,12
2020-06-12,EC-C,Carchi,,province,187,12
2020-06-13,EC-C,Carchi,,province,187,12
2020-06-14,EC-C,Carchi,,province,187,12
2020-06-15,EC-C,Carchi,,province,187,12
2020-06-16,EC-C,Carchi,,province,187,12
2020-06-17,EC-C,Carchi,,province,187,12
2020-06-18,EC-C,Carchi,,province,187,12
2020-06-19,EC-C,Carchi,,province,187,12
2020-06-20,EC-C,Carchi,,province,187,12
2020-06-21,EC-C,Carchi,,province,187,12
2020-06-22,EC-C,Carchi,,province,187,12
2020-06-23,EC-C,Carchi,,province,187,12
