date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-Z,Zamora Chinchipe,,province,42,1
2020-04-27,EC-Z,Zamora Chinchipe,,province,42,1
2020-04-28,EC-Z,Zamora Chinchipe,,province,42,1
2020-04-29,EC-Z,Zamora Chinchipe,,province,43,2
2020-04-30,EC-Z,Zamora Chinchipe,,province,43,2
2020-05-01,EC-Z,Zamora Chinchipe,,province,55,2
2020-05-02,EC-Z,Zamora Chinchipe,,province,60,2
2020-05-03,EC-Z,Zamora Chinchipe,,province,76,2
2020-05-04,EC-Z,Zamora Chinchipe,,province,76,2
2020-05-05,EC-Z,Zamora Chinchipe,,province,76,2
2020-05-06,EC-Z,Zamora Chinchipe,,province,76,2
2020-05-07,EC-Z,Zamora Chinchipe,,province,78,2
2020-05-08,EC-Z,Zamora Chinchipe,,province,78,2
2020-05-09,EC-Z,Zamora Chinchipe,,province,78,2
2020-05-10,EC-Z,Zamora Chinchipe,,province,78,2
2020-05-11,EC-Z,Zamora Chinchipe,,province,67,2
2020-05-12,EC-Z,Zamora Chinchipe,,province,70,2
2020-05-13,EC-Z,Zamora Chinchipe,,province,70,2
2020-05-14,EC-Z,Zamora Chinchipe,,province,70,2
