date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-S,Morona Santiago,,province,48,0
2020-04-27,EC-S,Morona Santiago,,province,48,0
2020-04-28,EC-S,Morona Santiago,,province,48,0
2020-04-29,EC-S,Morona Santiago,,province,61,1
2020-04-30,EC-S,Morona Santiago,,province,61,1
2020-05-01,EC-S,Morona Santiago,,province,72,1
2020-05-02,EC-S,Morona Santiago,,province,72,1
2020-05-03,EC-S,Morona Santiago,,province,79,1
2020-05-04,EC-S,Morona Santiago,,province,79,1
2020-05-05,EC-S,Morona Santiago,,province,79,1
2020-05-06,EC-S,Morona Santiago,,province,79,1
