date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-H,Chimborazo,,province,219,26
2020-04-27,EC-H,Chimborazo,,province,219,26
2020-04-28,EC-H,Chimborazo,,province,219,26
2020-04-29,EC-H,Chimborazo,,province,160,32
2020-04-30,EC-H,Chimborazo,,province,160,32
2020-05-01,EC-H,Chimborazo,,province,208,37
2020-05-02,EC-H,Chimborazo,,province,208,45
2020-05-03,EC-H,Chimborazo,,province,215,52
2020-05-04,EC-H,Chimborazo,,province,215,52
2020-05-05,EC-H,Chimborazo,,province,215,52
2020-05-06,EC-H,Chimborazo,,province,215,52
2020-05-07,EC-H,Chimborazo,,province,229,54
2020-05-08,EC-H,Chimborazo,,province,229,54
2020-05-09,EC-H,Chimborazo,,province,229,54
2020-05-10,EC-H,Chimborazo,,province,229,54
2020-05-11,EC-H,Chimborazo,,province,241,67
