date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-U,Sucumbíos,,province,55,1
2020-04-27,EC-U,Sucumbíos,,province,55,1
2020-04-28,EC-U,Sucumbíos,,province,55,1
2020-04-29,EC-U,Sucumbíos,,province,39,1
2020-04-30,EC-U,Sucumbíos,,province,39,1
2020-05-01,EC-U,Sucumbíos,,province,44,2
2020-05-02,EC-U,Sucumbíos,,province,45,2
2020-05-03,EC-U,Sucumbíos,,province,45,2
2020-05-04,EC-U,Sucumbíos,,province,45,2
2020-05-05,EC-U,Sucumbíos,,province,45,2
2020-05-06,EC-U,Sucumbíos,,province,45,2
2020-05-07,EC-U,Sucumbíos,,province,42,2
2020-05-08,EC-U,Sucumbíos,,province,42,2
