date,iso,region,city,place_type,cases,deaths,recovered
2020-04-28,UY-TT,Treinta y Tres,,departamento,4,,0
2020-04-29,UY-TT,Treinta y Tres,,departamento,4,,0
2020-05-03,UY-TT,Treinta y Tres,,departamento,5,,0
2020-05-04,UY-TT,Treinta y Tres,,departamento,5,,0
2020-05-05,UY-TT,Treinta y Tres,,departamento,5,,0
2020-05-06,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-07,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-08,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-09,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-10,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-11,UY-TT,Treinta y Tres,,departamento,12,,0
2020-05-12,UY-TT,Treinta y Tres,,departamento,12,,1
