date,iso,region,city,place_type,cases,deaths,recovered
2020-06-16,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-17,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-18,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-19,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-20,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-21,UY-FD,Departamento de Florida,,departamento,0,,0
2020-06-21,UY-FD,Florida,,departamento,0,,0
2020-06-22,UY-FD,Florida,,departamento,0,,0
2020-06-23,UY-FD,Florida,,departamento,0,,0
2020-06-24,UY-FD,Florida,,departamento,0,,0
2020-06-25,UY-FD,Florida,,departamento,0,,0
2020-06-26,UY-FD,Florida,,departamento,0,,0
2020-06-27,UY-FD,Florida,,departamento,0,,0
2020-06-28,UY-FD,Florida,,departamento,0,,0
2020-06-29,UY-FD,Florida,,departamento,0,,0
2020-06-30,UY-FD,Florida,,departamento,0,,0
2020-07-01,UY-FD,Florida,,departamento,0,,0
2020-07-02,UY-FD,Florida,,departamento,0,,0
2020-07-03,UY-FD,Florida,,departamento,0,,0
2020-07-04,UY-FD,Florida,,departamento,0,,0
2020-07-05,UY-FD,Florida,,departamento,0,,0
2020-07-06,UY-FD,Florida,,departamento,0,,0
2020-07-07,UY-FD,Florida,,departamento,0,,0
2020-07-08,UY-FD,Florida,,departamento,0,,0
2020-07-09,UY-FD,Florida,,departamento,0,,0
2020-07-10,UY-FD,Florida,,departamento,0,,0
2020-07-11,UY-FD,Florida,,departamento,0,,0
2020-07-12,UY-FD,Florida,,departamento,0,,0
2020-07-13,UY-FD,Florida,,departamento,0,,0
2020-07-14,UY-FD,Florida,,departamento,0,,0
2020-07-15,UY-FD,Florida,,departamento,0,0,0
2020-07-16,UY-FD,Florida,,departamento,0,0,0
2020-07-17,UY-FD,Florida,,departamento,0,0,0
2020-07-18,UY-FD,Florida,,departamento,0,0,0
2020-07-19,UY-FD,Florida,,departamento,0,0,0
2020-07-20,UY-FD,Florida,,departamento,0,0,0
2020-07-21,UY-FD,Florida,,departamento,0,0,0
2020-07-22,UY-FD,Florida,,departamento,0,0,0
2020-07-23,UY-FD,Florida,,departamento,0,0,0
2020-07-24,UY-FD,Florida,,departamento,0,0,0
2020-07-25,UY-FD,Florida,,departamento,0,0,0
2020-07-26,UY-FD,Florida,,departamento,0,0,0
2020-07-27,UY-FD,Florida,,departamento,0,0,0
2020-07-28,UY-FD,Florida,,departamento,0,0,0
2020-07-29,UY-FD,Florida,,departamento,0,0,0
2020-07-30,UY-FD,Florida,,departamento,0,0,0
2020-07-31,UY-FD,Florida,,departamento,0,0,0
2020-08-01,UY-FD,Florida,,departamento,0,0,0
2020-08-02,UY-FD,Florida,,departamento,0,0,0
2020-08-03,UY-FD,Florida,,departamento,0,0,0
2020-08-04,UY-FD,Florida,,departamento,0,0,0
2020-08-05,UY-FD,Florida,,departamento,0,0,0
2020-08-06,UY-FD,Florida,,departamento,0,0,0
2020-08-07,UY-FD,Florida,,departamento,0,0,0
2020-08-08,UY-FD,Florida,,departamento,0,0,0
2020-08-09,UY-FD,Florida,,departamento,0,0,0
2020-08-10,UY-FD,Florida,,departamento,0,0,0
2020-08-11,UY-FD,Florida,,departamento,0,0,0
2020-08-12,UY-FD,Florida,,departamento,0,0,0
2020-08-13,UY-FD,Florida,,departamento,0,0,0
2020-08-14,UY-FD,Florida,,departamento,0,0,0
2020-08-15,UY-FD,Florida,,departamento,0,0,0
2020-08-16,UY-FD,Florida,,departamento,0,0,0
2020-08-17,UY-FD,Florida,,departamento,0,0,0
2020-08-18,UY-FD,Florida,,departamento,0,0,0
2020-08-19,UY-FD,Florida,,departamento,0,0,0
2020-08-20,UY-FD,Florida,,departamento,0,0,0
2020-08-21,UY-FD,Florida,,departamento,0,0,0
2020-08-22,UY-FD,Florida,,departamento,0,0,0
2020-08-23,UY-FD,Florida,,departamento,0,0,0
2020-08-24,UY-FD,Florida,,departamento,0,0,0
2020-08-25,UY-FD,Florida,,departamento,0,0,0
2020-08-26,UY-FD,Florida,,departamento,0,0,0
2020-08-27,UY-FD,Florida,,departamento,0,0,0
2020-08-28,UY-FD,Florida,,departamento,0,0,0
2020-08-29,UY-FD,Florida,,departamento,0,0,0
2020-08-30,UY-FD,Florida,,departamento,0,0,0
2020-08-31,UY-FD,Florida,,departamento,0,0,0
2020-09-01,UY-FD,Florida,,departamento,1,0,0
2020-09-02,UY-FD,Florida,,departamento,1,0,0
2020-09-03,UY-FD,Florida,,departamento,1,0,0
2020-09-04,UY-FD,Florida,,departamento,1,0,0
2020-09-05,UY-FD,Florida,,departamento,1,0,0
2020-09-06,UY-FD,Florida,,departamento,1,0,1
2020-09-07,UY-FD,Florida,,departamento,1,0,1
2020-09-08,UY-FD,Florida,,departamento,1,0,0
2020-09-09,UY-FD,Florida,,departamento,1,0,0
2020-09-10,UY-FD,Florida,,departamento,1,0,0
2020-09-11,UY-FD,Florida,,departamento,1,0,0
2020-09-12,UY-FD,Florida,,departamento,1,0,0
2020-09-16,UY-FD,Florida,,departamento,2,0,0
2020-09-17,UY-FD,Florida,,departamento,2,0,1
2020-09-18,UY-FD,Florida,,departamento,2,0,1
2020-09-19,UY-FD,Florida,,departamento,2,0,1
2020-09-20,UY-FD,Florida,,departamento,2,0,1
2020-09-21,UY-FD,Florida,,departamento,2,0,1
2020-09-22,UY-FD,Florida,,departamento,2,0,1
2020-09-23,UY-FD,Florida,,departamento,2,0,1
2020-09-24,UY-FD,Florida,,departamento,2,0,2
2020-09-25,UY-FD,Florida,,departamento,2,0,2
2020-09-26,UY-FD,Florida,,departamento,2,0,2
2020-09-27,UY-FD,Florida,,departamento,2,0,2
2020-09-28,UY-FD,Florida,,departamento,2,0,2
2020-09-29,UY-FD,Florida,,departamento,2,0,2
2020-09-30,UY-FD,Florida,,departamento,2,0,2
2020-10-01,UY-FD,Florida,,departamento,2,0,2
2020-10-02,UY-FD,Florida,,departamento,2,0,2
