date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-MAG,Magdalena,,departamento,152,13,13
2020-04-27,CO-MAG,Magdalena,,departamento,160,13,15
2020-04-28,CO-MAG,Magdalena,,departamento,163,14,15
2020-04-29,CO-MAG,Magdalena,,departamento,166,17,18
2020-04-30,CO-MAG,Magdalena,,departamento,172,18,25
2020-05-01,CO-MAG,Magdalena,,departamento,202,18,26
2020-05-02,CO-MAG,Magdalena,,departamento,220,19,29
2020-05-03,CO-MAG,Magdalena,,departamento,230,19,30
2020-05-04,CO-MAG,Magdalena,,departamento,236,19,30
2020-05-05,CO-MAG,Magdalena,,departamento,242,19,35
2020-05-06,CO-MAG,Magdalena,,departamento,256,21,49
2020-05-07,CO-MAG,Magdalena,,departamento,256,23,49
2020-05-08,CO-MAG,Magdalena,,departamento,257,23,61
2020-05-09,CO-MAG,Magdalena,,departamento,263,23,61
2020-05-10,CO-MAG,Magdalena,,departamento,263,24,65
2020-05-11,CO-MAG,Magdalena,,departamento,271,24,69
2020-05-12,CO-MAG,Magdalena,,departamento,284,24,73
2020-05-13,CO-MAG,Magdalena,,departamento,308,24,74
2020-05-14,CO-MAG,Magdalena,,departamento,322,25,77
2020-05-15,CO-MAG,Magdalena,,departamento,355,26,94
