date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-TOL,Tolima,,departamento,42,2,16
2020-04-27,CO-TOL,Tolima,,departamento,42,2,16
2020-04-28,CO-TOL,Tolima,,departamento,54,2,16
2020-04-29,CO-TOL,Tolima,,departamento,62,2,16
2020-04-30,CO-TOL,Tolima,,departamento,66,3,16
2020-05-01,CO-TOL,Tolima,,departamento,68,3,17
2020-05-02,CO-TOL,Tolima,,departamento,87,3,18
2020-05-03,CO-TOL,Tolima,,departamento,88,3,18
2020-05-04,CO-TOL,Tolima,,departamento,93,3,20
2020-05-05,CO-TOL,Tolima,,departamento,94,3,20
2020-05-06,CO-TOL,Tolima,,departamento,94,3,21
2020-05-07,CO-TOL,Tolima,,departamento,94,3,23
