date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-NAR,Nariño,,departamento,92,6,12
2020-04-27,CO-NAR,Nariño,,departamento,93,6,12
2020-04-28,CO-NAR,Nariño,,departamento,96,7,12
2020-04-29,CO-NAR,Nariño,,departamento,113,8,14
2020-04-30,CO-NAR,Nariño,,departamento,118,8,17
2020-05-01,CO-NAR,Nariño,,departamento,118,8,18
2020-05-02,CO-NAR,Nariño,,departamento,154,8,18
2020-05-03,CO-NAR,Nariño,,departamento,157,8,19
2020-05-04,CO-NAR,Nariño,,departamento,201,8,24
2020-05-05,CO-NAR,Nariño,,departamento,201,9,24
2020-05-06,CO-NAR,Nariño,,departamento,247,11,26
2020-05-07,CO-NAR,Nariño,,departamento,253,11,28
2020-05-08,CO-NAR,Nariño,,departamento,253,12,28
2020-05-09,CO-NAR,Nariño,,departamento,253,13,28
2020-05-10,CO-NAR,Nariño,,departamento,262,14,33
2020-05-11,CO-NAR,Nariño,,departamento,296,15,33
2020-05-12,CO-NAR,Nariño,,departamento,306,15,33
2020-05-13,CO-NAR,Nariño,,departamento,338,18,34
2020-05-14,CO-NAR,Nariño,,departamento,338,18,37
2020-05-15,CO-NAR,Nariño,,departamento,377,20,48
2020-05-16,CO-NAR,Nariño,,departamento,425,23,61
2020-05-17,CO-NAR,Nariño,,departamento,489,25,62
2020-05-18,CO-NAR,Nariño,,departamento,494,26,63
2020-05-19,CO-NAR,Nariño,,departamento,499,26,63
2020-05-20,CO-NAR,Nariño,,departamento,519,27,63
2020-05-21,CO-NAR,Nariño,,departamento,549,27,63
2020-05-22,CO-NAR,Nariño,,departamento,594,27,66
2020-05-23,CO-NAR,Nariño,,departamento,634,29,66
2020-05-24,CO-NAR,Nariño,,departamento,649,29,69
2020-05-25,CO-NAR,Nariño,,departamento,709,31,77
2020-05-26,CO-NAR,Nariño,,departamento,787,32,79
2020-05-27,CO-NAR,Nariño,,departamento,801,33,80
2020-05-28,CO-NAR,Nariño,,departamento,825,35,81
2020-05-29,CO-NAR,Nariño,,departamento,867,37,115
2020-05-30,CO-NAR,Nariño,,departamento,946,37,116
2020-05-31,CO-NAR,Nariño,,departamento,1006,42,116
2020-06-01,CO-NAR,Nariño,,departamento,1102,48,164
2020-06-02,CO-NAR,Nariño,,departamento,1210,48,199
2020-06-03,CO-NAR,Nariño,,departamento,1263,54,245
2020-06-04,CO-NAR,Nariño,,departamento,1346,55,313
2020-06-05,CO-NAR,Nariño,,departamento,1383,55,319
2020-06-06,CO-NAR,Nariño,,departamento,1431,58,358
2020-06-07,CO-NAR,Nariño,,departamento,1551,61,390
2020-06-08,CO-NAR,Nariño,,departamento,1700,62,472
2020-06-09,CO-NAR,Nariño,,departamento,1700,62,472
2020-06-10,CO-NAR,Nariño,,departamento,1794,65,586
2020-06-11,CO-NAR,Nariño,,departamento,1989,67,616
2020-06-12,CO-NAR,Nariño,,departamento,1989,67,616
2020-06-13,CO-NAR,Nariño,,departamento,2057,71,672
2020-06-14,CO-NAR,Nariño,,departamento,2081,73,710
2020-06-15,CO-NAR,Nariño,,departamento,2150,74,723
2020-06-16,CO-NAR,Nariño,,departamento,2171,76,725
2020-06-17,CO-NAR,Nariño,,departamento,2205,77,743
2020-06-18,CO-NAR,Nariño,,departamento,2222,80,760
2020-06-19,CO-NAR,Nariño,,departamento,2376,82,797
2020-06-20,CO-NAR,Nariño,,departamento,2469,84,872
2020-06-21,CO-NAR,Nariño,,departamento,2495,86,931
2020-06-22,CO-NAR,Nariño,,departamento,2625,87,1134
2020-06-23,CO-NAR,Nariño,,departamento,2682,89,1201
2020-06-24,CO-NAR,Nariño,,departamento,2715,92,1296
2020-06-25,CO-NAR,Nariño,,departamento,2814,94,1376
2020-06-26,CO-NAR,Nariño,,departamento,2884,98,1501
2020-06-27,CO-NAR,Nariño,,departamento,2976,101,1605
2020-06-28,CO-NAR,Nariño,,departamento,3040,103,1631
2020-06-29,CO-NAR,Nariño,,departamento,3184,104,1754
2020-06-30,CO-NAR,Nariño,,departamento,3184,104,1754
2020-07-01,CO-NAR,Nariño,,departamento,3443,107,2061
2020-07-02,CO-NAR,Nariño,,departamento,3521,112,2102
2020-07-03,CO-NAR,Nariño,,departamento,3574,114,2169
