date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-CAS,Casanare,,departamento,10,0,2
2020-04-27,CO-CAS,Casanare,,departamento,10,0,2
2020-04-28,CO-CAS,Casanare,,departamento,10,0,6
2020-04-29,CO-CAS,Casanare,,departamento,16,0,6
2020-04-30,CO-CAS,Casanare,,departamento,18,0,6
2020-05-01,CO-CAS,Casanare,,departamento,18,0,6
2020-05-02,CO-CAS,Casanare,,departamento,18,0,6
2020-05-03,CO-CAS,Casanare,,departamento,18,0,6
2020-05-04,CO-CAS,Casanare,,departamento,19,0,6
2020-05-05,CO-CAS,Casanare,,departamento,20,0,6
2020-05-06,CO-CAS,Casanare,,departamento,20,0,7
2020-05-07,CO-CAS,Casanare,,departamento,20,0,7
2020-05-08,CO-CAS,Casanare,,departamento,20,0,7
2020-05-09,CO-CAS,Casanare,,departamento,20,0,7
2020-05-10,CO-CAS,Casanare,,departamento,20,0,7
2020-05-11,CO-CAS,Casanare,,departamento,21,0,7
2020-05-12,CO-CAS,Casanare,,departamento,21,0,8
2020-05-13,CO-CAS,Casanare,,departamento,21,0,8
2020-05-14,CO-CAS,Casanare,,departamento,25,0,8
2020-05-15,CO-CAS,Casanare,,departamento,25,0,9
2020-05-16,CO-CAS,Casanare,,departamento,25,0,9
2020-05-17,CO-CAS,Casanare,,departamento,25,0,9
2020-05-18,CO-CAS,Casanare,,departamento,25,0,9
2020-05-19,CO-CAS,Casanare,,departamento,25,0,10
2020-05-20,CO-CAS,Casanare,,departamento,25,0,13
2020-05-21,CO-CAS,Casanare,,departamento,26,0,13
2020-05-22,CO-CAS,Casanare,,departamento,26,0,13
2020-05-23,CO-CAS,Casanare,,departamento,26,0,13
2020-05-24,CO-CAS,Casanare,,departamento,26,0,13
2020-05-25,CO-CAS,Casanare,,departamento,26,0,14
2020-05-26,CO-CAS,Casanare,,departamento,32,0,15
2020-05-27,CO-CAS,Casanare,,departamento,32,0,16
2020-05-28,CO-CAS,Casanare,,departamento,33,0,18
2020-05-29,CO-CAS,Casanare,,departamento,33,0,18
2020-05-30,CO-CAS,Casanare,,departamento,34,0,23
2020-05-31,CO-CAS,Casanare,,departamento,34,0,23
2020-06-01,CO-CAS,Casanare,,departamento,35,0,24
2020-06-02,CO-CAS,Casanare,,departamento,35,0,24
2020-06-03,CO-CAS,Casanare,,departamento,35,0,25
2020-06-04,CO-CAS,Casanare,,departamento,35,0,26
2020-06-05,CO-CAS,Casanare,,departamento,36,0,26
2020-06-06,CO-CAS,Casanare,,departamento,36,0,26
2020-06-07,CO-CAS,Casanare,,departamento,37,0,29
2020-06-08,CO-CAS,Casanare,,departamento,36,0,29
2020-06-09,CO-CAS,Casanare,,departamento,36,0,29
2020-06-10,CO-CAS,Casanare,,departamento,36,0,31
2020-06-11,CO-CAS,Casanare,,departamento,36,0,31
2020-06-12,CO-CAS,Casanare,,departamento,36,0,31
2020-06-13,CO-CAS,Casanare,,departamento,37,0,33
2020-06-14,CO-CAS,Casanare,,departamento,37,0,33
2020-06-15,CO-CAS,Casanare,,departamento,38,0,33
2020-06-16,CO-CAS,Casanare,,departamento,38,0,33
2020-06-17,CO-CAS,Casanare,,departamento,38,0,33
2020-06-18,CO-CAS,Casanare,,departamento,39,0,33
2020-06-19,CO-CAS,Casanare,,departamento,41,0,33
2020-06-20,CO-CAS,Casanare,,departamento,51,0,33
2020-06-21,CO-CAS,Casanare,,departamento,52,0,33
2020-06-22,CO-CAS,Casanare,,departamento,55,0,34
2020-06-23,CO-CAS,Casanare,,departamento,57,0,35
2020-06-24,CO-CAS,Casanare,,departamento,58,0,35
2020-06-25,CO-CAS,Casanare,,departamento,61,0,35
2020-06-26,CO-CAS,Casanare,,departamento,64,0,35
2020-06-27,CO-CAS,Casanare,,departamento,64,0,35
2020-06-28,CO-CAS,Casanare,,departamento,65,0,36
2020-06-29,CO-CAS,Casanare,,departamento,66,0,36
2020-06-30,CO-CAS,Casanare,,departamento,66,0,36
2020-07-01,CO-CAS,Casanare,,departamento,66,0,45
2020-07-02,CO-CAS,Casanare,,departamento,67,0,47
2020-07-03,CO-CAS,Casanare,,departamento,69,0,47
2020-07-04,CO-CAS,Casanare,,departamento,85,0,48
2020-07-05,CO-CAS,Casanare,,departamento,85,0,48
2020-07-06,CO-CAS,Casanare,,departamento,87,0,49
2020-07-07,CO-CAS,Casanare,,departamento,88,0,49
2020-07-08,CO-CAS,Casanare,,departamento,88,0,49
2020-07-09,CO-CAS,Casanare,,departamento,91,0,49
2020-07-10,CO-CAS,Casanare,,departamento,97,1,50
2020-07-11,CO-CAS,Casanare,,departamento,112,1,51
2020-07-12,CO-CAS,Casanare,,departamento,116,1,56
2020-07-13,CO-CAS,Casanare,,departamento,118,1,58
2020-07-14,CO-CAS,Casanare,,departamento,122,1,59
2020-07-15,CO-CAS,Casanare,,departamento,122,1,59
