date,iso,region,city,place_type,cases,deaths,recovered
2020-04-26,CO-LAG,La Guajira,,departamento,5,1,1
2020-04-27,CO-LAG,La Guajira,,departamento,5,1,1
2020-04-28,CO-LAG,La Guajira,,departamento,5,1,1
2020-04-29,CO-LAG,La Guajira,,departamento,5,1,1
2020-04-30,CO-LAG,La Guajira,,departamento,9,1,1
2020-05-01,CO-LAG,La Guajira,,departamento,9,1,1
2020-05-02,CO-LAG,La Guajira,,departamento,9,1,1
2020-05-03,CO-LAG,La Guajira,,departamento,9,1,1
2020-05-04,CO-LAG,La Guajira,,departamento,10,1,1
2020-05-05,CO-LAG,La Guajira,,departamento,10,1,1
2020-05-06,CO-LAG,La Guajira,,departamento,14,2,1
2020-05-07,CO-LAG,La Guajira,,departamento,14,2,1
2020-05-08,CO-LAG,La Guajira,,departamento,14,2,1
2020-05-09,CO-LAG,La Guajira,,departamento,15,3,1
