date,iso,province,city,place_type,cases,deaths,recovered
2020-01-25,PE,Prince Edward Island,,province,0,,
2020-01-26,PE,Prince Edward Island,,province,0,,
2020-01-27,PE,Prince Edward Island,,province,0,,
2020-01-28,PE,Prince Edward Island,,province,0,,
2020-01-29,PE,Prince Edward Island,,province,0,,
2020-01-30,PE,Prince Edward Island,,province,0,,
2020-01-31,PE,Prince Edward Island,,province,0,,
2020-02-01,PE,Prince Edward Island,,province,0,,
2020-02-02,PE,Prince Edward Island,,province,0,,
2020-02-03,PE,Prince Edward Island,,province,0,,
2020-02-04,PE,Prince Edward Island,,province,0,,
2020-02-05,PE,Prince Edward Island,,province,0,,
2020-02-06,PE,Prince Edward Island,,province,0,,
2020-02-07,PE,Prince Edward Island,,province,0,,
2020-02-08,PE,Prince Edward Island,,province,0,,
2020-02-09,PE,Prince Edward Island,,province,0,,
2020-02-10,PE,Prince Edward Island,,province,0,,
2020-02-11,PE,Prince Edward Island,,province,0,,
2020-02-12,PE,Prince Edward Island,,province,0,,0
2020-02-13,PE,Prince Edward Island,,province,0,,0
2020-02-14,PE,Prince Edward Island,,province,0,,0
2020-02-15,PE,Prince Edward Island,,province,0,,0
2020-02-16,PE,Prince Edward Island,,province,0,,0
2020-02-17,PE,Prince Edward Island,,province,0,,0
2020-02-18,PE,Prince Edward Island,,province,0,,0
2020-02-19,PE,Prince Edward Island,,province,0,,0
2020-02-20,PE,Prince Edward Island,,province,0,,0
2020-02-21,PE,Prince Edward Island,,province,0,,0
2020-02-22,PE,Prince Edward Island,,province,0,,0
2020-02-23,PE,Prince Edward Island,,province,0,,0
2020-02-24,PE,Prince Edward Island,,province,0,,0
2020-02-25,PE,Prince Edward Island,,province,0,,0
2020-02-26,PE,Prince Edward Island,,province,0,,0
2020-02-27,PE,Prince Edward Island,,province,0,,0
2020-02-28,PE,Prince Edward Island,,province,0,,0
2020-02-29,PE,Prince Edward Island,,province,0,,0
2020-03-01,PE,Prince Edward Island,,province,0,,0
2020-03-02,PE,Prince Edward Island,,province,0,,0
2020-03-03,PE,Prince Edward Island,,province,0,,0
2020-03-04,PE,Prince Edward Island,,province,0,,0
2020-03-05,PE,Prince Edward Island,,province,0,,0
2020-03-06,PE,Prince Edward Island,,province,0,,0
2020-03-07,PE,Prince Edward Island,,province,0,,0
