date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-10-03,PR,,state,183715,4574,204,True,11433957,41,1606.74909,0.0249
2020-10-02,PR,,state,182203,4560,203,False,11433957,41,1593.52532,0.0250
2020-10-01,PR,,state,180777,4527,202,False,11433957,41,1581.05370,0.0250
2020-09-30,PR,,state,178898,4485,201,False,11433957,41,1564.62019,0.0251
2020-09-29,PR,,state,177298,4422,200,False,11433957,41,1550.62679,0.0249
2020-09-28,PR,,state,175982,4378,199,False,11433957,41,1539.11721,0.0249
2020-09-27,PR,,state,175133,4358,198,False,11433957,41,1531.69196,0.0249
2020-09-26,PR,,state,174011,4344,197,False,11433957,41,1521.87908,0.0250
2020-09-25,PR,,state,171932,4318,196,False,11433957,41,1503.69640,0.0251
2020-09-24,PR,,state,170508,4280,195,False,11433957,41,1491.24227,0.0251
2020-09-23,PR,,state,168923,4244,194,False,11433957,41,1477.38005,0.0251
2020-09-22,PR,,state,167678,4185,193,False,11433957,41,1466.49143,0.0250
2020-09-21,PR,,state,165494,4146,192,False,11433957,41,1447.39044,0.0251
2020-09-20,PR,,state,164888,4110,191,False,11433957,41,1442.09043,0.0249
2020-09-19,PR,,state,163479,4093,190,False,11433957,41,1429.76749,0.0250
2020-09-18,PR,,state,161922,4067,189,False,11433957,41,1416.15016,0.0251
2020-09-17,PR,,state,159799,4018,188,False,11433957,41,1397.58266,0.0251
2020-09-16,PR,,state,157330,3971,187,False,11433957,41,1375.98908,0.0252
2020-09-15,PR,,state,155820,3918,186,False,11433957,41,1362.78281,0.0251
2020-09-14,PR,,state,154820,3853,185,False,11433957,41,1354.03693,0.0249
2020-09-13,PR,,state,154171,3823,184,False,11433957,41,1348.36085,0.0248
2020-09-12,PR,,state,152913,3801,183,False,11433957,41,1337.35854,0.0249
2020-09-11,PR,,state,150668,3781,182,False,11433957,41,1317.72404,0.0251
2020-09-10,PR,,state,148333,3710,181,False,11433957,41,1297.30241,0.0250
2020-09-09,PR,,state,146333,3660,180,False,11433957,41,1279.81066,0.0250
2020-09-08,PR,,state,145257,3615,179,False,11433957,41,1270.40009,0.0249
2020-09-07,PR,,state,143853,3577,178,False,11433957,41,1258.12088,0.0249
2020-09-06,PR,,state,143074,3551,177,False,11433957,41,1251.30784,0.0248
2020-09-05,PR,,state,141648,3537,176,False,11433957,41,1238.83621,0.0250
2020-09-04,PR,,state,139780,3505,175,False,11433957,41,1222.49891,0.0251
2020-09-03,PR,,state,137865,3449,174,False,11433957,41,1205.75056,0.0250
2020-09-02,PR,,state,135609,3399,173,False,11433957,41,1186.01985,0.0251
2020-09-01,PR,,state,133574,3345,172,False,11433957,41,1168.22199,0.0250
