date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-10-24,PI,,state,110103,2347,219,True,3273227,3281480,22,3355.28481,0.0213
2020-10-23,PI,,state,109829,2340,218,False,3273227,3281480,22,3346.93492,0.0213
2020-10-22,PI,,state,109051,2327,217,False,3273227,3281480,22,3323.22611,0.0213
2020-10-21,PI,,state,108346,2322,216,False,3273227,3281480,22,3301.74190,0.0214
2020-10-20,PI,,state,107580,2314,215,False,3273227,3281480,22,3278.39877,0.0215
2020-10-19,PI,,state,106908,2304,214,False,3273227,3281480,22,3257.92021,0.0216
2020-10-18,PI,,state,106394,2295,213,False,3273227,3281480,22,3242.25654,0.0216
2020-10-17,PI,,state,106200,2286,212,False,3273227,3281480,22,3236.34458,0.0215
2020-10-16,PI,,state,105838,2278,211,False,3273227,3281480,22,3225.31297,0.0215
2020-10-15,PI,,state,105156,2269,210,False,3273227,3281480,22,3204.52966,0.0216
2020-10-14,PI,,state,104329,2261,209,False,3273227,3281480,22,3179.32762,0.0217
2020-10-13,PI,,state,103461,2249,208,False,3273227,3281480,22,3152.87614,0.0217
2020-10-12,PI,,state,102813,2237,207,False,3273227,3281480,22,3133.12895,0.0218
2020-10-11,PI,,state,102500,2230,206,False,3273227,3281480,22,3123.59057,0.0218
2020-10-10,PI,,state,102268,2217,205,False,3273227,3281480,22,3116.52059,0.0217
2020-10-09,PI,,state,101951,2206,204,False,3273227,3281480,22,3106.86032,0.0216
2020-10-08,PI,,state,101123,2197,203,False,3273227,3281480,22,3081.62780,0.0217
2020-10-07,PI,,state,100548,2188,202,False,3273227,3281480,22,3064.10522,0.0218
2020-10-06,PI,,state,99960,2180,201,False,3273227,3281480,22,3046.18648,0.0218
2020-10-05,PI,,state,99276,2169,200,False,3273227,3281480,22,3025.34222,0.0218
2020-10-04,PI,,state,98603,2156,199,False,3273227,3281480,22,3004.83319,0.0219
2020-10-03,PI,,state,98344,2149,198,False,3273227,3281480,22,2996.94040,0.0219
2020-10-02,PI,,state,98108,2144,197,False,3273227,3281480,22,2989.74853,0.0219
2020-10-01,PI,,state,97498,2132,196,False,3273227,3281480,22,2971.15935,0.0219
2020-09-30,PI,,state,96849,2127,195,False,3273227,3281480,22,2951.38169,0.0220
2020-09-29,PI,,state,96086,2122,194,False,3273227,3281480,22,2928.12999,0.0221
2020-09-28,PI,,state,95227,2107,193,False,3273227,3281480,22,2901.95278,0.0221
2020-09-27,PI,,state,94733,2101,192,False,3273227,3281480,22,2886.89859,0.0222
2020-09-26,PI,,state,94540,2095,191,False,3273227,3281480,22,2881.01710,0.0222
2020-09-25,PI,,state,94179,2091,190,False,3273227,3281480,22,2870.01597,0.0222
2020-09-24,PI,,state,93399,2085,189,False,3273227,3281480,22,2846.24621,0.0223
2020-09-23,PI,,state,92801,2073,188,False,3273227,3281480,22,2828.02272,0.0223
2020-09-22,PI,,state,92030,2061,187,False,3273227,3281480,22,2804.52723,0.0224
2020-09-21,PI,,state,91355,2051,186,False,3273227,3281480,22,2783.95724,0.0225
2020-09-20,PI,,state,90617,2038,185,False,3273227,3281480,22,2761.46739,0.0225
2020-09-19,PI,,state,90370,2037,184,False,3273227,3281480,22,2753.94030,0.0225
2020-09-18,PI,,state,90061,2025,183,False,3273227,3281480,22,2744.52381,0.0225
2020-09-17,PI,,state,89443,2012,182,False,3273227,3281480,22,2725.69085,0.0225
2020-09-16,PI,,state,88671,2007,181,False,3273227,3281480,22,2702.16488,0.0226
2020-09-15,PI,,state,87959,1996,180,False,3273227,3281480,22,2680.46735,0.0227
2020-09-14,PI,,state,87213,1988,179,False,3273227,3281480,22,2657.73371,0.0228
2020-09-13,PI,,state,86538,1973,178,False,3273227,3281480,22,2637.16372,0.0228
2020-09-12,PI,,state,86396,1967,177,False,3273227,3281480,22,2632.83640,0.0228
2020-09-11,PI,,state,86085,1958,176,False,3273227,3281480,22,2623.35897,0.0227
2020-09-10,PI,,state,85225,1947,175,False,3273227,3281480,22,2597.15129,0.0228
2020-09-09,PI,,state,84508,1931,174,False,3273227,3281480,22,2575.30139,0.0228
2020-09-08,PI,,state,83502,1924,173,False,3273227,3281480,22,2544.64449,0.0230
2020-09-07,PI,,state,82564,1915,172,False,3273227,3281480,22,2516.05983,0.0232
2020-09-06,PI,,state,82282,1901,171,False,3273227,3281480,22,2507.46614,0.0231
2020-09-05,PI,,state,82006,1893,170,False,3273227,3281480,22,2499.05530,0.0231
2020-09-04,PI,,state,81626,1884,169,False,3273227,3281480,22,2487.47516,0.0231
2020-09-03,PI,,state,81626,1884,168,False,3273227,3281480,22,2487.47516,0.0231
2020-09-02,PI,,state,79719,1855,167,False,3273227,3281480,22,2429.36114,0.0233
2020-09-01,PI,,state,78922,1846,166,False,3273227,3281480,22,2405.07332,0.0234
2020-08-31,PI,,state,77859,1843,165,False,3273227,3281480,22,2372.67940,0.0237
2020-08-30,PI,,state,77405,1825,164,False,3273227,3281480,22,2358.84418,0.0236
2020-08-29,PI,,state,77405,1825,163,False,3273227,3281480,22,2358.84418,0.0236
2020-08-28,PI,,state,76916,1804,162,False,3273227,3281480,22,2343.94237,0.0235
2020-08-27,PI,,state,76033,1785,161,False,3273227,3281480,22,2317.03378,0.0235
2020-08-26,PI,,state,75160,1765,160,False,3273227,3281480,22,2290.42993,0.0235
2020-08-25,PI,,state,74096,1754,159,False,3273227,3281480,22,2258.00553,0.0237
2020-08-24,PI,,state,72956,1741,158,False,3273227,3281480,22,2223.26511,0.0239
2020-08-23,PI,,state,72165,1724,157,False,3273227,3281480,22,2199.16014,0.0239
2020-08-22,PI,,state,71899,1714,156,False,3273227,3281480,22,2191.05404,0.0238
2020-08-21,PI,,state,71510,1701,155,False,3273227,3281480,22,2179.19963,0.0238
2020-08-20,PI,,state,70536,1672,154,False,3273227,3281480,22,2149.51790,0.0237
2020-08-19,PI,,state,69839,1660,153,False,3273227,3281480,22,2128.27748,0.0238
2020-08-18,PI,,state,68475,1653,152,False,3273227,3281480,22,2086.71087,0.0241
2020-08-17,PI,,state,67226,1637,151,False,3273227,3281480,22,2048.64878,0.0244
2020-08-16,PI,,state,66315,1619,150,False,3273227,3281480,22,2020.88692,0.0244
2020-08-15,PI,,state,66078,1608,149,False,3273227,3281480,22,2013.66457,0.0243
2020-08-14,PI,,state,65638,1594,148,False,3273227,3281480,22,2000.25598,0.0243
2020-08-13,PI,,state,64595,1581,147,False,3273227,3281480,22,1968.47154,0.0245
2020-08-12,PI,,state,63662,1566,146,False,3273227,3281480,22,1940.03925,0.0246
2020-08-11,PI,,state,62465,1548,145,False,3273227,3281480,22,1903.56181,0.0248
2020-08-10,PI,,state,61144,1526,144,False,3273227,3281480,22,1863.30558,0.0250
2020-08-09,PI,,state,60178,1503,143,False,3273227,3281480,22,1833.86765,0.0250
2020-08-08,PI,,state,59982,1480,142,False,3273227,3281480,22,1827.89473,0.0247
2020-08-07,PI,,state,59571,1469,141,False,3273227,3281480,22,1815.36989,0.0247
2020-08-06,PI,,state,58390,1452,140,False,3273227,3281480,22,1779.38004,0.0249
2020-08-05,PI,,state,57100,1436,139,False,3273227,3281480,22,1740.06851,0.0251
2020-08-04,PI,,state,55718,1416,138,False,3273227,3281480,22,1697.95336,0.0254
2020-08-03,PI,,state,54443,1401,137,False,3273227,3281480,22,1659.09894,0.0257
2020-08-02,PI,,state,53224,1385,136,False,3273227,3281480,22,1621.95107,0.0260
2020-08-01,PI,,state,52993,1369,135,False,3273227,3281480,22,1614.91156,0.0258
2020-07-31,PI,,state,52458,1354,134,False,3273227,3281480,22,1598.60795,0.0258
2020-07-30,PI,,state,51477,1329,133,False,3273227,3281480,22,1568.71290,0.0258
2020-07-29,PI,,state,50198,1304,132,False,3273227,3281480,22,1529.73658,0.0260
2020-07-28,PI,,state,48962,1292,131,False,3273227,3281480,22,1492.07065,0.0264
2020-07-27,PI,,state,47551,1278,130,False,3273227,3281480,22,1449.07176,0.0269
2020-07-26,PI,,state,46584,1259,129,False,3273227,3281480,22,1419.60335,0.0270
2020-07-25,PI,,state,46044,1243,128,False,3273227,3281480,22,1403.14736,0.0270
2020-07-24,PI,,state,45389,1228,127,False,3273227,3281480,22,1383.18685,0.0271
2020-07-23,PI,,state,44349,1215,126,False,3273227,3281480,22,1351.49384,0.0274
2020-07-22,PI,,state,43179,1184,125,False,3273227,3281480,22,1315.83919,0.0274
2020-07-21,PI,,state,41815,1158,124,False,3273227,3281480,22,1274.27258,0.0277
