date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-14,BA,,state,36401,1105,99,True,14873064,29,244.74446,0.0304
2020-06-13,BA,,state,35788,1069,98,False,14873064,29,240.62291,0.0299
2020-06-12,BA,,state,34665,1039,97,False,14873064,29,233.07235,0.0300
2020-06-11,BA,,state,33891,1013,96,False,14873064,29,227.86831,0.0299
2020-06-10,BA,,state,32685,975,95,False,14873064,29,219.75969,0.0298
2020-06-09,BA,,state,30481,937,94,False,14873064,29,204.94096,0.0307
2020-06-08,BA,,state,28715,910,93,False,14873064,29,193.06714,0.0317
2020-06-07,BA,,state,28250,879,92,False,14873064,29,189.94069,0.0311
2020-06-06,BA,,state,27396,846,91,False,14873064,29,184.19876,0.0309
2020-06-05,BA,,state,26419,819,90,False,14873064,29,177.62984,0.0310
2020-06-04,BA,,state,23463,790,89,False,14873064,29,157.75499,0.0337
2020-06-03,BA,,state,22451,762,88,False,14873064,29,150.95074,0.0339
2020-06-02,BA,,state,21430,736,87,False,14873064,29,144.08598,0.0343
2020-06-01,BA,,state,18898,701,86,False,14873064,29,127.06192,0.0371
2020-05-31,BA,,state,18392,667,85,False,14873064,29,123.65979,0.0363
2020-05-30,BA,,state,17626,638,84,False,14873064,29,118.50954,0.0362
2020-05-29,BA,,state,16917,609,83,False,14873064,29,113.74253,0.0360
2020-05-28,BA,,state,15963,570,82,False,14873064,29,107.32825,0.0357
2020-05-27,BA,,state,15070,531,81,False,14873064,29,101.32411,0.0352
2020-05-26,BA,,state,14566,495,80,False,14873064,29,97.93544,0.0340
2020-05-25,BA,,state,14204,477,79,False,14873064,29,95.50151,0.0336
2020-05-24,BA,,state,13899,460,78,False,14873064,29,93.45082,0.0331
2020-05-23,BA,,state,13000,413,77,False,14873064,29,87.40633,0.0318
2020-05-22,BA,,state,12557,399,76,False,14873064,29,84.42780,0.0318
2020-05-21,BA,,state,11941,376,75,False,14873064,29,80.28608,0.0315
2020-05-20,BA,,state,11197,362,74,False,14873064,29,75.28375,0.0323
2020-05-19,BA,,state,11013,326,73,False,14873064,29,74.04661,0.0296
2020-05-18,BA,,state,8881,312,72,False,14873064,29,59.71197,0.0351
2020-05-17,BA,,state,8443,295,71,False,14873064,29,56.76705,0.0349
2020-05-16,BA,,state,8314,286,70,False,14873064,29,55.89971,0.0344
2020-05-15,BA,,state,8128,281,69,False,14873064,29,54.64913,0.0346
2020-05-14,BA,,state,6955,262,68,False,14873064,29,46.76239,0.0377
2020-05-13,BA,,state,6547,236,67,False,14873064,29,44.01917,0.0360
2020-05-12,BA,,state,6204,225,66,False,14873064,29,41.71299,0.0363
2020-05-11,BA,,state,5808,214,65,False,14873064,29,39.05046,0.0368
2020-05-10,BA,,state,5558,202,64,False,14873064,29,37.36957,0.0363
2020-05-09,BA,,state,5174,196,63,False,14873064,29,34.78772,0.0379
2020-05-08,BA,,state,4818,183,62,False,14873064,29,32.39413,0.0380
2020-05-07,BA,,state,4528,165,61,False,14873064,29,30.44430,0.0364
2020-05-06,BA,,state,4301,160,60,False,14873064,29,28.91805,0.0372
2020-05-05,BA,,state,4040,146,59,False,14873064,29,27.16320,0.0361
2020-05-04,BA,,state,3734,141,58,False,14873064,29,25.10579,0.0378
2020-05-03,BA,,state,3566,128,57,False,14873064,29,23.97623,0.0359
2020-05-02,BA,,state,3315,123,56,False,14873064,29,22.28862,0.0371
2020-05-01,BA,,state,3140,117,55,False,14873064,29,21.11199,0.0373
2020-04-30,BA,,state,2867,106,54,False,14873064,29,19.27646,0.0370
2020-04-29,BA,,state,2676,100,53,False,14873064,29,17.99226,0.0374
2020-04-28,BA,,state,2564,93,52,False,14873064,29,17.23922,0.0363
2020-04-27,BA,,state,2356,83,51,False,14873064,29,15.84072,0.0352
2020-04-26,BA,,state,2248,74,50,False,14873064,29,15.11457,0.0329
2020-04-25,BA,,state,2116,72,49,False,14873064,29,14.22706,0.0340
2020-04-24,BA,,state,1979,67,48,False,14873064,29,13.30593,0.0339
2020-04-23,BA,,state,1845,62,47,False,14873064,29,12.40498,0.0336
2020-04-22,BA,,state,1645,53,46,False,14873064,29,11.06026,0.0322
2020-04-21,BA,,state,1504,48,45,False,14873064,29,10.11224,0.0319
2020-04-20,BA,,state,1377,47,44,False,14873064,29,9.25835,0.0341
2020-04-19,BA,,state,1249,45,43,False,14873064,29,8.39773,0.0360
2020-04-18,BA,,state,1200,40,42,False,14873064,29,8.06828,0.0333
2020-04-17,BA,,state,1064,36,41,False,14873064,29,7.15387,0.0338
2020-04-16,BA,,state,967,34,40,False,14873064,29,6.50169,0.0352
2020-04-15,BA,,state,884,28,39,False,14873064,29,5.94363,0.0317
2020-04-14,BA,,state,776,26,38,False,14873064,29,5.21749,0.0335
2020-04-13,BA,,state,723,22,37,False,14873064,29,4.86114,0.0304
2020-04-12,BA,,state,674,21,36,False,14873064,29,4.53168,0.0312
2020-04-11,BA,,state,640,21,35,False,14873064,29,4.30308,0.0328
2020-04-10,BA,,state,616,19,34,False,14873064,29,4.14172,0.0308
2020-04-09,BA,,state,568,19,33,False,14873064,29,3.81898,0.0335
2020-04-08,BA,,state,515,18,32,False,14873064,29,3.46264,0.0350
2020-04-07,BA,,state,462,14,31,False,14873064,29,3.10629,0.0303
2020-04-06,BA,,state,437,10,30,False,14873064,29,2.93820,0.0229
2020-04-05,BA,,state,401,9,29,False,14873064,29,2.69615,0.0224
2020-04-04,BA,,state,336,7,28,False,14873064,29,2.25912,0.0208
2020-04-03,BA,,state,290,6,27,False,14873064,29,1.94983,0.0207
2020-04-02,BA,,state,267,3,26,False,14873064,29,1.79519,0.0112
2020-04-01,BA,,state,246,2,25,False,14873064,29,1.65400,0.0081
2020-03-31,BA,,state,217,2,24,False,14873064,29,1.45901,0.0092
2020-03-30,BA,,state,176,2,23,False,14873064,29,1.18335,0.0114
2020-03-29,BA,,state,156,1,22,False,14873064,29,1.04888,0.0064
2020-03-28,BA,,state,127,0,21,False,14873064,29,0.85389,0.0000
2020-03-27,BA,,state,123,0,20,False,14873064,29,0.82700,0.0000
2020-03-26,BA,,state,108,0,19,False,14873064,29,0.72614,0.0000
2020-03-25,BA,,state,91,0,18,False,14873064,29,0.61184,0.0000
2020-03-24,BA,,state,79,0,17,False,14873064,29,0.53116,0.0000
2020-03-23,BA,,state,63,0,16,False,14873064,29,0.42358,0.0000
2020-03-22,BA,,state,55,0,15,False,14873064,29,0.36980,0.0000
2020-03-21,BA,,state,41,0,14,False,14873064,29,0.27567,0.0000
2020-03-20,BA,,state,34,0,13,False,14873064,29,0.22860,0.0000
2020-03-19,BA,,state,31,0,12,False,14873064,29,0.20843,0.0000
2020-03-18,BA,,state,27,0,11,False,14873064,29,0.18154,0.0000
2020-03-17,BA,,state,14,0,10,False,14873064,29,0.09413,0.0000
2020-03-16,BA,,state,10,0,9,False,14873064,29,0.06724,0.0000
2020-03-15,BA,,state,9,0,8,False,14873064,29,0.06051,0.0000
2020-03-13,BA,,state,7,0,7,False,14873064,29,0.04706,0.0000
2020-03-12,BA,,state,3,0,6,False,14873064,29,0.02017,0.0000
2020-03-11,BA,,state,3,0,5,False,14873064,29,0.02017,0.0000
2020-03-10,BA,,state,2,0,4,False,14873064,29,0.01345,0.0000
2020-03-09,BA,,state,2,0,3,False,14873064,29,0.01345,0.0000
2020-03-07,BA,,state,2,0,2,False,14873064,29,0.01345,0.0000
2020-03-06,BA,,state,1,0,1,False,14873064,29,0.00672,0.0000
2020-06-14,BA,Abaré,city,0,0,31,True,20086,2900207,,0.0000
2020-06-13,BA,Abaré,city,0,0,30,False,20086,2900207,,0.0000
2020-06-12,BA,Abaré,city,0,0,29,False,20086,2900207,,0.0000
2020-06-11,BA,Abaré,city,0,0,28,False,20086,2900207,,0.0000
