date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-02,PB,,state,133286,3108,236,True,4018127,4039277,25,3299.74894,0.0233
2020-11-01,PB,,state,133220,3107,235,False,4018127,4039277,25,3298.11498,0.0233
2020-10-31,PB,,state,133149,3101,234,False,4018127,4039277,25,3296.35724,0.0233
2020-10-30,PB,,state,132730,3091,233,False,4018127,4039277,25,3285.98410,0.0233
2020-10-29,PB,,state,132231,3083,232,False,4018127,4039277,25,3273.63040,0.0233
2020-10-28,PB,,state,131979,3076,231,False,4018127,4039277,25,3267.39166,0.0233
2020-10-27,PB,,state,131435,3070,230,False,4018127,4039277,25,3253.92391,0.0234
2020-10-26,PB,,state,130916,3062,229,False,4018127,4039277,25,3241.07507,0.0234
2020-10-25,PB,,state,130781,3054,228,False,4018127,4039277,25,3237.73289,0.0234
2020-10-24,PB,,state,130658,3047,227,False,4018127,4039277,25,3234.68779,0.0233
2020-10-23,PB,,state,130225,3038,226,False,4018127,4039277,25,3223.96805,0.0233
2020-10-22,PB,,state,129731,3029,225,False,4018127,4039277,25,3211.73814,0.0233
2020-10-21,PB,,state,129414,3020,224,False,4018127,4039277,25,3203.89020,0.0233
2020-10-20,PB,,state,129045,3010,223,False,4018127,4039277,25,3194.75490,0.0233
2020-10-19,PB,,state,128549,3001,222,False,4018127,4039277,25,3182.47548,0.0233
2020-10-18,PB,,state,128435,2993,221,False,4018127,4039277,25,3179.65319,0.0233
2020-10-17,PB,,state,128416,2985,220,False,4018127,4039277,25,3179.18281,0.0232
2020-10-16,PB,,state,128032,2977,219,False,4018127,4039277,25,3169.67616,0.0233
2020-10-15,PB,,state,127456,2970,218,False,4018127,4039277,25,3155.41618,0.0233
2020-10-14,PB,,state,126791,2958,217,False,4018127,4039277,25,3138.95284,0.0233
2020-10-13,PB,,state,126073,2944,216,False,4018127,4039277,25,3121.17738,0.0234
2020-10-12,PB,,state,125933,2930,215,False,4018127,4039277,25,3117.71141,0.0233
2020-10-11,PB,,state,125877,2922,214,False,4018127,4039277,25,3116.32503,0.0232
2020-10-10,PB,,state,125713,2914,213,False,4018127,4039277,25,3112.26489,0.0232
2020-10-09,PB,,state,125285,2904,212,False,4018127,4039277,25,3101.66894,0.0232
2020-10-08,PB,,state,124749,2894,211,False,4018127,4039277,25,3088.39924,0.0232
2020-10-07,PB,,state,124315,2884,210,False,4018127,4039277,25,3077.65474,0.0232
2020-10-06,PB,,state,123564,2872,209,False,4018127,4039277,25,3059.06230,0.0232
2020-10-05,PB,,state,122890,2861,208,False,4018127,4039277,25,3042.37615,0.0233
2020-10-04,PB,,state,122713,2851,207,False,4018127,4039277,25,3037.99418,0.0232
2020-10-03,PB,,state,122681,2846,206,False,4018127,4039277,25,3037.20195,0.0232
2020-10-02,PB,,state,122273,2842,205,False,4018127,4039277,25,3027.10114,0.0232
2020-10-01,PB,,state,121809,2835,204,False,4018127,4039277,25,3015.61393,0.0233
2020-09-30,PB,,state,121267,2824,203,False,4018127,4039277,25,3002.19569,0.0233
2020-09-29,PB,,state,120654,2816,202,False,4018127,4039277,25,2987.01971,0.0233
2020-09-28,PB,,state,119987,2804,201,False,4018127,4039277,25,2970.50685,0.0234
2020-09-27,PB,,state,119783,2797,200,False,4018127,4039277,25,2965.45644,0.0234
2020-09-26,PB,,state,119731,2788,199,False,4018127,4039277,25,2964.16908,0.0233
2020-09-25,PB,,state,119134,2778,198,False,4018127,4039277,25,2949.38921,0.0233
2020-09-24,PB,,state,118567,2762,197,False,4018127,4039277,25,2935.35204,0.0233
2020-09-23,PB,,state,118048,2741,196,False,4018127,4039277,25,2922.50321,0.0232
2020-09-22,PB,,state,117495,2729,195,False,4018127,4039277,25,2908.81264,0.0232
2020-09-21,PB,,state,116879,2719,194,False,4018127,4039277,25,2893.56239,0.0233
2020-09-20,PB,,state,116736,2707,193,False,4018127,4039277,25,2890.02215,0.0232
2020-09-19,PB,,state,116588,2695,192,False,4018127,4039277,25,2886.35813,0.0231
2020-09-18,PB,,state,115966,2684,191,False,4018127,4039277,25,2870.95933,0.0231
2020-09-17,PB,,state,115359,2670,190,False,4018127,4039277,25,2855.93189,0.0231
2020-09-16,PB,,state,114582,2659,189,False,4018127,4039277,25,2836.69578,0.0232
2020-09-15,PB,,state,113903,2649,188,False,4018127,4039277,25,2819.88584,0.0233
2020-09-14,PB,,state,113163,2639,187,False,4018127,4039277,25,2801.56573,0.0233
2020-09-13,PB,,state,112961,2627,186,False,4018127,4039277,25,2796.56483,0.0233
2020-09-12,PB,,state,112706,2616,185,False,4018127,4039277,25,2790.25182,0.0232
2020-09-11,PB,,state,112018,2604,184,False,4018127,4039277,25,2773.21907,0.0232
2020-09-10,PB,,state,111495,2590,183,False,4018127,4039277,25,2760.27121,0.0232
2020-09-09,PB,,state,110727,2578,182,False,4018127,4039277,25,2741.25790,0.0233
2020-09-08,PB,,state,109860,2563,181,False,4018127,4039277,25,2719.79367,0.0233
2020-09-07,PB,,state,109706,2550,180,False,4018127,4039277,25,2715.98110,0.0232
2020-09-06,PB,,state,109673,2543,179,False,4018127,4039277,25,2715.16412,0.0232
2020-09-05,PB,,state,109530,2529,178,False,4018127,4039277,25,2711.62389,0.0231
2020-09-04,PB,,state,108925,2517,177,False,4018127,4039277,25,2696.64596,0.0231
2020-09-03,PB,,state,108182,2501,176,False,4018127,4039277,25,2678.25158,0.0231
2020-09-02,PB,,state,107384,2483,175,False,4018127,4039277,25,2658.49557,0.0231
2020-09-01,PB,,state,106605,2465,174,False,4018127,4039277,25,2639.20994,0.0231
2020-08-31,PB,,state,105778,2450,173,False,4018127,4039277,25,2618.73598,0.0232
2020-08-30,PB,,state,105661,2435,172,False,4018127,4039277,25,2615.83942,0.0230
2020-08-29,PB,,state,105531,2422,171,False,4018127,4039277,25,2612.62102,0.0230
2020-08-28,PB,,state,104803,2404,170,False,4018127,4039277,25,2594.59799,0.0229
2020-08-27,PB,,state,104096,2388,169,False,4018127,4039277,25,2577.09486,0.0229
2020-08-26,PB,,state,103213,2371,168,False,4018127,4039277,25,2555.23451,0.0230
2020-08-25,PB,,state,102208,2350,167,False,4018127,4039277,25,2530.35382,0.0230
2020-08-24,PB,,state,101303,2330,166,False,4018127,4039277,25,2507.94882,0.0230
2020-08-23,PB,,state,101132,2308,165,False,4018127,4039277,25,2503.71539,0.0228
2020-08-22,PB,,state,100970,2288,164,False,4018127,4039277,25,2499.70477,0.0227
2020-08-21,PB,,state,100290,2268,163,False,4018127,4039277,25,2482.87008,0.0226
2020-08-20,PB,,state,99445,2244,162,False,4018127,4039277,25,2461.95049,0.0226
2020-08-19,PB,,state,98494,2223,161,False,4018127,4039277,25,2438.40668,0.0226
2020-08-18,PB,,state,97497,2203,160,False,4018127,4039277,25,2413.72404,0.0226
2020-08-17,PB,,state,96223,2183,159,False,4018127,4039277,25,2382.18374,0.0227
2020-08-16,PB,,state,96033,2162,158,False,4018127,4039277,25,2377.47993,0.0225
2020-08-15,PB,,state,95588,2138,157,False,4018127,4039277,25,2366.46311,0.0224
2020-08-14,PB,,state,94660,2113,156,False,4018127,4039277,25,2343.48870,0.0223
2020-08-13,PB,,state,93794,2092,155,False,4018127,4039277,25,2322.04922,0.0223
2020-08-12,PB,,state,92897,2071,154,False,4018127,4039277,25,2299.84227,0.0223
2020-08-11,PB,,state,91819,2046,153,False,4018127,4039277,25,2273.15433,0.0223
2020-08-10,PB,,state,90366,2023,152,False,4018127,4039277,25,2237.18255,0.0224
2020-08-09,PB,,state,90082,2000,151,False,4018127,4039277,25,2230.15158,0.0222
2020-08-08,PB,,state,89893,1983,150,False,4018127,4039277,25,2225.47253,0.0221
2020-08-07,PB,,state,89117,1965,149,False,4018127,4039277,25,2206.26117,0.0220
2020-08-06,PB,,state,87867,1945,148,False,4018127,4039277,25,2175.31504,0.0221
2020-08-05,PB,,state,87071,1922,147,False,4018127,4039277,25,2155.60854,0.0221
2020-08-04,PB,,state,85760,1901,146,False,4018127,4039277,25,2123.15224,0.0222
2020-08-03,PB,,state,84211,1870,145,False,4018127,4039277,25,2084.80379,0.0222
2020-08-02,PB,,state,84008,1850,144,False,4018127,4039277,25,2079.77814,0.0220
2020-08-01,PB,,state,83461,1833,143,False,4018127,4039277,25,2066.23611,0.0220
2020-07-31,PB,,state,82794,1811,142,False,4018127,4039277,25,2049.72325,0.0219
2020-07-30,PB,,state,81108,1785,141,False,4018127,4039277,25,2007.98311,0.0220
2020-07-29,PB,,state,79898,1766,140,False,4018127,4039277,25,1978.02726,0.0221
2020-07-28,PB,,state,78175,1745,139,False,4018127,4039277,25,1935.37111,0.0223
2020-07-27,PB,,state,76693,1727,138,False,4018127,4039277,25,1898.68137,0.0225
2020-07-26,PB,,state,76153,1698,137,False,4018127,4039277,25,1885.31264,0.0223
2020-07-25,PB,,state,75723,1675,136,False,4018127,4039277,25,1874.66717,0.0221
2020-07-24,PB,,state,74550,1653,135,False,4018127,4039277,25,1845.62732,0.0222
2020-07-23,PB,,state,73104,1618,134,False,4018127,4039277,25,1809.82884,0.0221
2020-07-22,PB,,state,70972,1581,133,False,4018127,4039277,25,1757.04712,0.0223
2020-07-21,PB,,state,68844,1558,132,False,4018127,4039277,25,1704.36442,0.0226
2020-07-20,PB,,state,67680,1517,131,False,4018127,4039277,25,1675.54738,0.0224
2020-07-19,PB,,state,67382,1486,130,False,4018127,4039277,25,1668.16982,0.0221
2020-07-18,PB,,state,66971,1477,129,False,4018127,4039277,25,1657.99474,0.0221
2020-07-17,PB,,state,66347,1446,128,False,4018127,4039277,25,1642.54643,0.0218
2020-07-16,PB,,state,65423,1418,127,False,4018127,4039277,25,1619.67105,0.0217
2020-07-15,PB,,state,63939,1383,126,False,4018127,4039277,25,1582.93180,0.0216
2020-07-14,PB,,state,62462,1342,125,False,4018127,4039277,25,1546.36585,0.0215
2020-07-13,PB,,state,61108,1302,124,False,4018127,4039277,25,1512.84500,0.0213
2020-07-12,PB,,state,60784,1284,123,False,4018127,4039277,25,1504.82376,0.0211
2020-07-11,PB,,state,60421,1250,122,False,4018127,4039277,25,1495.83700,0.0207
2020-07-10,PB,,state,59118,1229,121,False,4018127,4039277,25,1463.57875,0.0208
2020-07-09,PB,,state,57614,1196,120,False,4018127,4039277,25,1426.34437,0.0208
2020-07-08,PB,,state,56344,1171,119,False,4018127,4039277,25,1394.90310,0.0208
2020-07-07,PB,,state,54802,1145,118,False,4018127,4039277,25,1356.72795,0.0209
2020-07-06,PB,,state,53151,1118,117,False,4018127,4039277,25,1315.85430,0.0210
2020-07-05,PB,,state,52728,1099,116,False,4018127,4039277,25,1305.38213,0.0208
2020-07-04,PB,,state,52306,1082,115,False,4018127,4039277,25,1294.93471,0.0207
2020-07-03,PB,,state,50765,1062,114,False,4018127,4039277,25,1256.78432,0.0209
2020-07-02,PB,,state,49536,1044,113,False,4018127,4039277,25,1226.35808,0.0211
2020-07-01,PB,,state,48175,1002,112,False,4018127,4039277,25,1192.66393,0.0208
2020-06-30,PB,,state,46957,977,111,False,4018127,4039277,25,1162.51002,0.0208
2020-06-29,PB,,state,45057,931,110,False,4018127,4039277,25,1115.47190,0.0207
2020-06-28,PB,,state,44679,911,109,False,4018127,4039277,25,1106.11379,0.0204
2020-06-27,PB,,state,44242,896,108,False,4018127,4039277,25,1095.29502,0.0203
2020-06-26,PB,,state,42832,864,107,False,4018127,4039277,25,1060.38779,0.0202
2020-06-25,PB,,state,40824,842,106,False,4018127,4039277,25,1010.67592,0.0206
2020-06-24,PB,,state,39912,828,105,False,4018127,4039277,25,988.09762,0.0207
2020-06-23,PB,,state,38999,807,104,False,4018127,4039277,25,965.49457,0.0207
2020-06-22,PB,,state,37253,784,103,False,4018127,4039277,25,922.26901,0.0210
2020-06-21,PB,,state,36784,766,102,False,4018127,4039277,25,910.65802,0.0208
2020-06-20,PB,,state,36521,743,101,False,4018127,4039277,25,904.14696,0.0203
2020-06-19,PB,,state,35093,724,100,False,4018127,4039277,25,868.79409,0.0206
2020-06-18,PB,,state,33382,709,99,False,4018127,4039277,25,826.43503,0.0212
2020-06-17,PB,,state,31712,696,98,False,4018127,4039277,25,785.09100,0.0219
2020-06-16,PB,,state,30128,671,97,False,4018127,4039277,25,745.87606,0.0223
2020-06-15,PB,,state,28668,656,96,False,4018127,4039277,25,709.73097,0.0229
2020-06-14,PB,,state,28013,633,95,False,4018127,4039277,25,693.51520,0.0226
2020-06-13,PB,,state,27454,623,94,False,4018127,4039277,25,679.67609,0.0227
2020-06-12,PB,,state,26556,610,93,False,4018127,4039277,25,657.44439,0.0230
2020-06-11,PB,,state,25370,570,92,False,4018127,4039277,25,628.08270,0.0225
2020-06-10,PB,,state,24032,559,91,False,4018127,4039277,25,594.95796,0.0233
2020-06-09,PB,,state,22452,534,90,False,4018127,4039277,25,555.84205,0.0238
2020-06-08,PB,,state,20951,507,89,False,4018127,4039277,25,518.68193,0.0242
2020-06-07,PB,,state,20310,484,88,False,4018127,4039277,25,502.81276,0.0238
2020-06-06,PB,,state,19787,467,87,False,4018127,4039277,25,489.86489,0.0236
2020-06-05,PB,,state,18579,451,86,False,4018127,4039277,25,459.95855,0.0243
2020-06-04,PB,,state,17579,438,85,False,4018127,4039277,25,435.20165,0.0249
2020-06-03,PB,,state,16018,414,84,False,4018127,4039277,25,396.55612,0.0258
2020-06-02,PB,,state,14859,379,83,False,4018127,4039277,25,367.86286,0.0255
2020-06-01,PB,,state,13695,370,82,False,4018127,4039277,25,339.04582,0.0270
2020-05-31,PB,,state,13162,360,81,False,4018127,4039277,25,325.85039,0.0274
2020-05-30,PB,,state,12862,346,80,False,4018127,4039277,25,318.42332,0.0269
2020-05-29,PB,,state,12011,327,79,False,4018127,4039277,25,297.35520,0.0272
2020-05-28,PB,,state,11132,318,78,False,4018127,4039277,25,275.59387,0.0286
2020-05-27,PB,,state,10209,298,77,False,4018127,4039277,25,252.74325,0.0292
2020-05-26,PB,,state,8919,286,76,False,4018127,4039277,25,220.80684,0.0321
2020-05-25,PB,,state,8016,279,75,False,4018127,4039277,25,198.45136,0.0348
2020-05-24,PB,,state,7823,272,74,False,4018127,4039277,25,193.67327,0.0348
2020-05-23,PB,,state,7508,258,73,False,4018127,4039277,25,185.87485,0.0344
