date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-01,SE,,state,84362,2211,222,True,2298696,2318822,28,3638.14040,0.0262
2020-10-31,SE,,state,84326,2206,221,False,2298696,2318822,28,3636.58789,0.0262
2020-10-30,SE,,state,84237,2201,220,False,2298696,2318822,28,3632.74973,0.0261
2020-10-29,SE,,state,84171,2195,219,False,2298696,2318822,28,3629.90346,0.0261
2020-10-28,SE,,state,84048,2190,218,False,2298696,2318822,28,3624.59904,0.0261
2020-10-27,SE,,state,83965,2184,217,False,2298696,2318822,28,3621.01964,0.0260
2020-10-26,SE,,state,83863,2178,216,False,2298696,2318822,28,3616.62085,0.0260
2020-10-25,SE,,state,83794,2172,215,False,2298696,2318822,28,3613.64520,0.0259
2020-10-24,SE,,state,83646,2168,214,False,2298696,2318822,28,3607.26265,0.0259
2020-10-23,SE,,state,83407,2163,213,False,2298696,2318822,28,3596.95570,0.0259
2020-10-22,SE,,state,83139,2157,212,False,2298696,2318822,28,3585.39810,0.0259
2020-10-21,SE,,state,82826,2151,211,False,2298696,2318822,28,3571.89987,0.0260
2020-10-20,SE,,state,82301,2145,210,False,2298696,2318822,28,3549.25906,0.0261
2020-10-19,SE,,state,82040,2139,209,False,2298696,2318822,28,3538.00335,0.0261
2020-10-18,SE,,state,81564,2134,208,False,2298696,2318822,28,3517.47568,0.0262
2020-10-17,SE,,state,81119,2129,207,False,2298696,2318822,28,3498.28491,0.0262
2020-10-16,SE,,state,80925,2124,206,False,2298696,2318822,28,3489.91859,0.0262
2020-10-15,SE,,state,80733,2118,205,False,2298696,2318822,28,3481.63852,0.0262
2020-10-14,SE,,state,80427,2113,204,False,2298696,2318822,28,3468.44217,0.0263
2020-10-13,SE,,state,80234,2107,203,False,2298696,2318822,28,3460.11897,0.0263
2020-10-12,SE,,state,79975,2102,202,False,2298696,2318822,28,3448.94951,0.0263
